Iteration,S,E,I,R
0,19966,14,20,0
1,19946,30,20,4
2,19930,37,27,6
3,19906,46,39,9
4,19873,67,46,14
5,19847,73,58,22
6,19810,95,67,28
7,19752,133,76,39
8,19688,170,96,46
9,19592,217,136,55
10,19481,279,168,72
11,19346,352,206,96
12,19173,426,281,120
13,18930,543,376,151
14,18623,694,478,205
15,18244,872,611,273
16,17788,1074,784,354
17,17164,1388,984,464
18,16467,1712,1207,614
19,15639,2056,1540,765
20,14650,2493,1882,975
21,13429,2990,2364,1217
22,12164,3430,2882,1524
23,10742,3891,3431,1936
24,9280,4262,4070,2388
25,7886,4402,4790,2922
26,6483,4538,5396,3583
27,5200,4575,5953,4272
28,4049,4450,6443,5058
29,3157,4147,6801,5895
30,2425,3705,7098,6772
31,1864,3266,7171,7699
32,1422,2858,7059,8661
33,1109,2401,6888,9602
34,902,1983,6690,10425
35,738,1580,6369,11313
36,612,1300,5923,12165
37,547,1042,5499,12912
38,488,856,5053,13603
39,467,678,4612,14243
40,449,574,4161,14816
41,428,465,3778,15329
42,412,387,3427,15774
43,424,322,3054,16200
44,425,275,2720,16580
45,440,228,2443,16889
46,466,191,2183,17160
47,501,173,1938,17388
48,516,158,1703,17623
49,561,149,1496,17794
50,604,134,1326,17936
51,653,115,1168,18064
52,667,109,1030,18194
53,726,108,897,18269
54,772,95,824,18309
55,822,82,741,18355
56,881,79,655,18385
57,922,78,589,18411
58,967,72,539,18422
59,1016,60,493,18431
60,1060,56,436,18448
61,1118,55,391,18436
62,1178,54,342,18426
63,1243,46,312,18399
64,1303,48,281,18368
65,1357,48,266,18329
66,1407,46,235,18312
67,1458,47,210,18285
68,1522,43,196,18239
69,1577,35,191,18197
70,1642,33,167,18158
71,1705,31,147,18117
72,1756,29,129,18086
73,1808,26,117,18049
74,1857,28,114,18001
75,1913,39,101,17947
76,1973,33,95,17899
77,2029,37,91,17843
78,2079,30,94,17797
79,2130,27,84,17759
80,2176,37,76,17711
81,2225,33,75,17667
82,2290,30,68,17612
83,2334,31,70,17565
84,2394,27,73,17506
85,2438,27,67,17468
86,2487,30,60,17423
87,2540,21,66,17373
88,2583,19,64,17334
89,2641,16,57,17286
90,2702,18,53,17227
91,2758,20,52,17170
92,2815,19,51,17115
93,2863,21,47,17069
94,2903,23,42,17032
95,2955,19,45,16981
96,3012,16,48,16924
97,3066,14,47,16873
98,3110,13,47,16830
99,3148,16,45,16791
100,3197,23,40,16740
101,3229,17,43,16711
102,3269,15,46,16670
103,3315,18,45,16622
104,3355,21,46,16578
105,3389,22,49,16540
106,3435,25,48,16492
107,3482,23,47,16448
108,3525,19,50,16406
109,3564,22,46,16368
110,3597,28,46,16329
111,3634,30,43,16293
112,3671,29,45,16255
113,3725,19,54,16202
114,3763,23,54,16160
115,3804,29,49,16118
116,3845,28,51,16076
117,3880,30,51,16039
118,3920,26,52,16002
119,3970,21,52,15957
120,4007,25,47,15921
121,4063,27,49,15861
122,4102,27,49,15822
123,4149,26,46,15779
124,4189,21,50,15740
125,4237,18,51,15694
126,4274,16,49,15661
127,4325,17,36,15622
128,4375,25,38,15562
129,4414,21,45,15520
130,4452,19,51,15478
131,4483,27,47,15443
132,4515,31,43,15411
133,4568,27,41,15364
134,4613,27,43,15317
135,4668,20,49,15263
136,4700,24,48,15228
137,4731,35,45,15189
138,4778,32,51,15139
139,4813,30,50,15107
140,4865,28,49,15058
141,4902,35,48,15015
142,4928,34,55,14983
143,4965,32,54,14949
144,5007,31,53,14909
145,5050,36,50,14864
146,5083,29,60,14828
147,5116,32,57,14795
148,5156,31,52,14761
149,5201,29,56,14714
150,5234,33,55,14678
151,5265,30,58,14647
152,5302,29,60,14609
153,5326,44,62,14568
154,5359,43,62,14536
155,5392,44,63,14501
156,5411,50,60,14479
157,5442,56,60,14442
158,5468,47,74,14411
159,5510,39,85,14366
160,5537,44,86,14333
161,5560,50,85,14305
162,5593,39,90,14278
163,5615,48,89,14248
164,5637,49,95,14219
165,5662,47,98,14193
166,5693,49,99,14159
167,5717,61,95,14127
168,5744,64,96,14096
169,5765,67,102,14066
170,5790,71,106,14033
171,5822,70,117,13991
172,5833,72,121,13974
173,5854,83,119,13944
174,5867,91,129,13913
175,5891,88,132,13889
176,5893,110,135,13862
177,5892,105,153,13850
178,5879,120,168,13833
179,5880,116,182,13822
180,5898,123,190,13789
181,5884,152,186,13778
182,5880,166,201,13753
183,5877,165,219,13739
184,5864,168,235,13733
185,5850,177,245,13728
186,5843,180,265,13712
187,5832,177,284,13707
188,5810,184,296,13710
189,5791,187,297,13725
190,5765,190,324,13721
191,5734,209,323,13734
192,5700,232,344,13724
193,5658,267,351,13724
194,5625,277,363,13735
195,5595,296,380,13729
196,5537,301,424,13738
197,5491,307,446,13756
198,5438,327,455,13780
199,5407,319,492,13782
200,5375,318,508,13799
201,5303,349,537,13811
202,5222,380,563,13835
203,5150,390,583,13877
204,5085,398,610,13907
205,5024,431,623,13922
206,4944,416,679,13961
207,4880,409,707,14004
208,4805,418,734,14043
209,4718,415,767,14100
210,4654,396,799,14151
211,4579,427,803,14191
212,4502,446,826,14226
213,4436,443,841,14280
214,4346,463,851,14340
215,4276,454,874,14396
216,4172,495,865,14468
217,4099,465,908,14528
218,4020,484,903,14593
219,3919,497,913,14671
220,3841,495,933,14731
221,3759,484,944,14813
222,3704,460,936,14900
223,3637,459,938,14966
224,3561,495,926,15018
225,3478,495,954,15073
226,3395,486,990,15129
227,3305,506,974,15215
228,3244,488,985,15283
229,3200,464,996,15340
230,3144,444,995,15417
231,3093,424,974,15509
232,3047,415,974,15564
233,3018,392,989,15601
234,2988,369,967,15676
235,2918,389,962,15731
236,2903,378,947,15772
237,2886,381,902,15831
238,2874,359,890,15877
239,2855,352,896,15897
240,2827,354,863,15956
241,2792,354,846,16008
242,2741,357,829,16073
243,2731,334,840,16095
244,2716,331,801,16152
245,2723,313,787,16177
246,2742,292,765,16201
247,2764,283,716,16237
248,2776,266,714,16244
249,2771,276,695,16258
250,2768,269,683,16280
251,2775,269,672,16284
252,2818,245,664,16273
253,2810,260,647,16283
254,2819,232,636,16313
255,2847,217,627,16309
256,2849,233,584,16334
257,2882,209,560,16349
258,2924,199,537,16340
259,2971,181,522,16326
260,2999,181,491,16329
261,3036,185,484,16295
262,3070,179,472,16279
263,3108,186,452,16254
264,3139,194,437,16230
265,3153,197,439,16211
266,3178,181,437,16204
267,3208,185,426,16181
268,3251,179,421,16149
269,3283,180,415,16122
270,3332,184,398,16086
271,3371,198,387,16044
272,3413,201,386,16000
273,3447,218,374,15961
274,3478,213,396,15913
275,3532,191,395,15882
276,3557,199,387,15857
277,3593,208,397,15802
278,3615,201,402,15782
279,3650,199,383,15768
280,3661,210,381,15748
281,3684,211,387,15718
282,3729,201,383,15687
283,3752,205,372,15671
284,3786,190,391,15633
285,3826,191,390,15593
286,3861,187,391,15561
287,3911,196,384,15509
288,3922,191,395,15492
289,3944,198,392,15466
290,4008,172,400,15420
291,4021,180,402,15397
292,4062,168,384,15386
293,4075,200,369,15356
294,4095,200,374,15331
295,4130,191,385,15294
296,4119,216,406,15259
297,4135,225,412,15228
298,4167,219,415,15199
299,4174,234,422,15170
300,4194,229,446,15131
301,4197,231,459,15113
302,4204,237,455,15104
303,4239,238,449,15074
304,4238,261,432,15069
305,4260,278,435,15027
306,4289,266,459,14986
307,4275,287,465,14973
308,4269,262,493,14976
309,4273,264,515,14948
310,4279,263,507,14951
311,4268,271,505,14956
312,4277,289,504,14930
313,4282,276,527,14915
314,4278,280,534,14908
315,4281,294,520,14905
316,4293,300,525,14882
317,4319,305,533,14843
318,4316,299,547,14838
319,4276,340,552,14832
320,4280,328,573,14819
321,4256,340,587,14817
322,4251,332,603,14814
323,4225,345,622,14808
324,4235,357,618,14790
325,4227,355,635,14783
