Iteration,S,E,I,R
0,19960,20,17,3
1,19947,27,18,8
2,19935,32,23,10
3,19916,40,31,13
4,19890,59,34,17
5,19847,85,45,23
6,19805,106,57,32
7,19756,119,85,40
8,19682,158,110,50
9,19565,232,145,58
10,19424,305,188,83
11,19245,392,264,99
12,18994,529,352,125
13,18710,676,433,181
14,18326,865,573,236
15,17809,1134,745,312
16,17220,1419,946,415
17,16504,1758,1188,550
18,15616,2099,1588,697
19,14618,2536,1935,911
20,13451,3025,2357,1167
21,12160,3479,2870,1491
22,10747,3922,3484,1847
23,9317,4257,4135,2291
24,7807,4579,4772,2842
25,6440,4684,5356,3520
26,5158,4643,5966,4233
27,4070,4459,6495,4976
28,3139,4087,6961,5813
29,2359,3708,7216,6717
30,1772,3291,7320,7617
31,1349,2824,7276,8551
32,1057,2308,7203,9432
33,818,1920,6924,10338
34,654,1565,6620,11161
35,563,1284,6133,12020
36,491,1014,5681,12814
37,436,833,5196,13535
38,403,660,4765,14172
39,384,518,4326,14772
40,390,407,3892,15311
41,390,344,3523,15743
42,391,292,3140,16177
43,389,239,2790,16582
44,413,212,2487,16888
45,425,194,2175,17206
46,465,158,1939,17438
47,488,150,1698,17664
48,534,113,1508,17845
49,566,122,1354,17958
50,594,110,1217,18079
51,647,93,1083,18177
52,704,77,958,18261
53,721,86,857,18336
54,745,98,777,18380
55,800,89,685,18426
56,853,69,600,18478
57,931,54,535,18480
58,993,59,469,18479
59,1049,59,419,18473
60,1099,56,377,18468
61,1158,58,331,18453
62,1219,47,299,18435
63,1278,39,282,18401
64,1325,46,250,18379
65,1378,47,222,18353
66,1443,38,205,18314
67,1498,38,188,18276
68,1552,38,178,18232
69,1591,40,163,18206
70,1630,39,136,18195
71,1678,39,129,18154
72,1742,30,124,18104
73,1807,34,111,18048
74,1865,26,107,18002
75,1920,20,101,17959
76,1964,24,93,17919
77,2016,23,84,17877
78,2087,20,72,17821
79,2148,15,69,17768
80,2193,16,65,17726
81,2255,17,54,17674
82,2315,15,44,17626
83,2360,13,40,17587
84,2411,12,43,17534
85,2464,15,40,17481
86,2514,15,38,17433
87,2562,11,36,17391
88,2607,9,40,17344
89,2660,9,37,17294
90,2715,8,31,17246
91,2759,5,34,17202
92,2809,8,28,17155
93,2867,9,26,17098
94,2917,9,25,17049
95,2959,6,27,17008
96,3008,7,26,16959
97,3061,4,22,16913
98,3104,9,18,16869
99,3145,6,19,16830
100,3191,5,18,16786
101,3234,5,19,16742
102,3292,3,19,16686
103,3338,8,20,16634
104,3391,10,19,16580
105,3432,8,18,16542
106,3482,8,18,16492
107,3525,6,18,16451
108,3573,8,14,16405
109,3623,9,10,16358
110,3675,9,11,16305
111,3725,10,9,16256
112,3773,9,9,16209
113,3813,9,7,16171
114,3850,7,11,16132
115,3891,7,13,16089
116,3935,6,14,16045
117,3984,8,13,15995
118,4026,5,16,15953
119,4070,4,16,15910
120,4106,8,14,15872
121,4145,10,15,15830
122,4196,11,16,15777
123,4246,7,18,15729
124,4288,5,20,15687
125,4318,7,19,15656
126,4356,7,18,15619
127,4406,7,17,15570
128,4447,9,16,15528
129,4480,10,17,15493
130,4516,12,20,15452
131,4548,19,17,15416
132,4592,17,21,15370
133,4625,11,28,15336
134,4671,18,22,15289
135,4710,17,23,15250
136,4752,15,25,15208
137,4792,10,26,15172
138,4828,13,24,15135
139,4872,12,27,15089
140,4903,13,26,15058
141,4951,12,25,15012
142,4988,11,28,14973
143,5016,11,29,14944
144,5049,16,26,14909
145,5082,18,26,14874
146,5116,18,27,14839
147,5164,13,30,14793
148,5194,13,28,14765
149,5224,17,33,14726
150,5257,20,34,14689
151,5283,25,35,14657
152,5324,25,34,14617
153,5347,29,36,14588
154,5380,32,43,14545
155,5393,43,44,14520
156,5414,47,47,14492
157,5439,47,56,14458
158,5453,52,66,14429
159,5472,58,70,14400
160,5496,62,78,14364
161,5522,77,79,14322
162,5549,80,84,14287
163,5568,80,93,14259
164,5605,74,99,14222
165,5621,69,104,14206
166,5636,68,112,14184
167,5650,70,122,14158
168,5671,79,120,14130
169,5697,74,133,14096
170,5718,81,138,14063
171,5730,88,135,14047
172,5727,92,153,14028
173,5730,96,163,14011
174,5736,110,164,13990
175,5748,110,167,13975
176,5758,112,167,13963
177,5756,126,170,13948
178,5765,128,180,13927
179,5777,124,183,13916
180,5782,119,206,13893
181,5759,141,207,13893
182,5740,152,220,13888
183,5735,155,241,13869
184,5718,161,257,13864
185,5708,167,270,13855
186,5685,193,275,13847
187,5676,202,295,13827
188,5651,215,306,13828
189,5626,239,309,13826
190,5592,265,318,13825
191,5556,265,345,13834
192,5519,261,367,13853
193,5465,275,400,13860
194,5429,296,414,13861
195,5387,298,447,13868
196,5326,325,469,13880
197,5279,325,514,13882
198,5199,344,539,13918
199,5138,324,573,13965
200,5067,353,574,14006
201,4993,373,583,14051
202,4933,377,616,14074
203,4864,393,644,14099
204,4791,385,687,14137
205,4710,411,708,14171
206,4623,434,710,14233
207,4545,431,742,14282
208,4460,440,759,14341
209,4370,470,766,14394
210,4281,448,809,14462
211,4198,451,825,14526
212,4112,455,858,14575
213,4018,461,875,14646
214,3936,477,879,14708
215,3862,474,862,14802
216,3767,496,875,14862
217,3677,488,899,14936
218,3620,483,920,14977
219,3566,460,930,15044
220,3497,452,932,15119
221,3422,442,944,15192
222,3368,437,952,15243
223,3277,454,946,15323
224,3212,444,941,15403
225,3156,440,945,15459
226,3106,434,936,15524
227,3073,420,912,15595
228,3043,423,902,15632
229,2994,401,912,15693
230,2937,406,896,15761
231,2896,399,906,15799
232,2878,400,886,15836
233,2865,373,880,15882
234,2821,369,865,15945
235,2813,370,856,15961
236,2796,344,833,16027
237,2796,324,811,16069
238,2809,309,808,16074
239,2798,304,782,16116
240,2783,313,756,16148
241,2794,296,733,16177
242,2781,304,703,16212
243,2783,296,697,16224
244,2797,283,686,16234
245,2814,250,683,16253
246,2808,264,649,16279
247,2821,265,613,16301
248,2852,251,610,16287
249,2874,251,586,16289
250,2882,250,574,16294
251,2907,246,567,16280
252,2928,233,556,16283
253,2941,234,545,16280
254,2970,232,526,16272
255,2974,234,531,16261
256,2987,247,519,16247
257,3007,241,522,16230
258,3017,239,518,16226
259,3039,236,529,16196
260,3067,225,521,16187
261,3081,218,515,16186
262,3089,219,492,16200
263,3108,224,484,16184
264,3127,233,473,16167
265,3147,232,462,16159
266,3180,224,468,16128
267,3209,220,467,16104
268,3267,202,456,16075
269,3290,196,448,16066
270,3305,208,447,16040
271,3349,205,446,16000
272,3387,190,439,15984
273,3420,185,427,15968
274,3448,181,432,15939
275,3469,188,412,15931
276,3498,190,419,15893
277,3526,194,428,15852
278,3550,208,425,15817
279,3595,205,420,15780
280,3638,179,443,15740
281,3668,189,434,15709
282,3703,187,427,15683
283,3741,193,441,15625
284,3752,209,439,15600
285,3773,205,446,15576
286,3799,219,439,15543
287,3816,206,446,15532
288,3824,215,451,15510
289,3859,204,444,15493
290,3876,202,445,15477
291,3907,217,433,15443
292,3916,229,433,15422
293,3968,209,459,15364
294,3999,204,455,15342
295,4004,217,474,15305
296,3987,248,466,15299
297,3993,244,480,15283
298,3999,248,476,15277
299,4020,247,471,15262
300,4037,248,471,15244
301,4064,245,476,15215
302,4057,247,496,15200
303,4077,261,481,15181
304,4089,276,462,15173
305,4117,282,467,15134
306,4134,265,489,15112
307,4136,291,479,15094
308,4142,285,493,15080
309,4165,256,528,15051
310,4158,268,529,15045
311,4169,291,532,15008
312,4167,305,543,14985
313,4161,310,562,14967
314,4140,322,566,14972
315,4131,329,582,14958
316,4111,343,587,14959
317,4108,328,603,14961
318,4088,337,606,14969
319,4088,346,619,14947
320,4084,358,612,14946
321,4072,344,629,14955
322,4050,360,630,14960
323,4053,351,633,14963
324,4035,345,642,14978
325,4020,351,648,14981
326,4005,359,657,14979
327,3994,350,673,14983
328,3975,355,682,14988
329,3958,358,697,14987
330,3954,355,702,14989
331,3959,356,711,14974
332,3976,349,706,14969
333,3973,361,708,14958
334,3973,356,708,14963
335,3954,345,726,14975
336,3935,350,741,14974
337,3909,378,755,14958
338,3894,408,781,14917
339,3884,422,793,14901
340,3885,409,802,14904
341,3838,423,809,14930
342,3816,410,842,14932
343,3777,426,835,14962
344,3763,426,813,14998
345,3730,436,811,15023
346,3720,443,827,15010
347,3670,444,860,15026
348,3639,422,879,15060
349,3582,429,878,15111
350,3542,417,892,15149
351,3506,421,874,15199
352,3470,417,874,15239
353,3441,405,888,15266
354,3406,425,885,15284
