Iteration,S,E,I,R
0,19963,17,15,5
1,19949,28,13,10
2,19930,39,21,10
3,19908,47,34,11
4,19876,68,40,16
5,19840,88,45,27
6,19790,106,70,34
7,19736,125,97,42
8,19643,190,114,53
9,19546,239,142,73
10,19419,292,197,92
11,19261,368,255,116
12,19050,483,308,159
13,18770,620,411,199
14,18451,757,541,251
15,18003,995,685,317
16,17475,1246,881,398
17,16822,1540,1111,527
18,16042,1919,1365,674
19,15073,2323,1741,863
20,14004,2783,2142,1071
21,12738,3250,2659,1353
22,11298,3788,3201,1713
23,9850,4190,3828,2132
24,8369,4529,4446,2656
25,6980,4665,5122,3233
26,5631,4716,5708,3945
27,4484,4518,6285,4713
28,3496,4274,6700,5530
29,2746,3851,6946,6457
30,2094,3469,7116,7321
31,1603,3018,7096,8283
32,1244,2509,7051,9196
33,963,2131,6774,10132
34,789,1713,6507,10991
35,637,1435,6124,11804
36,542,1154,5745,12559
37,485,915,5331,13269
38,438,725,4922,13915
39,411,597,4440,14552
40,378,496,4024,15102
41,380,389,3634,15597
42,385,304,3250,16061
43,384,271,2887,16458
44,405,214,2586,16795
45,423,188,2311,17078
46,464,157,2036,17343
47,481,151,1836,17532
48,525,132,1623,17720
49,551,130,1415,17904
50,603,108,1253,18036
51,633,108,1123,18136
52,650,112,1012,18226
53,700,98,909,18293
54,732,86,784,18398
55,787,80,695,18438
56,819,83,611,18487
57,866,71,561,18502
58,932,60,511,18497
59,987,59,461,18493
60,1040,63,412,18485
61,1080,60,366,18494
62,1124,57,337,18482
63,1183,53,282,18482
64,1236,50,255,18459
65,1301,40,240,18419
66,1349,49,220,18382
67,1394,54,207,18345
68,1454,54,182,18310
69,1524,52,171,18253
70,1577,51,157,18215
71,1639,48,154,18159
72,1692,47,155,18106
73,1748,48,149,18055
74,1800,36,152,18012
75,1858,36,136,17970
76,1922,40,120,17918
77,1964,35,112,17889
78,2012,28,107,17853
79,2065,28,100,17807
80,2119,31,97,17753
81,2167,32,92,17709
82,2202,33,88,17677
83,2254,29,78,17639
84,2305,29,79,17587
85,2360,30,72,17538
86,2407,31,79,17483
87,2456,27,73,17444
88,2500,21,73,17406
89,2557,20,70,17353
90,2611,23,68,17298
91,2670,28,64,17238
92,2722,29,55,17194
93,2764,30,44,17162
94,2824,25,43,17108
95,2882,22,44,17052
96,2935,26,40,16999
97,2973,24,43,16960
98,3008,26,39,16927
99,3052,22,41,16885
100,3100,20,38,16842
101,3154,20,38,16788
102,3199,18,41,16742
103,3246,17,38,16699
104,3300,17,42,16641
105,3339,16,42,16603
106,3397,11,39,16553
107,3445,18,37,16500
108,3494,18,39,16449
109,3547,16,39,16398
110,3587,15,44,16354
111,3644,17,37,16302
112,3688,16,37,16259
113,3742,19,33,16206
114,3802,16,27,16155
115,3849,17,28,16106
116,3886,10,35,16069
117,3921,13,29,16037
118,3957,11,30,16002
119,3999,13,30,15958
120,4039,20,30,15911
121,4082,16,33,15869
122,4114,17,29,15840
123,4143,17,33,15807
124,4182,17,34,15767
125,4223,19,30,15728
126,4272,21,31,15676
127,4317,20,28,15635
128,4357,21,32,15590
129,4402,20,32,15546
130,4451,21,34,15494
131,4472,25,36,15467
132,4520,22,35,15423
133,4557,22,38,15383
134,4593,23,38,15346
135,4625,21,38,15316
136,4670,21,39,15270
137,4700,26,42,15232
138,4730,33,42,15195
139,4755,32,49,15164
140,4793,34,48,15125
141,4843,30,49,15078
142,4893,26,57,15024
143,4922,31,61,14986
144,4956,33,65,14946
145,4986,37,59,14918
146,5013,36,64,14887
147,5045,33,67,14855
148,5075,36,62,14827
149,5105,40,64,14791
150,5143,48,67,14742
151,5164,43,75,14718
152,5195,52,74,14679
153,5221,53,74,14652
154,5243,47,80,14630
155,5273,48,83,14596
156,5311,50,94,14545
157,5332,59,97,14512
158,5347,71,103,14479
159,5382,69,105,14444
160,5393,80,109,14418
161,5412,84,112,14392
162,5428,76,131,14365
163,5456,77,128,14339
164,5450,83,131,14336
165,5478,87,142,14293
166,5483,95,153,14269
167,5495,102,156,14247
168,5508,101,169,14222
169,5520,106,171,14203
170,5518,110,177,14195
171,5512,114,185,14189
172,5524,116,195,14165
173,5520,135,207,14138
174,5514,145,214,14127
175,5522,144,218,14116
176,5524,151,220,14105
177,5521,140,242,14097
178,5510,156,244,14090
179,5503,170,254,14073
180,5487,161,270,14082
181,5479,170,279,14072
182,5457,178,285,14080
183,5452,187,294,14067
184,5426,193,316,14065
185,5411,204,339,14046
186,5377,223,360,14040
187,5353,239,376,14032
188,5309,254,393,14044
189,5262,276,415,14047
190,5222,284,455,14039
191,5169,296,471,14064
192,5131,296,475,14098
193,5107,302,479,14112
194,5044,338,495,14123
195,4998,336,533,14133
196,4940,348,553,14159
197,4888,359,575,14178
198,4830,358,603,14209
199,4791,357,603,14249
200,4742,352,622,14284
201,4684,380,620,14316
202,4633,384,638,14345
203,4590,388,655,14367
204,4527,402,672,14399
205,4452,422,704,14422
206,4371,423,730,14476
207,4313,411,764,14512
208,4229,429,800,14542
209,4141,429,817,14613
210,4055,451,830,14664
211,3994,461,828,14717
212,3936,459,841,14764
213,3844,439,894,14823
214,3752,451,926,14871
215,3674,436,947,14943
216,3624,438,928,15010
217,3580,444,913,15063
218,3491,467,916,15126
219,3449,422,925,15204
220,3415,409,893,15283
221,3365,411,871,15353
222,3323,403,896,15378
223,3278,389,876,15457
224,3232,375,881,15512
225,3212,369,863,15556
226,3171,362,858,15609
227,3159,360,828,15653
228,3123,357,811,15709
229,3099,367,788,15746
230,3073,375,771,15781
231,3063,366,767,15804
232,3034,361,756,15849
233,3030,350,755,15865
234,3018,329,768,15885
235,2980,344,741,15935
236,2987,328,739,15946
237,2973,321,709,15997
238,2979,304,698,16019
239,2996,298,688,16018
240,2994,284,691,16031
241,2986,276,702,16036
242,2987,259,705,16049
243,3002,261,650,16087
244,3030,236,647,16087
245,3020,247,622,16111
246,3014,262,604,16120
247,3023,257,584,16136
248,3038,248,571,16143
249,3042,247,583,16128
250,3054,250,561,16135
251,3089,241,547,16123
252,3107,248,537,16108
253,3126,253,535,16086
254,3144,245,522,16089
255,3169,238,504,16089
256,3199,222,515,16064
257,3212,207,532,16049
258,3229,206,508,16057
259,3264,184,504,16048
260,3292,198,474,16036
261,3319,211,465,16005
262,3363,202,477,15958
263,3386,205,458,15951
264,3427,191,450,15932
265,3463,203,442,15892
266,3483,198,446,15873
267,3516,199,442,15843
268,3541,209,418,15832
269,3572,194,438,15796
270,3577,216,424,15783
271,3602,220,420,15758
272,3642,199,437,15722
273,3687,201,420,15692
274,3708,210,407,15675
275,3753,207,396,15644
276,3777,211,407,15605
277,3801,218,397,15584
278,3807,233,396,15564
279,3832,234,404,15530
280,3847,229,395,15529
281,3868,228,395,15509
282,3905,209,408,15478
283,3929,202,399,15470
284,3961,202,398,15439
285,3980,215,412,15393
286,4015,212,420,15353
287,4022,220,427,15331
288,4030,233,423,15314
289,4056,220,441,15283
290,4069,241,424,15266
291,4096,232,434,15238
292,4124,212,448,15216
293,4151,217,447,15185
294,4175,219,444,15162
295,4166,258,419,15157
296,4187,250,446,15117
297,4199,263,433,15105
298,4211,244,457,15088
299,4215,252,456,15077
300,4215,266,473,15046
301,4220,250,494,15036
302,4238,249,499,15014
303,4230,243,497,15030
304,4258,254,485,15003
305,4253,266,478,15003
306,4267,260,488,14985
307,4283,247,501,14969
308,4277,253,532,14938
309,4273,268,541,14918
310,4276,250,562,14912
311,4243,276,565,14916
312,4254,281,581,14884
313,4249,294,576,14881
314,4251,316,580,14853
315,4212,329,576,14883
316,4211,316,597,14876
317,4191,316,610,14883
318,4187,303,638,14872
319,4160,338,617,14885
320,4147,346,630,14877
321,4118,347,640,14895
322,4126,341,652,14881
323,4124,324,679,14873
324,4114,322,681,14883
325,4107,322,679,14892
326,4077,344,679,14900
327,4076,366,685,14873
328,4055,353,711,14881
329,4000,383,733,14884
330,3967,399,733,14901
331,3970,377,742,14911
332,3948,405,728,14919
333,3910,414,737,14939
334,3890,409,760,14941
335,3880,422,748,14950
336,3868,429,760,14943
337,3859,421,756,14964
338,3828,418,758,14996
339,3796,428,772,15004
340,3787,408,802,15003
341,3768,409,798,15025
342,3759,397,810,15034
343,3727,419,804,15050
344,3724,411,819,15046
345,3701,406,824,15069
346,3679,399,826,15096
347,3667,382,852,15099
348,3620,399,850,15131
349,3599,414,871,15116
350,3559,430,875,15136
351,3542,417,887,15154
352,3530,423,871,15176
353,3522,424,866,15188
354,3502,416,870,15212
355,3489,395,876,15240
356,3487,379,870,15264
357,3456,388,875,15281
358,3450,401,860,15289
359,3437,417,864,15282
360,3400,411,862,15327
361,3405,407,853,15335
362,3393,411,837,15359
363,3386,383,844,15387
364,3380,387,814,15419
365,3362,377,814,15447
366,3315,394,812,15479
367,3279,381,837,15503
368,3273,393,833,15501
369,3256,393,827,15524
370,3244,395,801,15560
371,3234,383,792,15591
372,3232,373,818,15577
373,3224,368,833,15575
374,3230,367,809,15594
375,3221,366,810,15603
376,3238,350,803,15609
377,3260,330,818,15592
378,3279,325,786,15610
379,3301,320,768,15611
380,3303,340,733,15624
381,3298,340,737,15625
382,3306,315,739,15640
383,3302,301,762,15635
384,3307,309,747,15637
385,3316,315,740,15629
386,3340,315,738,15607
387,3324,327,721,15628
388,3314,349,680,15657
389,3315,311,710,15664
390,3318,318,686,15678
391,3332,296,659,15713
392,3378,301,648,15673
393,3422,292,625,15661
394,3440,287,627,15646
395,3466,294,619,15621
396,3468,296,631,15605
397,3493,294,610,15603
398,3502,296,615,15587
399,3520,290,619,15571
400,3546,290,617,15547
401,3568,290,616,15526
402,3579,297,600,15524
403,3597,283,592,15528
404,3608,286,587,15519
405,3619,293,580,15508
406,3619,292,585,15504
407,3632,297,578,15493
408,3648,294,591,15467
409,3664,280,589,15467
410,3683,294,582,15441
411,3684,302,585,15429
412,3700,304,578,15418
413,3709,302,587,15402
414,3716,313,583,15388
415,3743,293,610,15354
416,3774,290,618,15318
417,3783,291,610,15316
418,3791,301,613,15295
419,3809,326,599,15266
420,3815,337,615,15233
421,3833,337,606,15224
422,3822,309,647,15222
423,3821,321,643,15215
424,3824,326,642,15208
425,3842,311,640,15207
426,3837,315,639,15209
427,3810,319,653,15218
428,3826,299,646,15229
429,3826,318,648,15208
430,3810,316,650,15224
431,3826,310,628,15236
432,3831,304,619,15246
433,3830,297,601,15272
434,3830,290,615,15265
435,3833,305,619,15243
436,3813,321,637,15229
437,3812,323,634,15231
438,3815,321,640,15224
439,3784,353,629,15234
440,3774,342,636,15248
441,3778,334,626,15262
442,3745,347,632,15276
443,3733,352,642,15273
444,3737,345,658,15260
445,3725,353,646,15276
446,3739,342,670,15249
447,3746,320,687,15247
448,3747,325,704,15224
449,3749,332,711,15208
450,3740,350,701,15209
451,3735,345,714,15206
452,3735,354,696,15215
453,3732,344,717,15207
454,3707,352,725,15216
455,3719,306,751,15224
456,3700,346,715,15239
457,3703,358,697,15242
458,3702,328,722,15248
459,3718,326,707,15249
460,3724,333,699,15244
461,3728,327,699,15246
462,3735,319,699,15247
463,3736,320,692,15252
464,3743,312,710,15235
465,3729,329,716,15226
466,3724,339,678,15259
467,3712,329,690,15269
468,3709,346,683,15262
469,3710,345,666,15279
470,3702,336,687,15275
471,3705,349,683,15263
472,3707,349,693,15251
473,3693,363,694,15250
474,3680,368,693,15259
475,3672,362,719,15247
476,3711,334,719,15236
477,3680,356,682,15282
478,3681,356,682,15281
479,3701,351,671,15277
480,3696,340,679,15285
481,3713,336,683,15268
482,3741,311,687,15261
483,3740,330,669,15261
484,3718,344,682,15256
485,3729,355,665,15251
486,3709,351,686,15254
487,3707,342,712,15239
488,3723,350,695,15232
489,3729,338,716,15217
490,3714,358,718,15210
491,3697,353,723,15227
492,3690,354,724,15232
493,3674,364,699,15263
494,3668,356,695,15281
495,3662,370,689,15279
496,3654,371,702,15273
497,3615,380,712,15293
498,3598,372,732,15298
499,3580,377,732,15311
500,3586,377,733,15304
501,3581,369,745,15305
502,3575,361,754,15310
503,3574,378,743,15305
504,3572,343,747,15338
505,3555,345,761,15339
506,3533,368,734,15365
507,3518,379,729,15374
508,3523,368,742,15367
509,3533,352,738,15377
510,3536,348,749,15367
511,3532,355,738,15375
512,3512,346,738,15404
513,3519,330,750,15401
514,3520,350,749,15381
515,3482,361,754,15403
516,3499,346,737,15418
517,3495,361,730,15414
518,3524,343,739,15394
519,3527,346,738,15389
520,3511,358,744,15387
521,3478,349,777,15396
522,3448,356,751,15445
523,3454,345,750,15451
524,3431,357,743,15469
525,3429,367,749,15455
526,3435,368,738,15459
527,3426,372,729,15473
528,3425,367,750,15458
529,3423,379,744,15454
530,3402,381,764,15453
531,3417,361,762,15460
532,3413,339,775,15473
533,3410,343,763,15484
534,3405,326,776,15493
535,3434,315,771,15480
536,3440,308,764,15488
537,3438,331,735,15496
538,3419,357,720,15504
539,3442,339,735,15484
540,3421,341,736,15502
541,3405,339,734,15522
542,3421,343,732,15504
543,3440,336,697,15527
544,3448,327,696,15529
545,3422,358,686,15534
546,3452,324,684,15540
547,3470,309,680,15541
548,3493,314,656,15537
549,3503,325,641,15531
550,3515,304,649,15532
551,3521,305,635,15539
552,3547,269,644,15540
553,3541,283,644,15532
554,3535,312,634,15519
555,3555,280,642,15523
556,3579,299,621,15501
557,3602,307,603,15488
558,3617,294,603,15486
559,3640,269,616,15475
560,3681,276,623,15420
561,3689,288,618,15405
562,3692,295,621,15392
563,3724,310,609,15357
564,3755,317,589,15339
565,3745,324,601,15330
566,3743,349,592,15316
567,3785,305,609,15301
568,3794,314,622,15270
569,3804,311,607,15278
570,3800,324,620,15256
571,3791,338,641,15230
572,3799,341,633,15227
573,3790,342,653,15215
574,3781,332,674,15213
575,3764,343,674,15219
576,3771,342,686,15201
577,3792,339,666,15203
578,3825,317,677,15181
579,3828,315,674,15183
580,3843,320,680,15157
581,3868,306,677,15149
582,3872,292,679,15157
583,3859,316,666,15159
584,3870,313,654,15163
585,3873,314,640,15173
586,3884,309,637,15170
587,3893,299,633,15175
588,3917,298,629,15156
589,3942,305,633,15120
590,3957,316,627,15100
591,3976,319,639,15066
592,3979,314,647,15060
593,3977,315,620,15088
594,3978,319,610,15093
595,4002,309,621,15068
596,4011,300,623,15066
597,3998,329,626,15047
598,4017,323,625,15035
599,4014,335,633,15018
600,4017,345,633,15005
601,4026,322,668,14984
602,4042,326,651,14981
603,4033,342,646,14979
604,4029,351,654,14966
605,4027,358,661,14954
606,4058,338,682,14922
607,4061,339,678,14922
608,4064,355,665,14916
609,4072,351,700,14877
610,4082,341,701,14876
611,4066,368,697,14869
612,4027,406,700,14867
613,4030,379,713,14878
614,4000,389,715,14896
615,4007,393,719,14881
616,3998,388,753,14861
617,3983,383,789,14845
618,3941,410,794,14855
619,3921,411,802,14866
620,3916,394,807,14883
621,3862,414,822,14902
622,3824,404,847,14925
623,3811,425,842,14922
624,3798,438,832,14932
625,3754,439,862,14945
626,3710,440,841,15009
627,3694,402,875,15029
628,3688,399,865,15048
629,3691,404,846,15059
630,3666,415,831,15088
631,3650,416,848,15086
632,3644,393,839,15124
633,3637,399,842,15122
634,3610,392,841,15157
635,3583,412,819,15186
636,3585,406,810,15199
637,3546,415,792,15247
638,3533,411,796,15260
639,3548,386,826,15240
640,3544,373,838,15245
641,3549,367,834,15250
642,3543,372,818,15267
643,3524,382,819,15275
644,3535,381,834,15250
645,3538,386,808,15268
646,3570,343,819,15268
647,3583,340,814,15263
648,3583,330,812,15275
649,3553,345,803,15299
650,3556,351,780,15313
651,3559,352,758,15331
652,3556,357,760,15327
653,3567,351,764,15318
654,3578,341,756,15325
655,3559,345,751,15345
656,3547,363,736,15354
657,3536,354,735,15375
658,3547,342,747,15364
659,3556,339,731,15374
660,3551,331,744,15374
661,3577,333,748,15342
662,3587,339,742,15332
663,3576,354,722,15348
664,3589,332,731,15348
665,3562,342,723,15373
666,3578,344,712,15366
667,3576,344,689,15391
668,3586,337,687,15390
669,3585,339,676,15400
670,3588,322,686,15404
671,3575,321,706,15398
672,3581,326,699,15394
673,3578,316,706,15400
674,3573,319,713,15395
675,3595,309,707,15389
676,3590,314,697,15399
677,3612,308,688,15392
678,3615,305,686,15394
679,3633,293,695,15379
680,3650,309,689,15352
681,3649,302,707,15342
682,3656,318,685,15341
683,3648,323,678,15351
684,3658,316,695,15331
685,3682,311,684,15323
686,3690,331,669,15310
687,3697,334,668,15301
688,3709,325,682,15284
689,3727,316,692,15265
690,3746,300,707,15247
691,3746,321,669,15264
692,3728,317,677,15278
693,3728,327,674,15271
694,3735,325,681,15259
695,3720,334,659,15287
696,3711,332,692,15265
697,3731,314,678,15277
698,3724,329,664,15283
699,3729,323,659,15289
700,3730,329,642,15299
701,3754,305,660,15281
702,3773,314,631,15282
703,3780,312,621,15287
704,3799,310,606,15285
705,3814,294,629,15263
706,3814,303,637,15246
707,3823,289,638,15250
708,3834,301,639,15226
709,3853,302,629,15216
710,3864,309,593,15234
711,3874,308,590,15228
712,3893,301,600,15206
713,3896,304,605,15195
714,3909,307,610,15174
715,3905,312,619,15164
716,3896,313,612,15179
717,3924,323,596,15157
718,3930,310,600,15160
719,3920,339,605,15136
720,3947,332,609,15112
721,3953,329,619,15099
722,3965,324,619,15092
723,3978,304,614,15104
724,4003,293,615,15089
725,3991,302,627,15080
726,3991,324,618,15067
727,3991,328,632,15049
728,3983,322,648,15047
729,3982,331,634,15053
