Iteration,S,E,I,R
0,19967,13,19,1
1,19954,19,23,4
2,19938,30,26,6
3,19917,44,28,11
4,19895,58,34,13
5,19859,75,48,18
6,19823,88,64,25
7,19765,123,82,30
8,19688,170,102,40
9,19587,225,140,48
10,19463,279,188,70
11,19314,335,249,102
12,19094,450,320,136
13,18822,595,405,178
14,18503,751,515,231
15,18103,942,656,299
16,17597,1191,827,385
17,16945,1482,1078,495
18,16128,1886,1352,634
19,15189,2285,1702,824
20,14091,2734,2114,1061
21,12796,3297,2574,1333
22,11422,3721,3210,1647
23,10039,4070,3834,2057
24,8468,4508,4464,2560
25,7013,4734,5092,3161
26,5641,4778,5773,3808
27,4520,4566,6339,4575
28,3511,4348,6714,5427
29,2727,3916,7075,6282
30,2116,3386,7301,7197
31,1635,2949,7310,8106
32,1244,2511,7122,9123
33,956,2080,6902,10062
34,765,1718,6535,10982
35,618,1400,6177,11805
36,519,1140,5735,12606
37,452,904,5288,13356
38,430,732,4867,13971
39,404,607,4426,14563
40,370,514,4018,15098
41,357,412,3658,15573
42,363,346,3262,16029
43,391,293,2929,16387
44,397,254,2622,16727
45,407,210,2361,17022
46,437,170,2100,17293
47,463,151,1841,17545
48,499,127,1604,17770
49,532,126,1398,17944
50,550,128,1270,18052
51,604,103,1145,18148
52,634,91,1012,18263
53,655,92,900,18353
54,696,73,796,18435
55,747,70,704,18479
56,774,73,616,18537
57,828,65,539,18568
58,878,60,481,18581
59,931,51,427,18591
60,986,48,369,18597
61,1052,41,336,18571
62,1118,44,305,18533
63,1170,38,273,18519
64,1220,45,240,18495
65,1283,38,217,18462
66,1345,35,195,18425
67,1397,34,171,18398
68,1458,26,166,18350
69,1532,26,150,18292
70,1585,27,138,18250
71,1639,25,125,18211
72,1700,24,110,18166
73,1759,25,98,18118
74,1809,31,82,18078
75,1865,22,84,18029
76,1914,24,77,17985
77,1974,30,74,17922
78,2033,26,68,17873
79,2089,25,65,17821
80,2151,25,67,17757
81,2206,18,69,17707
82,2264,18,64,17654
83,2314,19,54,17613
84,2360,21,55,17564
85,2417,19,55,17509
86,2461,27,49,17463
87,2507,25,49,17419
88,2564,23,43,17370
89,2603,17,41,17339
90,2649,11,44,17296
91,2701,16,40,17243
92,2756,13,38,17193
93,2808,16,32,17144
94,2852,19,33,17096
95,2882,15,35,17068
96,2931,15,33,17021
97,2977,14,33,16976
98,3024,12,34,16930
99,3087,10,33,16870
100,3133,11,30,16826
101,3177,14,26,16783
102,3227,13,30,16730
103,3277,17,28,16678
104,3323,17,30,16630
105,3372,17,32,16579
106,3423,15,30,16532
107,3460,13,31,16496
108,3510,16,26,16448
109,3553,18,27,16402
110,3617,15,27,16341
111,3669,13,29,16289
112,3698,21,27,16254
113,3740,17,30,16213
114,3782,18,28,16172
115,3824,17,29,16130
116,3870,18,32,16080
117,3903,16,37,16044
118,3950,15,35,16000
119,4003,13,33,15951
120,4039,14,28,15919
121,4083,15,27,15875
122,4130,17,26,15827
123,4149,21,28,15802
124,4196,15,30,15759
125,4220,13,32,15735
126,4255,12,38,15695
127,4289,13,39,15659
128,4332,15,41,15612
129,4376,15,42,15567
130,4416,19,38,15527
131,4469,21,35,15475
132,4508,27,34,15431
133,4548,26,34,15392
134,4580,19,30,15371
135,4619,24,28,15329
136,4649,24,31,15296
137,4684,26,31,15259
138,4736,26,34,15204
139,4762,29,41,15168
140,4804,31,39,15126
141,4841,35,34,15090
142,4896,26,44,15034
143,4940,29,48,14983
144,4978,27,48,14947
145,5019,29,50,14902
146,5054,32,52,14862
147,5085,31,55,14829
148,5119,31,60,14790
149,5153,33,57,14757
150,5167,36,64,14733
151,5196,36,65,14703
152,5231,40,63,14666
153,5253,42,70,14635
154,5276,55,72,14597
155,5303,53,82,14562
156,5330,61,80,14529
157,5338,67,88,14507
158,5354,76,89,14481
