Iteration,S,E,I,R
0,19967,13,19,1
1,19954,21,18,7
2,19936,34,20,10
3,19914,43,30,13
4,19885,60,40,15
5,19850,79,53,18
6,19811,98,64,27
7,19762,121,80,37
8,19678,167,107,48
9,19578,221,143,58
10,19442,283,202,73
11,19265,363,269,103
12,19041,495,325,139
13,18753,637,429,181
14,18392,827,547,234
15,17945,1035,719,301
16,17361,1301,936,402
17,16671,1635,1150,544
18,15828,1997,1496,679
19,14810,2441,1892,857
20,13616,2982,2282,1120
21,12247,3499,2846,1408
22,10816,3893,3541,1750
23,9261,4293,4215,2231
24,7763,4639,4800,2798
25,6377,4705,5478,3440
26,5062,4654,6135,4149
27,3930,4510,6607,4953
28,2985,4220,6969,5826
29,2304,3701,7258,6737
30,1759,3216,7314,7711
31,1361,2756,7177,8706
32,1077,2244,7038,9641
33,831,1857,6740,10572
34,681,1531,6348,11440
35,557,1256,5935,12252
36,486,1026,5473,13015
37,427,866,4983,13724
38,399,700,4566,14335
39,396,555,4155,14894
40,392,449,3760,15399
41,390,365,3389,15856
42,417,294,3010,16279
43,428,251,2660,16661
44,451,227,2396,16926
45,493,183,2174,17150
46,519,154,1965,17362
47,541,138,1738,17583
48,574,131,1572,17723
49,603,138,1386,17873
50,636,145,1237,17982
51,691,124,1099,18086
52,722,112,978,18188
53,758,98,874,18270
54,801,104,782,18313
55,841,89,719,18351
56,893,74,624,18409
57,946,69,552,18433
58,979,64,499,18458
59,1058,58,451,18433
60,1091,70,394,18445
61,1126,61,357,18456
62,1179,46,322,18453
63,1229,49,287,18435
64,1281,46,267,18406
65,1322,36,258,18384
66,1384,41,227,18348
67,1440,38,208,18314
68,1509,38,188,18265
69,1570,35,167,18228
70,1628,35,143,18194
71,1679,34,132,18155
72,1742,26,133,18099
73,1795,31,119,18055
74,1857,31,104,18008
75,1906,28,97,17969
76,1962,28,92,17918
77,2031,25,82,17862
78,2068,32,75,17825
79,2127,25,79,17769
80,2178,23,81,17718
81,2232,18,78,17672
82,2273,24,67,17636
83,2320,17,67,17596
84,2376,15,58,17551
85,2436,13,57,17494
86,2483,8,55,17454
87,2531,11,50,17408
88,2608,11,47,17334
89,2654,11,47,17288
90,2705,10,39,17246
91,2756,13,31,17200
92,2810,13,32,17145
93,2866,15,30,17089
94,2912,14,32,17042
95,2963,11,33,16993
