Iteration,S,E,I,R
0,19956,24,18,2
1,19939,34,23,4
2,19920,42,31,7
3,19903,45,41,11
4,19873,62,48,17
5,19838,76,64,22
6,19771,124,76,29
7,19692,168,103,37
8,19595,217,140,48
9,19468,297,170,65
10,19324,355,236,85
11,19125,447,307,121
12,18871,567,408,154
13,18532,751,516,201
14,18070,993,668,269
15,17588,1189,872,351
16,16931,1517,1083,469
17,16169,1870,1350,611
18,15174,2340,1700,786
19,14051,2816,2104,1029
20,12760,3309,2633,1298
21,11383,3714,3258,1645
22,9855,4187,3885,2073
23,8400,4480,4496,2624
24,6944,4681,5185,3190
25,5617,4671,5839,3873
26,4411,4555,6385,4649
27,3404,4244,6891,5461
28,2590,3885,7106,6419
29,1997,3352,7281,7370
30,1519,2891,7268,8322
31,1169,2426,7165,9240
32,913,2000,6886,10201
33,699,1640,6610,11051
34,587,1330,6199,11884
35,524,1048,5740,12688
36,479,828,5297,13396
37,434,662,4834,14070
38,408,543,4364,14685
39,392,456,3942,15210
40,388,358,3542,15712
41,392,283,3177,16148
42,400,233,2848,16519
43,416,211,2517,16856
44,434,202,2238,17126
45,454,181,1973,17392
46,484,150,1774,17592
47,520,138,1568,17774
48,569,117,1417,17897
49,609,107,1251,18033
50,646,107,1108,18139
51,688,91,1005,18216
52,734,79,901,18286
53,783,85,792,18340
54,794,96,697,18413
55,855,89,608,18448
56,885,79,538,18498
57,941,67,490,18502
58,990,55,447,18508
59,1036,57,414,18493
60,1095,62,373,18470
61,1163,45,348,18444
62,1216,53,319,18412
63,1276,55,278,18391
64,1324,52,251,18373
65,1376,48,233,18343
66,1439,55,206,18300
67,1497,47,200,18256
68,1554,49,182,18215
69,1602,43,176,18179
70,1668,32,173,18127
71,1720,34,160,18086
72,1770,31,146,18053
73,1824,21,141,18014
74,1877,19,129,17975
75,1931,28,115,17926
76,1984,26,106,17884
77,2047,25,102,17826
78,2101,25,92,17782
79,2154,21,93,17732
80,2211,22,85,17682
81,2269,25,78,17628
82,2330,27,68,17575
83,2386,31,61,17522
84,2445,23,59,17473
85,2499,20,62,17419
86,2539,17,58,17386
87,2589,16,49,17346
88,2641,14,46,17299
89,2698,16,46,17240
90,2742,17,40,17201
91,2796,16,38,17150
92,2854,14,39,17093
93,2901,18,37,17044
94,2939,16,38,17007
95,2991,14,39,16956
96,3027,22,33,16918
97,3067,15,39,16879
98,3114,15,39,16832
99,3175,15,38,16772
100,3231,16,34,16719
101,3281,23,25,16671
102,3327,19,29,16625
103,3363,16,33,16588
104,3405,17,33,16545
105,3447,13,33,16507
106,3481,14,32,16473
107,3531,21,28,16420
108,3580,19,28,16373
109,3611,17,28,16344
110,3650,16,33,16301
111,3697,15,28,16260
112,3731,13,22,16234
113,3764,14,21,16201
114,3805,14,21,16160
115,3845,13,21,16121
116,3893,13,16,16078
117,3938,15,17,16030
118,3991,14,16,15979
119,4029,11,19,15941
120,4064,7,21,15908
121,4105,5,24,15866
122,4164,9,21,15806
123,4196,9,23,15772
124,4238,10,25,15727
125,4291,13,24,15672
126,4331,15,28,15626
127,4364,15,30,15591
128,4411,13,30,15546
129,4449,13,29,15509
130,4490,15,26,15469
131,4522,18,21,15439
132,4560,13,21,15406
133,4610,14,22,15354
134,4646,15,26,15313
135,4691,14,28,15267
136,4732,12,33,15223
137,4776,11,33,15180
138,4824,10,26,15140
139,4862,14,23,15101
140,4913,16,20,15051
141,4963,12,20,15005
142,5005,9,26,14960
143,5044,9,27,14920
144,5087,13,25,14875
145,5112,14,27,14847
146,5145,13,28,14814
147,5187,15,31,14767
