Iteration,S,E,I,R
0,19960,20,16,4
1,19953,25,15,7
2,19944,27,19,10
3,19931,34,23,12
4,19918,39,24,19
5,19891,57,32,20
6,19873,54,48,25
7,19832,77,61,30
8,19771,110,80,39
9,19693,154,105,48
10,19603,208,127,62
11,19502,254,162,82
12,19352,332,214,102
13,19155,442,272,131
14,18892,588,351,169
15,18590,730,471,209
16,18192,920,619,269
17,17689,1201,773,337
18,17062,1487,1009,442
19,16302,1818,1301,579
20,15385,2216,1643,756
21,14286,2679,2072,963
22,13076,3149,2549,1226
23,11675,3634,3123,1568
24,10211,4113,3720,1956
25,8764,4407,4384,2445
26,7320,4638,5036,3006
27,5916,4673,5722,3689
28,4741,4542,6235,4482
29,3682,4268,6712,5338
30,2822,3950,7009,6219
31,2140,3495,7209,7156
32,1636,2997,7308,8059
33,1258,2553,7152,9037
34,979,2105,6878,10038
35,773,1731,6552,10944
36,601,1438,6158,11803
37,518,1147,5799,12536
38,466,934,5362,13238
39,439,747,4941,13873
40,402,606,4479,14513
41,398,484,4074,15044
42,406,397,3645,15552
43,413,326,3270,15991
44,441,258,2923,16378
45,463,220,2616,16701
46,493,180,2306,17021
47,515,174,2023,17288
48,548,157,1805,17490
49,559,137,1635,17669
50,601,126,1457,17816
51,628,118,1270,17984
52,682,104,1111,18103
53,724,100,994,18182
54,757,103,901,18239
55,806,98,798,18298
56,843,94,709,18354
57,894,83,650,18373
58,937,69,611,18383
59,992,56,552,18400
60,1054,51,475,18420
61,1117,52,412,18419
62,1168,53,368,18411
63,1226,51,314,18409
64,1267,44,300,18389
65,1313,41,264,18382
66,1369,40,241,18350
67,1429,30,220,18321
68,1488,32,196,18284
69,1531,37,169,18263
70,1583,36,153,18228
71,1651,35,139,18175
72,1713,34,128,18125
73,1767,31,122,18080
74,1807,39,103,18051
75,1870,24,104,18002
76,1920,24,99,17957
77,1977,26,92,17905
78,2035,32,87,17846
79,2093,32,79,17796
80,2149,28,78,17745
81,2206,24,73,17697
82,2261,21,69,17649
83,2306,22,69,17603
84,2343,24,63,17570
85,2403,20,57,17520
86,2444,25,46,17485
87,2497,19,51,17433
88,2551,22,50,17377
89,2603,21,50,17326
90,2670,18,48,17264
91,2718,21,44,17217
92,2767,20,43,17170
93,2815,17,45,17123
94,2853,19,43,17085
95,2898,18,38,17046
96,2932,23,37,17008
97,2980,22,35,16963
98,3025,19,38,16918
99,3080,16,41,16863
100,3117,14,36,16833
101,3164,16,34,16786
102,3212,15,31,16742
103,3266,9,33,16692
104,3319,9,30,16642
105,3372,8,28,16592
106,3423,6,30,16541
107,3482,6,26,16486
108,3517,10,26,16447
109,3574,9,26,16391
110,3619,8,27,16346
111,3677,7,28,16288
112,3723,9,27,16241
113,3765,10,27,16198
114,3806,16,22,16156
115,3847,13,26,16114
116,3891,12,27,16070
117,3942,13,25,16020
118,3983,16,25,15976
119,4024,17,24,15935
120,4067,12,29,15892
121,4097,14,26,15863
122,4138,16,26,15820
123,4181,13,30,15776
124,4208,13,30,15749
125,4252,15,34,15699
126,4292,14,34,15660
127,4343,16,30,15611
128,4373,16,32,15579
129,4414,15,33,15538
130,4443,19,27,15511
131,4496,14,34,15456
132,4532,15,35,15418
133,4571,14,33,15382
134,4610,19,31,15340
135,4642,25,31,15302
136,4700,25,35,15240
137,4743,22,42,15193
138,4775,21,45,15159
139,4814,24,44,15118
140,4849,27,41,15083
141,4881,26,39,15054
142,4924,23,39,15014
143,4974,26,37,14963
144,5011,25,39,14925
145,5040,35,37,14888
146,5066,33,41,14860
147,5111,30,40,14819
148,5151,27,39,14783
149,5185,25,45,14745
150,5219,24,43,14714
151,5266,23,46,14665
152,5303,26,45,14626
153,5333,25,46,14596
154,5372,26,41,14561
155,5407,24,42,14527
156,5438,26,46,14490
157,5477,27,41,14455
158,5503,33,46,14418
159,5532,33,46,14389
160,5558,37,49,14356
161,5588,38,58,14316
162,5618,34,63,14285
163,5655,28,68,14249
164,5684,36,66,14214
165,5700,51,63,14186
166,5721,56,70,14153
167,5745,54,82,14119
168,5760,56,81,14103
169,5780,57,90,14073
170,5815,52,84,14049
171,5835,53,89,14023
172,5864,58,96,13982
173,5894,64,98,13944
174,5919,69,104,13908
175,5942,79,106,13873
176,5950,98,105,13847
177,5961,95,122,13822
178,5971,100,125,13804
179,5995,101,134,13770
180,5991,103,148,13758
181,6000,107,161,13732
182,5992,134,162,13712
183,5994,123,181,13702
184,5992,137,184,13687
185,5990,145,190,13675
186,5990,149,192,13669
187,6004,148,207,13641
188,5985,159,221,13635
189,5988,153,232,13627
190,5968,166,235,13631
191,5962,176,232,13630
192,5954,175,253,13618
193,5925,183,286,13606
194,5887,204,305,13604
195,5860,224,305,13611
196,5831,230,328,13611
197,5786,251,350,13613
198,5751,252,369,13628
199,5723,252,388,13637
200,5669,283,399,13649
201,5605,310,415,13670
202,5532,338,443,13687
203,5470,332,491,13707
204,5421,346,518,13715
205,5345,362,549,13744
206,5269,391,587,13753
207,5193,408,626,13773
208,5125,417,666,13792
209,5020,440,705,13835
210,4918,471,737,13874
211,4840,466,750,13944
212,4752,468,788,13992
213,4650,484,791,14075
214,4576,468,830,14126
215,4465,500,849,14186
216,4374,492,883,14251
217,4251,517,890,14342
218,4138,538,904,14420
219,4034,541,939,14486
220,3961,521,961,14557
221,3887,469,1017,14627
222,3784,492,997,14727
223,3731,475,1005,14789
224,3631,491,1018,14860
225,3569,477,1012,14942
226,3494,467,1017,15022
227,3430,465,1022,15083
228,3366,455,1042,15137
229,3290,451,1031,15228
230,3232,451,1009,15308
231,3152,471,996,15381
232,3091,457,987,15465
233,3033,446,961,15560
234,2990,423,952,15635
235,2949,416,933,15702
236,2917,413,929,15741
237,2890,395,916,15799
238,2882,393,897,15828
239,2855,390,884,15871
240,2833,374,890,15903
241,2816,362,886,15936
242,2822,326,892,15960
243,2802,344,868,15986
244,2788,341,849,16022
245,2780,331,844,16045
246,2775,311,843,16071
247,2784,318,810,16088
248,2779,295,802,16124
249,2769,292,781,16158
250,2768,295,761,16176
251,2776,294,732,16198
252,2775,289,701,16235
253,2782,283,675,16260
254,2787,268,659,16286
255,2795,254,645,16306
256,2811,251,628,16310
257,2813,253,607,16327
258,2830,248,590,16332
259,2837,233,584,16346
260,2861,220,568,16351
261,2888,219,553,16340
262,2913,228,533,16326
263,2945,210,520,16325
264,2956,215,509,16320
265,2987,204,497,16312
266,2998,199,488,16315
267,3032,198,470,16300
268,3078,179,461,16282
269,3125,174,438,16263
270,3156,187,428,16229
271,3203,191,415,16191
272,3247,182,403,16168
273,3282,187,397,16134
274,3322,176,396,16106
275,3356,187,381,16076
276,3401,180,394,16025
277,3435,173,405,15987
278,3479,158,408,15955
279,3501,164,410,15925
280,3536,176,420,15868
281,3568,187,405,15840
282,3596,197,384,15823
283,3640,200,384,15776
284,3671,194,402,15733
285,3717,165,413,15705
286,3739,169,403,15689
287,3771,173,399,15657
288,3792,180,396,15632
289,3854,171,404,15571
290,3893,168,408,15531
291,3921,171,389,15519
292,3918,189,385,15508
293,3959,177,389,15475
294,3970,192,383,15455
295,3982,215,383,15420
296,4001,227,384,15388
297,4030,228,391,15351
298,4091,212,409,15288
299,4123,217,420,15240
300,4136,233,425,15206
301,4147,236,434,15183
302,4192,234,435,15139
303,4202,249,419,15130
304,4219,239,433,15109
305,4242,252,437,15069
306,4270,227,474,15029
307,4294,219,481,15006
308,4286,258,473,14983
309,4303,261,475,14961
310,4325,257,460,14958
311,4320,260,472,14948
312,4327,263,486,14924
313,4348,264,476,14912
314,4362,255,505,14878
315,4371,260,506,14863
316,4366,271,518,14845
317,4341,284,516,14859
318,4353,288,512,14847
319,4384,259,537,14820
320,4383,282,529,14806
321,4379,294,537,14790
322,4345,330,547,14778
323,4333,307,588,14772
324,4335,294,608,14763
325,4315,291,618,14776
326,4307,296,610,14787
327,4309,308,607,14776
328,4320,300,613,14767
329,4317,309,609,14765
330,4294,315,630,14761
331,4256,349,627,14768
332,4241,359,630,14770
333,4196,374,645,14785
334,4225,356,671,14748
335,4201,361,676,14762
336,4166,384,672,14778
337,4159,363,705,14773
338,4127,371,714,14788
339,4108,388,702,14802
340,4084,387,701,14828
341,4067,382,707,14844
342,4044,377,705,14874
343,4040,389,699,14872
344,4032,397,699,14872
345,3994,407,732,14867
346,3944,406,770,14880
347,3913,397,779,14911
348,3886,389,770,14955
349,3848,401,751,15000
350,3836,404,765,14995
351,3854,389,769,14988
352,3809,393,787,15011
353,3799,385,798,15018
354,3777,399,787,15037
355,3743,392,805,15060
356,3732,389,813,15066
357,3700,401,808,15091
358,3669,394,802,15135
359,3663,366,820,15151
360,3636,374,818,15172
361,3639,354,826,15181
362,3638,350,813,15199
363,3588,371,830,15211
364,3580,380,833,15207
365,3556,393,825,15226
366,3562,384,818,15236
367,3535,399,805,15261
368,3496,419,782,15303
369,3466,423,805,15306
370,3472,373,839,15316
371,3450,389,835,15326
372,3437,369,863,15331
373,3442,359,856,15343
374,3464,340,828,15368
375,3443,355,824,15378
376,3456,353,784,15407
377,3459,362,777,15402
378,3464,342,756,15438
379,3465,348,754,15433
380,3451,364,756,15429
381,3427,360,745,15468
382,3434,359,744,15463
383,3417,364,763,15456
384,3399,383,766,15452
385,3391,386,786,15437
386,3392,385,780,15443
387,3397,370,792,15441
388,3411,358,797,15434
389,3405,367,794,15434
390,3398,360,813,15429
391,3387,363,806,15444
392,3368,366,778,15488
393,3358,364,780,15498
394,3387,346,755,15512
395,3372,362,756,15510
396,3373,344,768,15515
397,3369,358,774,15499
398,3386,332,782,15500
399,3379,336,767,15518
400,3351,355,757,15537
401,3339,359,772,15530
402,3343,349,762,15546
403,3354,318,772,15556
404,3370,306,774,15550
405,3382,314,756,15548
406,3400,312,762,15526
407,3410,310,756,15524
408,3407,339,715,15539
409,3423,345,709,15523
410,3430,341,710,15519
411,3483,308,687,15522
412,3498,314,708,15480
413,3497,312,720,15471
414,3527,303,723,15447
415,3535,322,699,15444
416,3529,330,702,15439
417,3548,331,694,15427
418,3542,340,696,15422
419,3552,329,686,15433
420,3559,337,695,15409
421,3549,349,697,15405
422,3565,349,710,15376
423,3568,339,706,15387
424,3555,342,719,15384
425,3566,324,711,15399
426,3565,325,709,15401
427,3552,353,693,15402
428,3558,327,720,15395
429,3577,322,701,15400
430,3586,306,686,15422
431,3609,309,693,15389
432,3617,324,661,15398
433,3614,310,683,15393
434,3604,315,680,15401
435,3603,310,676,15411
436,3612,309,666,15413
437,3609,334,635,15422
438,3619,341,631,15409
439,3604,335,644,15417
440,3588,347,642,15423
441,3595,350,644,15411
442,3604,348,650,15398
443,3600,353,658,15389
444,3628,344,664,15364
445,3628,341,680,15351
446,3621,344,687,15348
447,3643,342,676,15339
448,3634,335,680,15351
449,3649,334,684,15333
450,3634,356,672,15338
451,3641,363,678,15318
452,3643,356,694,15307
453,3638,358,718,15286
454,3624,361,724,15291
455,3631,346,728,15295
456,3632,349,738,15281
457,3626,353,721,15300
458,3636,342,722,15300
459,3615,368,694,15323
460,3622,355,713,15310
461,3599,382,706,15313
462,3595,380,719,15306
463,3601,354,711,15334
464,3603,363,704,15330
465,3607,327,724,15342
466,3612,325,727,15336
467,3604,326,723,15347
468,3582,325,726,15367
469,3580,330,712,15378
470,3557,364,697,15382
471,3557,366,703,15374
472,3534,354,735,15377
473,3527,334,753,15386
474,3512,345,738,15405
475,3514,342,739,15405
476,3517,332,751,15400
477,3520,342,741,15397
478,3534,331,745,15390
479,3550,318,736,15396
480,3516,343,711,15430
481,3514,329,724,15433
482,3505,346,697,15452
483,3492,352,687,15469
484,3512,327,691,15470
485,3506,329,678,15487
486,3507,315,691,15487
487,3506,320,678,15496
488,3522,313,663,15502
489,3557,305,655,15483
490,3540,329,643,15488
491,3554,319,642,15485
492,3556,319,664,15461
493,3560,341,636,15463
494,3568,341,665,15426
495,3578,322,667,15433
496,3574,318,665,15443
497,3572,315,680,15433
498,3582,304,686,15428
499,3589,311,658,15442
500,3589,301,687,15423
501,3573,311,669,15447
502,3585,312,655,15448
503,3585,322,644,15449
504,3589,313,672,15426
505,3586,320,678,15416
506,3577,324,688,15411
507,3574,318,693,15415
508,3571,316,679,15434
509,3570,312,684,15434
510,3597,300,697,15406
511,3603,309,661,15427
512,3591,314,675,15420
513,3589,311,664,15436
514,3606,304,662,15428
515,3614,315,651,15420
516,3609,319,641,15431
517,3599,328,638,15435
518,3603,319,666,15412
519,3607,316,672,15405
520,3613,310,681,15396
521,3606,314,680,15400
522,3619,321,688,15372
523,3601,326,689,15384
524,3610,322,701,15367
525,3609,325,707,15359
526,3634,320,679,15367
527,3651,300,696,15353
528,3638,309,678,15375
529,3649,297,671,15383
530,3651,293,683,15373
531,3653,296,680,15371
532,3644,311,659,15386
533,3663,317,666,15354
534,3654,333,649,15364
535,3653,319,659,15369
536,3656,318,660,15366
537,3658,305,657,15380
538,3693,298,644,15365
539,3694,311,637,15358
540,3707,305,629,15359
541,3717,308,605,15370
542,3736,297,610,15357
543,3742,305,598,15355
544,3759,307,600,15334
545,3766,323,594,15317
546,3794,293,597,15316
547,3810,287,607,15296
548,3809,321,599,15271
549,3820,326,591,15263
550,3841,306,587,15266
551,3874,301,577,15248
552,3876,305,584,15235
553,3865,321,589,15225
554,3863,314,600,15223
555,3885,307,626,15182
556,3875,334,636,15155
557,3896,318,650,15136
558,3919,313,657,15111
559,3887,330,672,15111
560,3856,339,688,15117
561,3825,347,690,15138
562,3842,337,701,15120
563,3852,326,704,15118
564,3843,340,694,15123
565,3834,342,712,15112
566,3851,320,735,15094
567,3819,337,717,15127
568,3807,354,697,15142
569,3805,354,714,15127
570,3816,348,728,15108
571,3808,368,731,15093
572,3815,369,744,15072
573,3793,389,749,15069
574,3778,379,763,15080
575,3788,359,778,15075
576,3796,369,780,15055
577,3777,379,780,15064
578,3738,399,795,15068
579,3702,400,781,15117
580,3685,388,778,15149
581,3701,377,794,15128
582,3669,375,796,15160
583,3665,390,778,15167
584,3673,382,783,15162
585,3666,374,779,15181
586,3658,381,781,15180
587,3646,390,782,15182
588,3629,397,778,15196
589,3631,391,781,15197
590,3625,372,798,15205
591,3580,382,821,15217
592,3589,367,826,15218
593,3605,351,813,15231
594,3610,349,802,15239
595,3589,353,794,15264
596,3590,348,796,15266
597,3590,333,802,15275
598,3558,381,744,15317
599,3538,403,748,15311
600,3517,410,764,15309
601,3543,381,786,15290
602,3537,391,780,15292
603,3539,382,785,15294
604,3520,385,772,15323
605,3517,380,775,15328
606,3527,361,783,15329
607,3523,356,778,15343
608,3521,349,766,15364
609,3513,352,768,15367
610,3503,362,760,15375
611,3494,379,761,15366
612,3520,345,775,15360
613,3515,362,771,15352
614,3516,361,772,15351
615,3530,349,769,15352
616,3534,355,743,15368
617,3534,339,741,15386
618,3511,339,742,15408
619,3525,329,732,15414
620,3561,320,734,15385
621,3556,334,730,15380
622,3570,337,715,15378
623,3578,336,721,15365
624,3562,350,714,15374
625,3570,339,717,15374
626,3589,321,711,15379
627,3613,312,711,15364
628,3615,343,679,15363
629,3634,350,683,15333
630,3648,350,699,15303
631,3651,364,673,15312
632,3675,356,672,15297
633,3681,345,690,15284
634,3693,329,704,15274
635,3686,342,714,15258
636,3669,345,732,15254
637,3645,367,730,15258
638,3631,367,745,15257
639,3636,385,736,15243
640,3654,354,759,15233
641,3624,367,768,15241
642,3612,370,756,15262
643,3589,373,772,15266
644,3600,352,800,15248
645,3580,384,771,15265
646,3580,374,757,15289
647,3567,384,775,15274
648,3558,391,771,15280
649,3562,385,786,15267
650,3551,395,759,15295
651,3553,381,768,15298
652,3562,376,749,15313
653,3565,358,775,15302
654,3586,346,756,15312
655,3586,374,716,15324
656,3596,359,713,15332
657,3588,370,719,15323
658,3599,348,711,15342
659,3593,348,697,15362
660,3590,347,704,15359
661,3584,352,704,15360
662,3578,350,715,15357
663,3570,358,710,15362
664,3580,345,711,15364
665,3610,330,715,15345
666,3632,312,703,15353
667,3644,302,717,15337
668,3641,305,710,15344
669,3648,313,703,15336
670,3634,332,689,15345
671,3647,337,662,15354
672,3676,325,658,15341
673,3669,339,635,15357
674,3690,327,649,15334
675,3679,339,654,15328
676,3666,330,666,15338
677,3668,331,673,15328
678,3669,333,667,15331
679,3681,324,698,15297
680,3680,326,701,15293
681,3708,324,664,15304
682,3693,358,659,15290
683,3712,321,689,15278
684,3708,313,694,15285
685,3699,331,686,15284
686,3696,328,662,15314
687,3703,321,662,15314
688,3724,331,647,15298
689,3722,356,648,15274
690,3723,351,667,15259
691,3757,327,689,15227
692,3751,333,681,15235
693,3747,326,695,15232
694,3769,308,696,15227
695,3787,310,705,15198
696,3789,309,705,15197
697,3797,324,686,15193
698,3777,335,701,15187
699,3796,333,704,15167
700,3769,349,706,15176
701,3780,360,701,15159
702,3776,344,692,15188
703,3767,377,679,15177
704,3771,377,695,15157
705,3768,379,699,15154
706,3759,373,725,15143
707,3741,358,745,15156
708,3711,386,743,15160
709,3703,376,749,15172
710,3689,374,744,15193
711,3674,364,757,15205
712,3683,354,740,15223
713,3692,337,735,15236
714,3690,359,715,15236
715,3693,360,717,15230
716,3687,342,728,15243
717,3709,336,701,15254
718,3724,334,679,15263
719,3699,355,670,15276
720,3688,345,685,15282
721,3707,322,708,15263
722,3693,332,705,15270
723,3706,329,712,15253
724,3710,336,690,15264
725,3685,336,703,15276
726,3693,348,679,15280
727,3720,332,686,15262
728,3746,329,686,15239
729,3763,329,687,15221
