Iteration,S,E,I,R
0,19963,17,16,4
1,19945,33,16,6
2,19922,45,26,7
3,19904,53,29,14
4,19876,64,42,18
5,19830,94,54,22
6,19788,105,79,28
7,19717,149,97,37
8,19625,192,132,51
9,19526,243,159,72
10,19399,303,199,99
11,19231,385,252,132
12,18996,523,312,169
13,18742,625,426,207
14,18392,801,547,260
15,17960,1012,691,337
16,17438,1254,883,425
17,16814,1534,1121,531
18,15981,1940,1406,673
19,15048,2318,1766,868
20,13907,2812,2189,1092
21,12609,3327,2669,1395
22,11252,3730,3270,1748
23,9755,4174,3929,2142
24,8217,4534,4560,2689
25,6792,4676,5235,3297
26,5445,4679,5897,3979
27,4215,4539,6550,4696
28,3188,4267,7005,5540
29,2434,3785,7347,6434
30,1839,3314,7421,7426
31,1402,2863,7333,8402
32,1081,2401,7189,9329
33,852,1970,6922,10256
34,689,1617,6525,11169
35,554,1302,6138,12006
36,472,1028,5701,12799
37,413,816,5270,13501
38,369,668,4803,14160
39,348,547,4322,14783
40,356,433,3909,15302
41,357,351,3513,15779
42,349,284,3161,16206
43,359,241,2805,16595
44,357,207,2494,16942
45,367,183,2199,17251
46,406,164,1955,17475
47,440,129,1765,17666
48,485,119,1566,17830
49,511,116,1402,17971
50,553,106,1244,18097
51,595,95,1106,18204
52,650,76,972,18302
53,692,75,875,18358
54,727,78,777,18418
55,768,78,683,18471
56,815,77,611,18497
57,875,76,546,18503
58,933,74,480,18513
59,977,71,441,18511
60,1031,69,403,18497
61,1089,69,361,18481
62,1160,58,320,18462
63,1200,55,294,18451
64,1258,47,252,18443
65,1307,40,240,18413
66,1367,27,227,18379
67,1405,34,205,18356
68,1451,32,191,18326
69,1495,30,167,18308
70,1548,34,140,18278
71,1603,38,127,18232
72,1661,29,125,18185
73,1708,30,117,18145
74,1762,27,106,18105
75,1806,23,94,18077
76,1861,20,90,18029
77,1915,22,74,17989
78,1976,20,73,17931
79,2042,15,72,17871
80,2097,21,66,17816
81,2157,15,68,17760
82,2217,18,65,17700
83,2266,16,60,17658
84,2314,16,53,17617
85,2362,15,51,17572
86,2400,14,51,17535
87,2444,13,51,17492
88,2498,12,50,17440
89,2545,15,43,17397
90,2611,12,42,17335
91,2655,14,37,17294
92,2698,14,33,17255
93,2745,13,28,17214
94,2795,11,27,17167
95,2840,15,24,17121
96,2889,13,24,17074
97,2935,11,29,17025
98,2989,11,30,16970
99,3039,11,29,16921
100,3081,11,31,16877
101,3138,13,29,16820
102,3180,13,27,16780
103,3230,7,28,16735
104,3282,8,28,16682
105,3328,6,29,16637
106,3383,8,29,16580
107,3432,9,24,16535
108,3484,9,25,16482
109,3528,13,24,16435
110,3567,11,25,16397
111,3607,13,22,16358
112,3654,16,19,16311
113,3700,15,20,16265
114,3748,14,23,16215
115,3801,15,25,16159
116,3841,17,24,16118
117,3881,16,23,16080
118,3931,15,21,16033
119,3982,14,19,15985
120,4037,14,20,15929
121,4082,13,25,15880
122,4126,12,18,15844
123,4158,10,19,15813
124,4212,6,21,15761
125,4254,10,17,15719
126,4295,18,15,15672
127,4334,17,20,15629
128,4378,16,22,15584
129,4421,9,27,15543
130,4457,10,28,15505
131,4488,13,29,15470
132,4527,13,28,15432
133,4571,15,30,15384
134,4610,18,33,15339
135,4653,19,32,15296
136,4691,17,30,15262
137,4728,20,27,15225
138,4773,18,27,15182
139,4816,16,27,15141
140,4853,17,32,15098
141,4884,16,36,15064
142,4913,22,35,15030
143,4957,18,38,14987
144,5008,18,40,14934
145,5037,17,36,14910
146,5062,17,41,14880
147,5100,21,42,14837
148,5130,25,41,14804
149,5155,27,42,14776
150,5194,24,42,14740
151,5226,27,41,14706
152,5251,32,39,14678
153,5283,36,42,14639
154,5317,42,48,14593
155,5356,33,50,14561
156,5384,34,51,14531
157,5423,27,58,14492
158,5453,33,54,14460
159,5489,38,53,14420
160,5529,35,56,14380
161,5559,37,59,14345
162,5582,35,60,14323
163,5607,36,69,14288
164,5626,39,73,14262
165,5650,43,75,14232
166,5663,57,73,14207
167,5672,68,81,14179
168,5680,69,96,14155
169,5702,76,106,14116
170,5698,88,120,14094
171,5700,95,138,14067
172,5698,97,155,14050
173,5705,109,166,14020
174,5702,118,177,14003
175,5690,123,180,14007
176,5692,124,203,13981
177,5696,129,210,13965
178,5691,132,216,13961
179,5695,125,229,13951
180,5679,144,240,13937
181,5661,166,247,13926
182,5648,178,262,13912
183,5633,184,278,13905
184,5634,181,291,13894
185,5614,194,312,13880
186,5593,207,321,13879
187,5578,207,338,13877
188,5537,235,335,13893
189,5509,239,346,13906
190,5468,257,370,13905
191,5413,271,384,13932
192,5370,290,398,13942
193,5333,285,433,13949
194,5287,301,444,13968
195,5257,287,477,13979
196,5216,302,495,13987
197,5151,304,523,14022
198,5091,325,544,14040
199,5024,322,562,14092
200,4962,327,605,14106
201,4907,345,618,14130
202,4860,359,602,14179
203,4808,361,614,14217
204,4717,392,640,14251
205,4655,389,666,14290
206,4592,398,692,14318
207,4537,377,726,14360
208,4437,417,749,14397
209,4355,425,780,14440
210,4260,423,815,14502
211,4168,434,821,14577
212,4093,441,824,14642
213,4018,459,843,14680
214,3928,482,858,14732
215,3846,468,891,14795
216,3748,486,907,14859
217,3659,484,923,14934
218,3574,479,942,15005
219,3480,504,954,15062
220,3397,477,973,15153
221,3337,457,990,15216
222,3272,462,979,15287
223,3201,468,974,15357
224,3149,459,972,15420
225,3087,451,973,15489
226,3030,437,971,15562
227,3002,413,949,15636
228,2945,407,956,15692
229,2914,398,930,15758
230,2882,387,910,15821
231,2872,364,879,15885
232,2854,356,861,15929
233,2808,353,857,15982
234,2791,339,846,16024
235,2785,330,817,16068
236,2768,319,793,16120
237,2718,326,792,16164
238,2711,313,782,16194
239,2702,314,761,16223
240,2709,302,743,16246
241,2698,295,717,16290
242,2701,297,723,16279
243,2711,291,713,16285
244,2721,292,722,16265
245,2741,283,698,16278
246,2763,253,680,16304
247,2770,251,671,16308
248,2769,265,647,16319
249,2764,254,634,16348
250,2767,250,637,16346
251,2788,247,604,16361
252,2792,260,596,16352
253,2819,240,600,16341
254,2853,218,596,16333
255,2864,238,546,16352
256,2904,236,534,16326
257,2919,225,563,16293
258,2956,224,526,16294
259,2976,232,517,16275
260,2997,215,505,16283
261,3033,221,495,16251
262,3048,220,497,16235
263,3069,223,489,16219
264,3093,218,507,16182
265,3123,224,486,16167
266,3155,217,495,16133
267,3214,195,497,16094
268,3239,193,496,16072
269,3252,203,487,16058
270,3278,199,471,16052
271,3285,224,463,16028
272,3306,212,451,16031
273,3322,210,456,16012
274,3343,195,476,15986
275,3368,195,466,15971
276,3383,193,472,15952
277,3401,203,460,15936
278,3438,192,461,15909
279,3472,197,458,15873
280,3513,198,474,15815
281,3517,213,473,15797
282,3571,217,453,15759
283,3617,204,447,15732
284,3640,211,449,15700
285,3645,236,446,15673
286,3681,219,453,15647
287,3717,217,441,15625
288,3737,215,445,15603
289,3744,229,448,15579
290,3748,230,455,15567
291,3758,228,458,15556
292,3757,216,479,15548
293,3779,228,472,15521
294,3795,229,463,15513
295,3817,216,461,15506
296,3836,206,473,15485
297,3855,214,478,15453
298,3860,237,460,15443
299,3867,246,459,15428
300,3890,250,472,15388
301,3923,228,477,15372
302,3935,252,477,15336
303,3942,264,498,15296
304,3930,267,506,15297
305,3936,273,520,15271
306,3954,262,527,15257
307,3963,272,520,15245
308,3969,265,538,15228
309,3994,275,518,15213
310,4040,252,520,15188
311,4052,255,531,15162
312,4063,247,538,15152
313,4088,259,532,15121
314,4093,258,531,15118
315,4112,266,529,15093
316,4129,268,520,15083
317,4131,286,523,15060
318,4136,286,529,15049
319,4149,293,545,15013
320,4142,289,564,15005
321,4126,289,585,15000
322,4132,289,585,14994
323,4142,279,582,14997
324,4134,287,600,14979
325,4120,299,609,14972
326,4093,322,605,14980
327,4080,337,609,14974
328,4067,349,592,14992
329,4056,343,606,14995
330,4063,300,634,15003
331,4045,308,650,14997
