Iteration,S,E,I,R
0,19968,12,19,1
1,19947,30,17,6
2,19935,33,24,8
3,19909,46,34,11
4,19877,66,44,13
5,19836,90,58,16
6,19795,104,76,25
7,19730,142,97,31
8,19632,195,128,45
9,19543,213,180,64
10,19391,299,226,84
11,19180,442,265,113
12,18978,519,352,151
13,18705,647,459,189
14,18348,825,573,254
15,17846,1081,758,315
16,17282,1301,1000,417
17,16514,1680,1262,544
18,15637,2073,1574,716
19,14568,2585,1934,913
20,13371,3016,2432,1181
21,12003,3557,2930,1510
22,10517,4013,3554,1916
23,9022,4388,4198,2392
24,7560,4605,4888,2947
25,6154,4711,5545,3590
26,4921,4598,6143,4338
27,3854,4365,6620,5161
28,2967,4030,6967,6036
29,2281,3561,7173,6985
30,1757,3048,7291,7904
31,1339,2629,7165,8867
32,1058,2207,6957,9778
33,823,1829,6653,10695
34,686,1461,6302,11551
35,561,1194,5904,12341
36,473,989,5450,13088
37,426,780,5033,13761
38,385,619,4587,14409
39,379,511,4140,14970
40,370,400,3759,15471
41,384,324,3388,15904
42,408,280,3021,16291
43,414,243,2705,16638
44,433,210,2415,16942
45,455,178,2148,17219
46,483,162,1909,17446
47,494,148,1678,17680
48,520,128,1482,17870
49,545,126,1323,18006
50,588,112,1160,18140
51,617,105,1043,18235
52,662,91,935,18312
53,704,83,849,18364
54,752,78,747,18423
55,805,68,665,18462
56,873,57,601,18469
57,920,65,545,18470
58,981,62,476,18481
59,1036,55,427,18482
60,1090,56,365,18489
61,1134,57,329,18480
62,1185,40,309,18466
63,1245,47,272,18436
64,1305,40,259,18396
65,1352,44,232,18372
66,1410,41,204,18345
67,1469,45,188,18298
68,1516,40,175,18269
69,1572,35,169,18224
70,1629,28,162,18181
71,1699,27,149,18125
72,1753,28,137,18082
73,1787,32,121,18060
74,1851,31,112,18006
75,1906,27,109,17958
76,1957,28,105,17910
77,2010,26,101,17863
78,2055,25,99,17821
79,2110,26,92,17772
80,2152,27,84,17737
81,2207,19,88,17686
82,2261,20,76,17643
83,2306,23,74,17597
84,2351,26,69,17554
85,2400,23,66,17511
86,2452,25,62,17461
87,2489,22,56,17433
88,2555,20,51,17374
89,2608,23,51,17318
90,2653,20,52,17275
91,2702,25,45,17228
92,2742,17,47,17194
93,2800,14,44,17142
94,2855,15,40,17090
95,2894,17,44,17045
96,2941,13,43,17003
97,2983,13,38,16966
98,3026,14,33,16927
99,3083,10,32,16875
100,3134,14,27,16825
101,3176,14,21,16789
102,3235,13,19,16733
103,3278,14,22,16686
104,3321,12,21,16646
105,3369,12,16,16603
106,3414,10,18,16558
107,3457,10,18,16515
108,3498,9,19,16474
109,3548,8,17,16427
110,3598,6,18,16378
111,3646,5,15,16334
112,3677,5,15,16303
113,3727,6,15,16252
114,3779,7,15,16199
115,3822,10,15,16153
116,3866,13,17,16104
117,3918,9,22,16051
118,3956,11,23,16010
119,3999,12,21,15968
120,4050,10,21,15919
121,4089,10,19,15882
122,4139,13,21,15827
123,4175,13,20,15792
124,4214,17,20,15749
125,4255,18,21,15706
126,4289,17,22,15672
127,4327,13,22,15638
128,4374,10,25,15591
129,4428,11,24,15537
130,4473,11,25,15491
131,4514,14,22,15450
132,4563,13,19,15405
133,4602,14,17,15367
134,4647,15,17,15321
135,4678,11,18,15293
136,4716,12,18,15254
137,4763,10,17,15210
138,4797,12,20,15171
139,4846,15,18,15121
140,4896,14,19,15071
141,4940,16,20,15024
142,4976,11,23,14990
143,5010,11,22,14957
144,5045,10,23,14922
145,5078,14,22,14886
146,5120,18,23,14839
147,5145,22,25,14808
148,5177,20,32,14771
149,5210,19,38,14733
150,5255,21,34,14690
151,5293,18,37,14652
152,5323,17,41,14619
153,5359,23,40,14578
154,5382,31,37,14550
155,5416,30,43,14511
156,5450,29,48,14473
157,5481,23,48,14448
158,5516,22,52,14410
159,5542,23,51,14384
160,5571,27,50,14352
161,5612,30,51,14307
162,5639,36,50,14275
163,5663,40,49,14248
164,5698,46,52,14204
165,5731,38,56,14175
166,5767,37,59,14137
167,5800,36,62,14102
168,5834,39,60,14067
169,5859,43,59,14039
170,5889,42,62,14007
171,5917,45,64,13974
172,5944,45,63,13948
173,5964,48,67,13921
174,6001,47,73,13879
175,6023,47,73,13857
176,6047,59,70,13824
177,6070,51,85,13794
178,6099,56,82,13763
179,6112,64,88,13736
180,6137,62,91,13710
181,6146,70,96,13688
182,6173,66,107,13654
183,6184,81,103,13632
184,6191,77,117,13615
185,6178,91,128,13603
186,6185,90,134,13591
187,6182,95,147,13576
188,6188,113,165,13534
189,6188,123,183,13506
190,6178,145,191,13486
191,6173,140,217,13470
192,6160,155,229,13456
193,6142,177,246,13435
194,6126,194,268,13412
195,6114,203,289,13394
196,6082,213,308,13397
197,6049,222,319,13410
198,6006,237,347,13410
199,5965,263,367,13405
200,5920,264,388,13428
201,5896,268,407,13429
202,5860,276,436,13428
203,5804,297,459,13440
204,5735,309,485,13471
205,5655,329,514,13502
206,5567,357,560,13516
207,5472,400,585,13543
208,5414,394,617,13575
