Iteration,S,E,I,R
0,19958,22,19,1
1,19939,37,21,3
2,19929,44,19,8
3,19913,52,24,11
4,19893,56,34,17
5,19873,62,44,21
6,19835,79,60,26
7,19787,99,77,37
8,19717,143,91,49
9,19639,183,117,61
10,19549,219,156,76
11,19408,298,198,96
12,19215,417,251,117
13,18983,525,355,137
14,18695,671,463,171
15,18303,875,579,243
16,17856,1095,729,320
17,17245,1400,944,411
18,16519,1726,1218,537
19,15651,2129,1506,714
20,14582,2618,1892,908
21,13415,3051,2363,1171
22,12119,3488,2894,1499
23,10732,3836,3530,1902
24,9267,4251,4081,2401
25,7749,4601,4740,2910
26,6409,4680,5393,3518
27,5140,4625,6020,4215
28,3991,4451,6555,5003
29,3047,4131,6969,5853
30,2346,3702,7153,6799
31,1762,3244,7213,7781
32,1335,2770,7131,8764
33,1051,2313,6964,9672
34,840,1915,6685,10560
35,673,1578,6310,11439
36,569,1267,5891,12273
37,492,1031,5427,13050
38,438,813,5012,13737
39,407,655,4544,14394
40,415,503,4099,14983
41,388,427,3652,15533
42,385,362,3271,15982
43,406,292,2945,16357
44,408,246,2629,16717
45,456,176,2340,17028
46,458,171,2084,17287
47,487,143,1828,17542
48,516,118,1638,17728
49,548,134,1444,17874
50,579,129,1289,18003
51,614,125,1144,18117
52,653,110,1035,18202
53,684,104,920,18292
54,732,88,809,18371
55,772,77,712,18439
56,818,70,662,18450
57,884,61,580,18475
58,936,61,524,18479
59,996,65,466,18473
60,1056,58,427,18459
61,1118,55,392,18435
62,1150,52,348,18450
63,1186,61,315,18438
64,1240,61,291,18408
65,1293,52,272,18383
66,1347,53,240,18360
67,1404,50,227,18319
68,1451,57,191,18301
69,1497,58,171,18274
70,1570,49,172,18209
71,1612,44,162,18182
72,1660,43,149,18148
73,1739,33,142,18086
74,1789,26,134,18051
75,1842,26,122,18010
76,1885,26,120,17969
77,1930,28,106,17936
78,1979,29,100,17892
79,2028,28,90,17854
80,2079,21,90,17810
81,2123,26,80,17771
82,2176,28,75,17721
83,2228,25,72,17675
84,2284,26,70,17620
85,2337,30,62,17571
86,2391,28,58,17523
87,2442,27,54,17477
88,2498,14,61,17427
89,2542,15,56,17387
90,2593,15,54,17338
91,2656,11,58,17275
92,2700,15,52,17233
93,2755,18,44,17183
94,2823,15,41,17121
95,2864,15,40,17081
96,2904,14,39,17043
97,2958,15,35,16992
98,3007,10,37,16946
99,3048,10,37,16905
100,3098,11,36,16855
101,3163,9,37,16791
102,3209,9,33,16749
103,3246,9,33,16712
104,3287,14,29,16670
105,3328,15,31,16626
106,3369,20,32,16579
107,3413,20,35,16532
108,3467,14,40,16479
109,3510,17,38,16435
110,3556,17,29,16398
111,3614,15,31,16340
112,3667,14,28,16291
113,3707,19,28,16246
114,3747,15,29,16209
115,3789,9,31,16171
116,3824,18,30,16128
117,3866,11,41,16082
118,3914,11,38,16037
119,3963,15,37,15985
120,4005,21,37,15937
121,4044,20,39,15897
122,4080,19,39,15862
123,4122,18,35,15825
124,4160,18,31,15791
125,4199,15,35,15751
126,4243,19,32,15706
127,4296,15,36,15653
128,4332,17,31,15620
129,4367,19,36,15578
130,4397,21,37,15545
131,4431,26,40,15503
132,4468,25,38,15469
133,4510,20,46,15424
134,4552,18,47,15383
135,4597,24,41,15338
136,4627,28,38,15307
