Iteration,S,E,I,R
0,19969,11,19,1
1,19957,23,16,4
2,19937,40,19,4
3,19912,51,33,4
4,19884,65,45,6
5,19840,88,60,12
6,19796,110,75,19
7,19726,145,99,30
8,19641,193,126,40
9,19526,252,164,58
10,19375,349,187,89
11,19217,400,274,109
12,18983,514,356,147
13,18678,643,494,185
14,18246,883,621,250
15,17721,1172,772,335
16,17113,1469,981,437
17,16386,1755,1308,551
18,15484,2157,1618,741
19,14426,2580,2020,974
20,13236,3041,2472,1251
21,11870,3559,3001,1570
22,10422,4009,3628,1941
23,8905,4414,4268,2413
24,7454,4604,4954,2988
25,6072,4692,5571,3665
26,4780,4621,6198,4401
27,3725,4363,6657,5255
28,2865,4021,6938,6176
29,2173,3564,7200,7063
30,1644,3098,7277,7981
31,1239,2583,7238,8940
32,951,2161,7036,9852
33,759,1718,6789,10734
34,628,1392,6386,11594
35,524,1147,5870,12459
36,469,941,5403,13187
37,409,772,4948,13871
38,389,615,4527,14469
39,378,504,4094,15024
40,382,425,3688,15505
41,380,340,3321,15959
42,397,302,2939,16362
43,397,245,2607,16751
44,411,208,2315,17066
45,434,181,2038,17347
46,462,149,1834,17555
47,509,135,1591,17765
48,551,124,1400,17925
49,588,106,1243,18063
50,631,100,1099,18170
51,668,102,979,18251
52,724,96,884,18296
53,765,97,774,18364
54,818,80,712,18390
55,852,86,624,18438
56,900,74,558,18468
57,940,70,493,18497
58,985,59,454,18502
59,1032,56,399,18513
60,1094,54,360,18492
61,1159,47,332,18462
62,1211,48,289,18452
63,1288,38,255,18419
64,1346,42,225,18387
65,1393,42,193,18372
66,1446,39,182,18333
67,1500,33,158,18309
68,1564,29,144,18263
69,1628,33,127,18212
70,1677,27,119,18177
71,1735,30,111,18124
72,1778,28,100,18094
73,1834,29,92,18045
74,1890,26,89,17995
75,1953,24,81,17942
76,1997,24,78,17901
77,2051,21,70,17858
78,2093,28,64,17815
79,2157,26,65,17752
80,2213,21,65,17701
81,2272,16,68,17644
82,2330,13,63,17594
83,2378,18,57,17547
84,2420,18,50,17512
85,2473,15,46,17466
86,2529,14,47,17410
87,2587,15,45,17353
88,2646,17,39,17298
89,2679,14,35,17272
90,2717,20,34,17229
91,2764,19,31,17186
92,2810,20,27,17143
93,2874,15,26,17085
94,2929,11,31,17029
95,2988,10,32,16970
96,3028,9,30,16933
97,3080,5,31,16884
98,3129,5,27,16839
99,3177,11,23,16789
100,3230,14,21,16735
101,3272,14,20,16694
102,3315,15,23,16647
103,3371,13,25,16591
104,3420,8,27,16545
105,3461,7,23,16509
106,3497,8,23,16472
107,3543,10,21,16426
108,3585,9,22,16384
109,3640,9,20,16331
110,3686,11,20,16283
111,3729,10,19,16242
112,3769,10,19,16202
113,3807,10,19,16164
114,3860,9,20,16111
115,3899,6,21,16074
116,3945,6,19,16030
117,3982,11,18,15989
118,4027,12,18,15943
119,4064,13,19,15904
120,4116,12,19,15853
121,4154,16,22,15808
122,4209,13,27,15751
123,4253,14,25,15708
124,4290,15,21,15674
125,4337,17,25,15621
126,4371,21,25,15583
127,4416,18,30,15536
128,4466,17,29,15488
129,4501,20,27,15452
130,4531,20,30,15419
131,4566,22,38,15374
132,4605,17,38,15340
133,4643,20,40,15297
134,4677,20,40,15263
135,4710,21,42,15227
136,4755,23,36,15186
137,4790,24,38,15148
138,4812,24,36,15128
139,4848,21,38,15093
140,4873,20,45,15062
141,4915,23,46,15016
142,4939,31,45,14985
143,4982,30,50,14938
144,5005,34,47,14914
145,5048,28,59,14865
146,5079,28,58,14835
147,5121,34,52,14793
148,5154,36,48,14762
149,5187,38,45,14730
150,5236,34,50,14680
151,5277,32,52,14639
152,5307,35,58,14600
153,5340,29,64,14567
154,5371,37,58,14534
155,5399,34,64,14503
156,5437,33,66,14464
157,5474,41,62,14423
158,5498,33,73,14396
159,5523,48,70,14359
160,5542,49,76,14333
161,5567,55,81,14297
162,5594,45,95,14266
163,5625,51,97,14227
164,5640,63,101,14196
165,5666,59,108,14167
166,5699,63,111,14127
167,5720,68,104,14108
168,5736,68,110,14086
169,5759,74,100,14067
170,5787,70,104,14039
171,5802,73,118,14007
172,5814,83,121,13982
173,5817,92,129,13962
174,5820,91,144,13945
175,5835,96,148,13921
176,5840,106,139,13915
177,5852,102,152,13894
178,5859,109,167,13865
179,5866,109,181,13844
180,5870,120,187,13823
181,5864,126,193,13817
182,5879,121,204,13796
183,5877,138,201,13784
184,5874,136,215,13775
185,5869,160,225,13746
186,5866,167,235,13732
187,5865,162,249,13724
188,5853,172,256,13719
189,5825,177,289,13709
190,5798,181,324,13697
191,5757,210,325,13708
192,5727,246,334,13693
193,5694,265,360,13681
194,5633,290,390,13687
195,5563,316,423,13698
196,5522,315,452,13711
197,5452,317,483,13748
198,5400,326,509,13765
199,5360,317,530,13793
200,5304,351,530,13815
201,5239,363,558,13840
202,5169,378,565,13888
203,5094,379,615,13912
204,4998,399,649,13954
205,4903,420,671,14006
206,4808,428,710,14054
207,4704,446,733,14117
208,4616,463,748,14173
209,4560,459,758,14223
210,4448,473,805,14274
211,4358,480,801,14361
212,4293,473,821,14413
213,4226,439,866,14469
214,4139,449,886,14526
215,4060,460,889,14591
216,3997,468,868,14667
217,3911,479,880,14730
218,3841,467,921,14771
219,3760,457,919,14864
220,3679,459,952,14910
221,3612,437,986,14965
222,3529,466,973,15032
223,3486,446,981,15087
224,3417,431,963,15189
225,3356,432,934,15278
226,3292,442,920,15346
227,3233,452,913,15402
228,3178,445,901,15476
229,3135,429,897,15539
230,3105,404,893,15598
231,3066,402,881,15651
232,3028,399,856,15717
233,2994,399,862,15745
234,2968,355,882,15795
235,2931,348,861,15860
236,2923,342,824,15911
237,2893,334,805,15968
238,2890,320,798,15992
239,2883,303,786,16028
240,2854,295,774,16077
241,2856,294,737,16113
242,2854,282,712,16152
243,2848,274,688,16190
244,2859,269,684,16188
245,2859,267,669,16205
246,2881,254,650,16215
247,2899,255,637,16209
248,2927,246,611,16216
249,2951,239,594,16216
250,2971,230,593,16206
251,2993,231,602,16174
252,2993,239,604,16164
253,3019,233,592,16156
254,3039,223,571,16167
255,3050,222,560,16168
256,3065,239,530,16166
257,3074,228,522,16176
258,3080,213,534,16173
259,3114,203,519,16164
260,3137,202,519,16142
261,3158,205,494,16143
262,3186,205,481,16128
263,3211,213,475,16101
264,3240,211,461,16088
265,3279,207,452,16062
266,3300,213,457,16030
267,3320,210,456,16014
268,3345,211,442,16002
269,3360,205,449,15986
270,3393,184,461,15962
271,3434,193,448,15925
272,3457,189,451,15903
273,3488,183,457,15872
274,3510,193,452,15845
275,3526,198,435,15841
276,3554,195,427,15824
277,3591,180,434,15795
278,3622,193,408,15777
279,3683,197,409,15711
280,3722,194,411,15673
281,3744,195,414,15647
282,3766,184,413,15637
283,3798,173,409,15620
284,3803,193,399,15605
