Iteration,S,E,I,R
0,19967,13,14,6
1,19954,23,15,8
2,19938,32,21,9
3,19921,40,28,11
4,19897,50,37,16
5,19851,79,50,20
6,19818,94,63,25
7,19738,151,82,29
8,19654,185,126,35
9,19545,246,161,48
10,19396,331,199,74
11,19225,410,266,99
12,18983,537,342,138
13,18689,706,423,182
14,18332,850,569,249
15,17893,1054,719,334
16,17311,1326,927,436
17,16662,1590,1192,556
18,15838,2002,1443,717
19,14881,2373,1827,919
20,13741,2866,2239,1154
21,12505,3282,2760,1453
22,11133,3771,3290,1806
23,9700,4193,3858,2249
24,8197,4513,4570,2720
25,6671,4695,5327,3307
26,5362,4669,5940,4029
27,4212,4503,6508,4777
28,3298,4115,6925,5662
29,2537,3732,7114,6617
30,1904,3265,7312,7519
31,1460,2817,7232,8491
32,1123,2369,7135,9373
33,893,2001,6781,10325
34,714,1607,6526,11153
35,575,1323,6056,12046
36,469,1088,5676,12767
37,416,843,5205,13536
38,392,686,4721,14201
39,373,540,4333,14754
40,370,418,3921,15291
41,362,348,3531,15759
42,360,282,3135,16223
43,366,241,2794,16599
44,394,207,2496,16903
45,410,175,2202,17213
46,430,155,1951,17464
47,475,137,1717,17671
48,491,121,1510,17878
49,528,113,1358,18001
50,573,114,1186,18127
51,635,106,1066,18193
52,698,88,941,18273
53,749,95,836,18320
54,806,90,738,18366
55,841,82,674,18403
56,878,84,600,18438
57,945,73,536,18446
58,1003,72,468,18457
59,1058,62,427,18453
60,1113,70,379,18438
61,1151,70,343,18436
62,1207,64,313,18416
63,1258,50,290,18402
64,1320,45,270,18365
65,1364,43,245,18348
66,1426,42,207,18325
67,1477,35,184,18304
68,1522,36,176,18266
69,1578,41,152,18229
70,1636,38,140,18186
71,1696,33,132,18139
72,1750,35,126,18089
73,1804,39,110,18047
74,1861,25,115,17999
75,1922,30,108,17940
76,1970,29,103,17898
77,2024,25,99,17852
78,2066,32,84,17818
79,2132,28,78,17762
80,2186,26,69,17719
81,2256,20,69,17655
82,2306,18,66,17610
83,2352,23,65,17560
84,2401,23,66,17510
85,2460,22,59,17459
86,2506,24,53,17417
87,2557,21,49,17373
88,2610,16,48,17326
89,2648,18,48,17286
90,2698,12,47,17243
91,2746,11,41,17202
92,2784,14,42,17160
93,2812,20,44,17124
94,2873,18,42,17067
95,2921,18,40,17021
96,2975,14,43,16968
97,3034,13,40,16913
98,3092,14,34,16860
99,3137,12,32,16819
100,3191,11,30,16768
101,3238,11,31,16720
102,3271,13,32,16684
103,3305,15,27,16653
104,3370,18,24,16588
105,3406,14,25,16555
106,3450,17,28,16505
107,3490,23,27,16460
108,3537,22,31,16410
109,3593,17,29,16361
110,3629,20,26,16325
111,3669,19,28,16284
112,3712,17,28,16243
113,3756,10,32,16202
114,3801,11,37,16151
115,3838,18,33,16111
116,3891,14,34,16061
117,3920,18,36,16026
118,3963,17,35,15985
119,3993,20,37,15950
120,4035,21,36,15908
121,4078,28,36,15858
122,4127,21,40,15812
123,4165,22,40,15773
124,4204,18,39,15739
125,4238,21,40,15701
126,4277,18,44,15661
127,4307,23,42,15628
128,4361,17,39,15583
129,4405,15,39,15541
130,4430,22,34,15514
131,4472,18,37,15473
132,4502,21,39,15438
133,4549,20,37,15394
134,4576,19,36,15369
135,4615,21,37,15327
136,4651,26,31,15292
137,4686,27,31,15256
138,4735,24,32,15209
139,4779,19,39,15163
140,4820,17,36,15127
141,4869,12,41,15078
142,4909,15,43,15033
143,4946,15,41,14998
144,4981,18,36,14965
145,5026,20,34,14920
146,5063,26,37,14874
147,5097,27,36,14840
148,5132,26,38,14804
149,5173,23,40,14764
150,5219,18,43,14720
151,5246,25,42,14687
152,5290,23,44,14643
153,5332,17,52,14599
154,5362,24,49,14565
155,5386,22,52,14540
156,5420,29,44,14507
157,5453,27,45,14475
158,5479,32,49,14440
159,5512,38,49,14401
160,5546,29,57,14368
161,5584,32,66,14318
162,5622,35,67,14276
163,5646,39,72,14243
164,5684,35,73,14208
165,5718,36,75,14171
166,5741,49,70,14140
167,5762,41,84,14113
168,5775,49,91,14085
169,5802,54,91,14053
170,5817,61,98,14024
171,5832,70,92,14006
172,5864,74,90,13972
173,5886,76,99,13939
174,5915,75,109,13901
175,5925,75,117,13883
176,5936,78,124,13862
177,5952,84,147,13817
178,5956,93,150,13801
179,5963,97,168,13772
180,5959,122,172,13747
181,5956,127,186,13731
182,5947,129,202,13722
183,5947,143,214,13696
184,5930,158,234,13678
185,5919,169,246,13666
186,5885,195,264,13656
187,5860,209,285,13646
188,5849,203,305,13643
189,5809,217,320,13654
190,5785,213,358,13644
191,5737,260,355,13648
192,5692,263,382,13663
193,5641,287,407,13665
194,5592,293,428,13687
195,5551,292,454,13703
196,5506,315,455,13724
197,5468,300,493,13739
198,5399,322,512,13767
199,5337,337,535,13791
200,5279,348,556,13817
201,5212,359,568,13861
202,5132,370,588,13910
203,5043,414,599,13944
204,4971,417,617,13995
205,4916,429,616,14039
206,4854,409,674,14063
207,4788,422,677,14113
208,4706,434,708,14152
209,4636,437,734,14193
210,4563,440,767,14230
211,4508,430,785,14277
212,4423,450,799,14328
213,4328,473,826,14373
214,4260,454,842,14444
215,4163,469,864,14504
216,4046,508,867,14579
217,3978,485,913,14624
218,3910,477,945,14668
219,3831,468,981,14720
220,3734,494,981,14791
221,3649,504,971,14876
222,3565,503,976,14956
223,3492,496,1002,15010
224,3396,524,1010,15070
225,3301,537,1008,15154
226,3234,509,982,15275
227,3173,493,984,15350
228,3113,469,1010,15408
229,3061,452,999,15488
230,2988,446,1004,15562
231,2947,432,979,15642
232,2912,406,972,15710
233,2852,412,944,15792
234,2836,395,941,15828
235,2816,401,918,15865
236,2791,374,910,15925
237,2753,397,879,15971
238,2750,356,883,16011
239,2721,361,868,16050
240,2714,359,837,16090
241,2691,345,817,16147
242,2689,340,808,16163
243,2679,325,799,16197
244,2693,299,785,16223
245,2691,279,764,16266
246,2687,279,745,16289
247,2701,280,716,16303
248,2709,274,687,16330
249,2748,271,670,16311
250,2778,263,646,16313
251,2784,269,617,16330
252,2809,244,609,16338
253,2817,231,601,16351
254,2847,227,581,16345
255,2882,208,567,16343
256,2913,213,531,16343
257,2957,197,529,16317
258,2962,199,521,16318
259,2995,190,501,16314
260,3032,201,462,16305
261,3080,188,460,16272
262,3117,190,437,16256
263,3156,184,434,16226
264,3196,180,438,16186
265,3229,175,429,16167
266,3278,173,436,16113
267,3309,181,431,16079
268,3321,188,421,16070
269,3341,184,408,16067
270,3365,182,401,16052
271,3413,171,393,16023
272,3451,173,388,15988
273,3487,184,379,15950
274,3516,170,393,15921
275,3555,186,383,15876
276,3552,193,397,15858
277,3600,190,393,15817
278,3650,192,400,15758
279,3670,189,417,15724
280,3689,177,418,15716
281,3731,179,412,15678
282,3746,190,413,15651
283,3768,204,422,15606
284,3798,206,423,15573
285,3834,213,425,15528
286,3846,231,411,15512
287,3879,224,415,15482
288,3898,224,413,15465
289,3939,208,433,15420
290,3987,198,429,15386
291,4010,201,430,15359
292,4036,193,432,15339
293,4031,231,420,15318
294,4053,212,424,15311
295,4083,209,432,15276
296,4101,210,438,15251
