Iteration,S,E,I,R
0,19971,9,17,3
1,19954,24,15,7
2,19940,32,19,9
3,19920,44,25,11
4,19904,47,36,13
5,19871,67,41,21
6,19839,81,54,26
7,19788,101,80,31
8,19727,124,106,43
9,19624,189,134,53
10,19506,251,172,71
11,19336,335,239,90
12,19127,428,323,122
13,18851,587,401,161
14,18548,724,513,215
15,18129,962,617,292
16,17588,1225,814,373
17,16994,1462,1069,475
18,16256,1786,1333,625
19,15331,2213,1659,797
20,14282,2674,2011,1033
21,13062,3120,2501,1317
22,11704,3592,3094,1610
23,10228,4038,3743,1991
24,8683,4447,4344,2526
25,7251,4702,4957,3090
26,5927,4714,5574,3785
27,4727,4589,6133,4551
28,3690,4351,6616,5343
29,2788,4045,6958,6209
30,2151,3523,7172,7154
31,1652,3007,7301,8040
32,1283,2502,7219,8996
33,1015,2093,6966,9926
34,832,1711,6559,10898
35,697,1361,6172,11770
36,569,1145,5660,12626
37,479,944,5230,13347
38,451,768,4789,13992
39,434,622,4350,14594
40,399,538,3924,15139
41,395,423,3555,15627
42,399,336,3201,16064
43,412,295,2853,16440
44,437,239,2507,16817
45,459,196,2253,17092
46,470,157,2050,17323
47,494,146,1806,17554
48,543,118,1626,17713
49,576,121,1409,17894
50,612,111,1246,18031
51,673,103,1098,18126
52,714,96,971,18219
53,748,88,848,18316
54,793,83,771,18353
55,837,84,681,18398
56,883,77,610,18430
57,959,68,553,18420
58,1014,65,491,18430
59,1073,61,434,18432
60,1138,50,382,18430
61,1171,58,332,18439
62,1224,54,299,18423
63,1279,55,265,18401
64,1327,55,245,18373
65,1364,59,215,18362
66,1426,55,194,18325
67,1474,50,184,18292
68,1534,47,166,18253
69,1584,42,148,18226
70,1629,32,143,18196
71,1685,34,131,18150
72,1732,36,116,18116
73,1788,34,109,18069
74,1843,28,106,18023
75,1901,25,94,17980
76,1963,24,78,17935
77,2018,26,76,17880
78,2083,21,77,17819
79,2128,20,71,17781
80,2189,17,65,17729
81,2253,13,59,17675
82,2293,21,53,17633
83,2346,20,47,17587
84,2408,19,44,17529
85,2477,18,40,17465
86,2537,18,35,17410
87,2592,14,36,17358
88,2652,12,35,17301
89,2715,10,33,17242
90,2768,11,30,17191
91,2815,13,28,17144
92,2886,13,25,17076
93,2943,12,21,17024
94,2991,11,25,16973
95,3057,11,23,16909
96,3122,11,23,16844
97,3163,9,26,16802
98,3204,12,26,16758
99,3257,11,26,16706
100,3304,13,23,16660
101,3366,10,23,16601
102,3415,11,20,16554
103,3455,10,18,16517
104,3498,7,23,16472
105,3548,7,24,16421
106,3600,12,20,16368
107,3647,8,24,16321
108,3699,13,23,16265
109,3742,9,25,16224
110,3782,14,26,16178
111,3817,14,24,16145
112,3867,12,26,16095
113,3906,15,28,16051
114,3950,15,27,16008
115,4000,14,29,15957
116,4059,8,30,15903
117,4096,10,27,15867
118,4140,13,28,15819
119,4182,11,29,15778
120,4224,12,27,15737
121,4266,13,26,15695
122,4297,15,27,15661
123,4327,18,29,15626
124,4353,20,28,15599
125,4388,21,33,15558
126,4427,19,34,15520
127,4475,22,35,15468
128,4514,28,35,15423
129,4565,26,35,15374
130,4593,33,36,15338
131,4628,33,36,15303
132,4670,26,41,15263
133,4708,25,44,15223
134,4749,25,47,15179
135,4803,22,49,15126
136,4828,21,54,15097
137,4859,19,58,15064
138,4895,23,59,15023
139,4928,30,59,14983
140,4961,38,59,14942
141,5002,34,62,14902
142,5037,38,71,14854
143,5075,38,70,14817
144,5110,40,67,14783
145,5145,41,75,14739
146,5171,41,77,14711
147,5207,42,81,14670
148,5224,49,78,14649
149,5252,48,85,14615
