Iteration,S,E,I,R
0,19964,16,16,4
1,19945,29,20,6
2,19925,43,23,9
3,19902,54,32,12
4,19864,76,43,17
5,19811,106,57,26
6,19761,123,82,34
7,19698,148,102,52
8,19614,199,124,63
9,19501,253,165,81
10,19351,340,208,101
11,19158,441,270,131
12,18928,549,363,160
13,18620,714,459,207
14,18267,893,576,264
15,17814,1103,745,338
16,17259,1340,942,459
17,16537,1684,1205,574
18,15634,2105,1528,733
19,14590,2553,1924,933
20,13459,2986,2363,1192
21,12193,3376,2950,1481
22,10751,3886,3495,1868
23,9239,4281,4121,2359
24,7786,4548,4762,2904
25,6348,4661,5463,3528
26,5090,4632,6038,4240
27,3981,4460,6542,5017
28,3080,4042,6970,5908
29,2353,3671,7149,6827
30,1837,3177,7235,7751
31,1397,2761,7129,8713
32,1086,2324,6943,9647
33,858,1934,6643,10565
34,708,1580,6314,11398
35,604,1251,5920,12225
36,496,1050,5464,12990
37,437,821,5025,13717
38,412,672,4597,14319
39,391,516,4214,14879
40,390,413,3821,15376
41,390,354,3438,15818
42,402,293,3094,16211
43,407,254,2785,16554
44,414,218,2473,16895
45,428,185,2250,17137
46,458,160,1988,17394
47,501,138,1762,17599
48,541,130,1555,17774
49,574,122,1382,17922
50,614,113,1227,18046
51,642,118,1101,18139
52,680,98,985,18237
53,717,98,872,18313
54,773,104,773,18350
55,811,98,688,18403
56,873,70,624,18433
57,925,69,555,18451
58,988,70,496,18446
59,1042,68,443,18447
60,1090,63,394,18453
61,1141,62,354,18443
62,1209,55,323,18413
63,1268,60,283,18389
64,1329,47,254,18370
65,1393,38,223,18346
66,1450,43,191,18316
67,1505,38,183,18274
68,1570,34,165,18231
69,1610,35,152,18203
70,1652,35,143,18170
71,1709,35,131,18125
72,1755,31,123,18091
73,1800,27,118,18055
74,1843,35,106,18016
75,1888,34,104,17974
76,1941,28,98,17933
77,1986,22,89,17903
78,2041,21,87,17851
79,2108,26,72,17794
80,2154,31,70,17745
81,2212,25,70,17693
82,2267,25,67,17641
83,2314,22,65,17599
84,2365,24,64,17547
85,2408,28,58,17506
86,2457,19,67,17457
87,2498,21,63,17418
88,2558,21,60,17361
89,2612,22,61,17305
90,2676,20,57,17247
91,2728,18,55,17199
92,2767,25,51,17157
93,2818,22,53,17107
94,2863,21,51,17065
95,2910,19,43,17028
96,2943,20,44,16993
97,2985,14,45,16956
98,3025,15,39,16921
99,3057,8,39,16896
100,3105,10,35,16850
101,3148,15,32,16805
102,3191,17,29,16763
103,3229,12,29,16730
104,3274,13,28,16685
105,3316,11,28,16645
106,3365,12,21,16602
107,3392,15,17,16576
108,3447,13,17,16523
109,3505,6,21,16468
110,3556,4,17,16423
111,3594,7,13,16386
112,3648,7,16,16329
113,3696,4,17,16283
114,3731,5,19,16245
115,3764,3,19,16214
116,3802,6,19,16173
117,3840,9,17,16134
118,3893,11,16,16080
119,3948,8,20,16024
120,3999,5,23,15973
121,4035,8,24,15933
122,4077,9,25,15889
123,4124,15,25,15836
124,4162,16,26,15796
125,4204,16,27,15753
126,4247,17,26,15710
127,4293,17,25,15665
128,4331,16,26,15627
129,4373,15,30,15582
130,4422,16,29,15533
131,4460,16,36,15488
132,4493,15,37,15455
133,4532,16,39,15413
134,4573,20,35,15372
135,4613,21,37,15329
136,4650,21,40,15289
137,4690,24,34,15252
138,4738,22,33,15207
139,4778,22,33,15167
140,4809,22,36,15133
141,4853,22,41,15084
142,4880,27,40,15053
143,4911,28,41,15020
144,4955,31,44,14970
145,4992,25,49,14934
146,5030,26,50,14894
147,5064,30,48,14858
148,5091,34,50,14825
149,5132,33,60,14775
150,5159,35,64,14742
151,5193,31,63,14713
152,5221,37,63,14679
153,5243,37,67,14653
154,5278,40,70,14612
155,5309,46,64,14581
156,5332,54,57,14557
157,5363,51,62,14524
158,5399,45,68,14488
159,5439,46,69,14446
160,5466,46,72,14416
161,5501,42,78,14379
162,5538,34,88,14340
163,5559,41,84,14316
164,5576,44,92,14288
165,5580,52,106,14262
166,5598,61,104,14237
167,5608,65,111,14216
168,5625,69,101,14205
169,5637,82,95,14186
170,5651,84,107,14158
171,5666,91,110,14133
172,5673,91,115,14121
173,5687,81,131,14101
174,5699,85,148,14068
175,5716,89,159,14036
176,5727,99,154,14020
177,5742,111,154,13993
178,5750,125,162,13963
179,5743,129,178,13950
180,5753,135,191,13921
181,5736,152,190,13922
182,5731,155,203,13911
183,5724,167,215,13894
184,5730,162,250,13858
185,5732,162,257,13849
186,5705,187,262,13846
187,5685,190,288,13837
188,5668,189,299,13844
189,5660,193,323,13824
190,5634,202,327,13837
191,5612,217,333,13838
192,5576,232,331,13861
193,5556,234,353,13857
194,5520,259,354,13867
195,5491,262,368,13879
196,5443,286,405,13866
197,5398,314,426,13862
198,5360,325,438,13877
199,5335,319,476,13870
200,5274,331,510,13885
201,5211,360,523,13906
202,5159,351,563,13927
203,5116,334,602,13948
204,5043,358,635,13964
205,4979,381,652,13988
206,4875,414,689,14022
207,4798,419,718,14065
208,4709,441,752,14098
209,4638,440,776,14146
210,4572,433,784,14211
211,4502,419,803,14276
212,4415,437,799,14349
213,4346,415,853,14386
214,4262,439,831,14468
215,4153,474,827,14546
216,4081,480,858,14581
217,4000,477,872,14651
218,3925,503,850,14722
219,3831,501,897,14771
220,3771,464,946,14819
221,3668,482,947,14903
222,3606,468,957,14969
223,3539,458,960,15043
224,3499,443,996,15062
225,3424,449,959,15168
226,3353,461,959,15227
227,3313,446,966,15275
228,3230,456,953,15361
229,3167,457,954,15422
230,3109,453,939,15499
231,3080,395,1000,15525
232,3035,409,961,15595
233,2992,414,939,15655
234,2922,422,927,15729
235,2900,425,911,15764
236,2861,391,916,15832
237,2828,377,900,15895
238,2814,365,871,15950
239,2795,355,849,16001
240,2773,332,864,16031
241,2772,324,825,16079
242,2751,325,805,16119
243,2777,307,790,16126
244,2789,292,773,16146
245,2802,275,748,16175
246,2798,294,709,16199
247,2818,291,697,16194
248,2812,289,676,16223
249,2809,298,662,16231
250,2809,293,662,16236
251,2837,267,652,16244
252,2828,293,628,16251
253,2843,260,638,16259
254,2859,259,623,16259
255,2840,280,608,16272
256,2851,263,606,16280
257,2882,242,599,16277
258,2906,240,598,16256
259,2909,250,560,16281
260,2926,232,571,16271
261,2953,229,559,16259
262,2976,211,563,16250
263,3003,213,551,16233
264,3043,202,540,16215
265,3074,205,512,16209
266,3101,191,498,16210
267,3138,188,474,16200
268,3160,196,464,16180
269,3173,210,449,16168
270,3204,193,446,16157
271,3236,204,445,16115
272,3247,197,439,16117
273,3299,193,430,16078
274,3327,190,434,16049
275,3345,188,436,16031
276,3377,194,420,16009
277,3426,195,412,15967
278,3479,190,395,15936
279,3519,192,407,15882
280,3561,184,392,15863
281,3568,204,377,15851
282,3615,200,374,15811
283,3650,189,382,15779
284,3688,166,382,15764
285,3696,173,384,15747
286,3728,177,378,15717
287,3749,167,387,15697
288,3774,179,383,15664
289,3802,185,384,15629
290,3837,187,369,15607
291,3879,172,381,15568
292,3914,164,371,15551
293,3930,174,379,15517
294,3956,183,371,15490
295,3990,193,363,15454
296,4019,206,363,15412
297,4057,209,369,15365
298,4091,211,376,15322
299,4134,190,387,15289
300,4165,191,385,15259
301,4204,182,392,15222
302,4225,188,405,15182
303,4236,196,400,15168
304,4274,183,401,15142
305,4291,201,400,15108
306,4295,215,410,15080
307,4296,223,425,15056
308,4306,235,425,15034
309,4298,244,446,15012
310,4305,245,469,14981
311,4307,245,492,14956
312,4304,248,514,14934
313,4299,274,506,14921
314,4295,285,520,14900
315,4285,282,542,14891
316,4263,300,547,14890
317,4278,310,545,14867
318,4254,300,571,14875
319,4267,291,578,14864
320,4241,318,583,14858
321,4230,321,609,14840
322,4218,328,618,14836
323,4208,334,636,14822
324,4176,357,647,14820
325,4154,351,665,14830
326,4137,350,673,14840
327,4113,369,681,14837
328,4086,380,701,14833
329,4066,374,733,14827
330,4039,379,723,14859
331,4015,376,720,14889
332,3976,394,729,14901
333,3958,384,742,14916
334,3923,377,757,14943
335,3902,398,746,14954
336,3849,403,750,14998
337,3849,387,779,14985
338,3815,390,772,15023
339,3793,402,773,15032
340,3767,400,754,15079
341,3762,397,782,15059
342,3733,405,798,15064
343,3702,418,803,15077
344,3680,432,810,15078
345,3636,426,827,15111
346,3613,412,852,15123
347,3572,409,849,15170
348,3547,387,850,15216
349,3527,393,855,15225
350,3509,395,864,15232
351,3482,399,862,15257
352,3444,426,839,15291
353,3429,400,850,15321
354,3408,397,836,15359
355,3384,402,847,15367
356,3380,398,857,15365
357,3362,404,853,15381
358,3344,406,842,15408
359,3314,424,842,15420
360,3301,406,860,15433
361,3277,410,843,15470
362,3285,402,831,15482
363,3283,394,824,15499
364,3275,372,841,15512
365,3278,374,815,15533
366,3260,389,799,15552
367,3286,356,803,15555
368,3294,353,786,15567
369,3272,352,796,15580
370,3281,339,779,15601
371,3270,356,756,15618
372,3260,350,757,15633
373,3284,340,761,15615
374,3285,334,747,15634
375,3312,329,745,15614
376,3336,327,717,15620
377,3360,320,688,15632
378,3384,309,700,15607
379,3406,307,695,15592
380,3429,296,698,15577
381,3450,294,681,15575
382,3462,318,662,15558
383,3481,323,662,15534
384,3502,324,652,15522
385,3502,330,647,15521
386,3499,332,655,15514
387,3504,327,672,15497
388,3502,311,686,15501
389,3520,320,690,15470
390,3509,331,677,15483
391,3525,330,674,15471
392,3545,321,682,15452
393,3546,333,679,15442
394,3567,338,684,15411
395,3566,312,695,15427
396,3555,321,679,15445
397,3577,302,686,15435
398,3589,319,660,15432
399,3594,327,644,15435
400,3629,307,660,15404
401,3619,317,651,15413
402,3640,312,630,15418
403,3635,325,626,15414
404,3593,344,651,15412
405,3600,335,662,15403
406,3636,314,681,15369
407,3643,341,667,15349
408,3644,334,673,15349
409,3648,330,679,15343
410,3660,346,653,15341
411,3666,344,658,15332
412,3666,336,680,15318
413,3677,331,696,15296
414,3659,353,694,15294
415,3677,330,704,15289
416,3689,332,710,15269
417,3705,330,694,15271
418,3670,356,711,15263
419,3675,353,728,15244
420,3669,338,733,15260
421,3648,362,729,15261
422,3639,355,730,15276
423,3640,341,731,15288
424,3603,369,744,15284
425,3610,357,749,15284
426,3610,363,754,15273
427,3606,352,749,15293
428,3609,341,748,15302
429,3590,339,738,15333
430,3583,346,734,15337
431,3591,329,722,15358
432,3617,318,710,15355
433,3601,331,699,15369
434,3608,340,713,15339
435,3591,353,711,15345
436,3590,356,708,15346
437,3594,345,717,15344
438,3569,349,718,15364
439,3575,352,717,15356
440,3578,366,708,15348
441,3581,350,707,15362
442,3554,381,698,15367
443,3543,373,742,15342
444,3523,380,739,15358
445,3496,394,740,15370
446,3485,382,754,15379
447,3469,388,756,15387
448,3448,386,761,15405
449,3453,373,765,15409
450,3433,357,781,15429
451,3422,389,787,15402
452,3391,395,818,15396
453,3369,391,809,15431
454,3351,398,796,15455
455,3341,382,786,15491
456,3323,382,787,15508
457,3318,372,776,15534
458,3303,392,766,15539
459,3305,375,781,15539
460,3269,361,799,15571
461,3268,349,782,15601
462,3291,330,770,15609
463,3280,342,757,15621
464,3281,356,735,15628
465,3293,316,766,15625
466,3288,291,728,15693
467,3282,299,710,15709
468,3288,318,708,15686
469,3303,315,716,15666
470,3320,303,708,15669
471,3321,309,698,15672
472,3317,321,687,15675
473,3316,333,678,15673
474,3308,354,660,15678
475,3317,320,682,15681
476,3329,322,678,15671
477,3360,299,693,15648
478,3374,305,665,15656
479,3375,323,673,15629
480,3368,342,657,15633
481,3371,347,651,15631
482,3373,323,689,15615
483,3366,328,684,15622
484,3362,339,666,15633
485,3397,320,666,15617
486,3406,312,663,15619
487,3411,320,644,15625
488,3423,314,639,15624
489,3438,291,650,15621
490,3462,282,652,15604
491,3478,295,644,15583
492,3502,269,646,15583
493,3537,249,635,15579
494,3540,258,620,15582
495,3563,257,616,15564
496,3597,264,605,15534
497,3605,274,602,15519
498,3616,283,606,15495
499,3629,279,601,15491
500,3621,283,612,15484
501,3639,295,604,15462
502,3664,286,601,15449
503,3672,275,599,15454
504,3701,268,583,15448
505,3699,259,591,15451
506,3718,268,597,15417
507,3715,284,591,15410
508,3712,307,575,15406
509,3721,288,591,15400
510,3737,281,589,15393
511,3757,272,590,15381
512,3768,275,582,15375
513,3774,284,590,15352
514,3777,279,584,15360
515,3778,262,603,15357
516,3786,275,599,15340
517,3803,277,608,15312
518,3807,302,614,15277
519,3811,299,625,15265
520,3818,285,627,15270
521,3807,298,611,15284
522,3795,326,587,15292
523,3788,323,584,15305
524,3811,330,593,15266
525,3829,310,608,15253
526,3835,307,618,15240
527,3830,303,616,15251
528,3817,330,625,15228
529,3815,326,621,15238
530,3831,309,607,15253
531,3835,298,627,15240
532,3822,287,638,15253
533,3808,310,632,15250
534,3780,327,626,15267
535,3764,326,623,15287
536,3767,336,626,15271
