Iteration,S,E,I,R
0,19967,13,16,4
1,19952,25,18,5
2,19933,38,23,6
3,19914,46,33,7
4,19894,55,43,8
5,19860,76,51,13
6,19816,95,67,22
7,19761,119,86,34
8,19686,161,102,51
9,19614,195,119,72
10,19529,235,150,86
11,19395,311,188,106
12,19237,382,253,128
13,19018,492,323,167
14,18759,609,420,212
15,18430,756,544,270
16,18017,957,682,344
17,17485,1208,864,443
18,16862,1499,1092,547
19,16076,1858,1387,679
20,15095,2330,1723,852
21,13932,2795,2214,1059
22,12633,3313,2729,1325
23,11242,3756,3331,1671
24,9774,4138,3995,2093
25,8349,4381,4661,2609
26,6923,4544,5341,3192
27,5569,4573,5947,3911
28,4356,4546,6374,4724
29,3379,4249,6795,5577
30,2583,3825,7146,6446
31,1948,3387,7270,7395
32,1498,2904,7265,8333
33,1152,2433,7188,9227
34,892,2043,6870,10195
35,712,1682,6527,11079
36,591,1347,6119,11943
37,530,1066,5701,12703
38,472,862,5232,13434
39,455,671,4823,14051
40,437,558,4334,14671
41,423,441,3963,15173
42,427,356,3533,15684
43,415,294,3170,16121
44,440,243,2828,16489
45,456,212,2524,16808
46,475,190,2251,17084
47,508,170,2002,17320
48,539,164,1770,17527
49,571,149,1584,17696
50,598,147,1395,17860
51,644,135,1231,17990
52,692,119,1121,18068
53,759,96,1003,18142
54,807,84,907,18202
55,852,85,799,18264
56,901,80,718,18301
57,943,81,638,18338
58,985,73,569,18373
59,1049,67,514,18370
60,1100,69,459,18372
61,1142,63,425,18370
62,1170,65,390,18375
63,1219,66,347,18368
64,1272,57,317,18354
65,1338,55,289,18318
66,1405,52,265,18278
67,1468,50,242,18240
68,1528,46,210,18216
69,1594,37,194,18175
70,1647,38,173,18142
71,1698,47,153,18102
72,1760,43,145,18052
73,1819,51,135,17995
74,1866,53,130,17951
75,1923,50,130,17897
76,1985,46,114,17855
77,2037,39,104,17820
78,2090,29,113,17768
79,2143,31,102,17724
80,2206,28,97,17669
81,2262,22,92,17624
82,2302,20,84,17594
83,2365,25,76,17534
84,2400,24,72,17504
85,2465,20,72,17443
86,2521,26,67,17386
87,2588,33,62,17317
88,2634,31,57,17278
89,2692,30,50,17228
90,2739,20,57,17184
91,2793,20,52,17135
92,2838,22,47,17093
93,2904,23,44,17029
94,2948,19,48,16985
95,2991,19,45,16945
96,3046,20,38,16896
97,3078,20,37,16865
98,3132,15,38,16815
99,3174,18,35,16773
100,3217,16,33,16734
101,3276,17,33,16674
102,3319,15,32,16634
103,3364,17,32,16587
104,3406,14,30,16550
105,3448,11,34,16507
106,3495,12,32,16461
107,3539,14,29,16418
108,3575,16,31,16378
109,3625,15,30,16330
110,3668,19,27,16286
111,3712,13,34,16241
112,3752,12,32,16204
113,3788,12,30,16170
114,3818,9,28,16145
115,3872,7,29,16092
116,3911,10,27,16052
117,3951,7,27,16015
118,3985,10,26,15979
119,4027,11,22,15940
120,4063,11,20,15906
121,4108,9,18,15865
122,4148,13,20,15819
123,4192,13,20,15775
124,4243,12,16,15729
125,4281,12,17,15690
126,4325,12,20,15643
127,4363,13,23,15601
128,4397,11,24,15568
129,4441,12,24,15523
130,4492,11,23,15474
131,4524,17,26,15433
132,4563,16,27,15394
133,4612,15,30,15343
134,4666,14,31,15289
135,4707,20,30,15243
136,4750,21,29,15200
137,4775,23,29,15173
138,4827,19,31,15123
139,4872,20,35,15073
140,4900,23,36,15041
141,4941,27,39,14993
142,4985,24,44,14947
143,5011,33,41,14915
144,5045,32,47,14876
145,5085,30,47,14838
146,5120,31,49,14800
147,5155,28,53,14764
148,5201,34,52,14713
149,5222,40,54,14684
150,5254,39,62,14645
151,5289,41,60,14610
152,5323,42,63,14572
153,5342,50,63,14545
154,5372,50,70,14508
155,5398,49,78,14475
156,5436,43,82,14439
157,5459,47,79,14415
158,5481,60,80,14379
159,5511,54,91,14344
160,5528,62,89,14321
161,5558,58,106,14278
162,5581,61,104,14254
163,5599,70,106,14225
164,5631,63,97,14209
165,5646,71,99,14184
166,5659,72,105,14164
167,5686,70,108,14136
168,5698,74,124,14104
169,5712,74,128,14086
170,5731,74,135,14060
171,5744,81,132,14043
172,5749,93,135,14023
173,5759,110,135,13996
174,5766,116,142,13976
175,5781,115,154,13950
176,5783,127,155,13935
177,5795,124,170,13911
178,5807,117,188,13888
179,5805,134,191,13870
180,5804,144,206,13846
181,5801,161,219,13819
182,5788,165,248,13799
183,5779,171,254,13796
184,5752,190,264,13794
185,5741,194,283,13782
186,5713,196,302,13789
187,5672,214,316,13798
188,5654,223,335,13788
189,5614,235,364,13787
190,5581,245,383,13791
191,5535,273,397,13795
192,5490,294,403,13813
193,5431,319,407,13843
194,5396,304,438,13862
195,5340,310,473,13877
196,5292,316,488,13904
197,5252,330,498,13920
198,5168,362,538,13932
199,5096,367,572,13965
200,5030,379,588,14003
201,4971,386,620,14023
202,4894,403,657,14046
203,4829,401,684,14086
204,4756,418,704,14122
205,4668,439,728,14165
206,4602,451,716,14231
207,4532,425,767,14276
208,4426,455,771,14348
209,4338,462,789,14411
210,4240,458,825,14477
211,4169,459,845,14527
212,4100,460,859,14581
213,4043,446,887,14624
214,3948,462,901,14689
215,3886,459,923,14732
216,3828,462,942,14768
217,3757,486,930,14827
218,3709,463,930,14898
219,3662,438,935,14965
220,3603,456,917,15024
221,3533,456,930,15081
222,3470,459,898,15173
223,3390,455,932,15223
224,3325,455,918,15302
225,3269,436,938,15357
226,3230,428,923,15419
227,3173,427,923,15477
228,3139,409,919,15533
229,3100,400,912,15588
230,3079,379,880,15662
231,3038,378,866,15718
232,2995,382,848,15775
233,2965,384,841,15810
234,2929,376,832,15863
235,2902,335,866,15897
236,2891,332,858,15919
237,2863,325,847,15965
238,2858,307,847,15988
239,2833,310,837,16020
240,2815,313,794,16078
241,2825,297,790,16088
242,2826,295,790,16089
243,2833,265,768,16134
244,2844,259,753,16144
245,2838,277,720,16165
246,2862,276,698,16164
247,2864,281,657,16198
248,2891,276,638,16195
249,2898,267,635,16200
250,2945,234,620,16201
251,2963,256,576,16205
252,2986,247,567,16200
253,3008,250,560,16182
254,3047,237,547,16169
255,3068,222,540,16170
256,3090,222,516,16172
257,3096,212,531,16161
258,3122,206,514,16158
259,3162,211,498,16129
260,3211,203,495,16091
261,3253,203,495,16049
262,3280,199,490,16031
263,3303,211,469,16017
264,3351,206,464,15979
265,3372,200,472,15956
266,3421,192,463,15924
267,3467,181,460,15892
268,3491,193,432,15884
269,3514,183,433,15870
270,3548,190,419,15843
271,3577,204,410,15809
272,3615,197,415,15773
273,3649,201,409,15741
274,3684,200,410,15706
275,3703,216,410,15671
276,3721,216,419,15644
277,3736,225,422,15617
278,3759,207,418,15616
279,3771,219,411,15599
280,3805,217,416,15562
281,3817,221,420,15542
282,3842,213,422,15523
283,3856,219,410,15515
284,3874,222,415,15489
285,3893,227,417,15463
286,3927,221,416,15436
287,3949,209,425,15417
288,3982,194,420,15404
289,4013,197,404,15386
290,4036,211,401,15352
291,4074,200,410,15316
292,4112,192,423,15273
293,4139,203,424,15234
294,4151,196,441,15212
295,4156,206,445,15193
296,4186,204,450,15160
297,4215,211,436,15138
298,4234,221,428,15117
299,4252,234,432,15082
300,4264,246,427,15063
301,4276,251,436,15037
302,4278,258,442,15022
303,4283,263,456,14998
304,4308,245,484,14963
305,4334,264,486,14916
306,4312,287,493,14908
307,4300,276,527,14897
308,4306,288,538,14868
309,4309,287,552,14852
310,4301,291,560,14848
311,4304,305,554,14837
312,4299,299,579,14823
313,4291,296,590,14823
314,4281,313,575,14831
315,4264,344,573,14819
316,4246,345,604,14805
317,4253,347,606,14794
318,4239,346,629,14786
319,4201,364,633,14802
320,4169,352,671,14808
321,4139,348,687,14826
322,4102,372,692,14834
323,4074,395,706,14825
324,4031,424,728,14817
325,4021,402,756,14821
326,3993,412,755,14840
327,3962,394,785,14859
328,3931,395,780,14894
329,3901,392,773,14934
330,3874,390,785,14951
331,3852,375,803,14970
332,3834,384,801,14981
333,3794,400,803,15003
334,3784,394,793,15029
335,3766,388,804,15042
336,3762,386,793,15059
337,3728,398,809,15065
338,3734,384,780,15102
339,3727,380,788,15105
340,3718,392,781,15109
341,3704,391,793,15112
342,3688,393,787,15132
343,3691,370,777,15162
344,3672,385,764,15179
345,3691,353,773,15183
346,3679,346,770,15205
347,3676,346,763,15215
348,3666,347,782,15205
349,3645,366,778,15211
350,3653,361,801,15185
351,3641,378,756,15225
352,3628,388,760,15224
353,3618,370,771,15241
354,3618,359,788,15235
355,3618,365,754,15263
356,3636,348,774,15242
357,3626,333,776,15265
358,3621,353,760,15266
359,3604,346,752,15298
360,3595,360,731,15314
361,3582,375,742,15301
362,3591,368,732,15309
363,3602,358,724,15316
364,3608,368,715,15309
365,3577,390,721,15312
366,3544,392,742,15322
367,3567,368,755,15310
368,3571,380,746,15303
369,3571,394,751,15284
370,3582,378,762,15278
371,3592,362,764,15282
372,3571,366,761,15302
373,3587,356,739,15318
374,3580,369,740,15311
375,3587,360,736,15317
376,3582,381,722,15315
377,3591,367,733,15309
378,3596,354,735,15315
379,3616,326,735,15323
380,3642,318,738,15302
381,3638,321,746,15295
382,3624,338,725,15313
383,3635,340,715,15310
384,3635,354,707,15304
385,3626,355,709,15310
386,3630,355,705,15310
387,3628,353,711,15308
388,3637,336,732,15295
389,3662,326,720,15292
390,3651,347,712,15290
391,3644,335,716,15305
392,3623,354,717,15306
393,3620,359,725,15296
394,3609,369,726,15296
395,3624,337,743,15296
396,3620,348,736,15296
397,3618,368,717,15297
398,3648,354,721,15277
399,3644,381,710,15265
400,3631,365,726,15278
401,3629,358,731,15282
402,3625,361,740,15274
403,3618,356,729,15297
404,3611,358,719,15312
405,3606,336,742,15316
406,3631,342,739,15288
407,3645,330,768,15257
408,3636,347,748,15269
409,3600,368,751,15281
410,3580,353,755,15312
411,3610,328,751,15311
412,3624,301,734,15341
413,3634,293,731,15342
414,3611,327,704,15358
415,3606,333,687,15374
416,3615,316,689,15380
417,3591,343,665,15401
418,3599,321,701,15379
419,3597,306,709,15388
420,3583,336,675,15406
421,3584,321,681,15414
422,3591,329,670,15410
423,3590,322,671,15417
424,3552,335,674,15439
425,3578,330,673,15419
426,3594,304,690,15412
427,3604,321,651,15424
428,3618,302,656,15424
429,3628,316,637,15419
430,3608,342,636,15414
431,3593,331,663,15413
432,3608,324,665,15403
433,3615,312,687,15386
434,3620,318,695,15367
435,3635,327,685,15353
436,3631,334,695,15340
437,3629,341,706,15324
438,3626,369,701,15304
439,3625,349,726,15300
440,3627,344,713,15316
441,3645,353,699,15303
442,3639,357,709,15295
443,3647,363,700,15290
444,3652,358,712,15278
445,3646,369,728,15257
446,3637,348,737,15278
447,3642,321,746,15291
448,3639,325,739,15297
449,3638,335,715,15312
450,3651,321,735,15293
451,3639,332,711,15318
452,3610,341,727,15322
453,3602,357,726,15315
454,3595,356,731,15318
455,3595,372,727,15306
456,3600,360,746,15294
457,3623,334,724,15319
458,3622,336,733,15309
459,3582,351,730,15337
460,3564,352,725,15359
461,3570,370,703,15357
462,3572,363,690,15375
463,3564,363,707,15366
464,3563,354,723,15360
465,3551,349,716,15384
466,3536,358,716,15390
467,3571,347,713,15369
468,3584,337,708,15371
469,3571,349,707,15373
470,3565,333,721,15381
471,3548,354,713,15385
