Iteration,S,E,I,R
0,19962,18,18,2
1,19945,30,20,5
2,19924,37,32,7
3,19891,57,41,11
4,19858,72,55,15
5,19813,96,70,21
6,19757,121,92,30
7,19680,169,108,43
8,19588,219,130,63
9,19457,282,188,73
10,19276,378,253,93
11,19069,484,325,122
12,18786,641,408,165
13,18425,829,528,218
14,17972,1053,682,293
15,17425,1310,887,378
16,16758,1594,1145,503
17,15896,2000,1451,653
18,14860,2455,1849,836
19,13734,2901,2261,1104
20,12474,3318,2807,1401
21,11006,3856,3383,1755
22,9486,4296,4030,2188
23,8000,4515,4744,2741
24,6519,4671,5429,3381
25,5170,4681,6093,4056
26,4031,4518,6586,4865
27,3116,4098,7042,5744
28,2407,3642,7320,6631
29,1816,3234,7354,7596
30,1416,2750,7340,8494
31,1082,2345,7067,9506
32,860,1920,6794,10426
33,717,1586,6375,11322
34,597,1277,5944,12182
35,515,1028,5508,12949
36,453,832,5040,13675
37,401,687,4570,14342
38,402,528,4139,14931
39,397,438,3730,15435
40,390,366,3361,15883
41,405,309,3007,16279
42,404,261,2723,16612
43,419,215,2434,16932
44,437,185,2183,17195
45,459,163,1958,17420
46,485,137,1741,17637
47,527,128,1552,17793
48,562,116,1379,17943
49,593,100,1248,18059
50,638,84,1118,18160
51,674,91,989,18246
52,708,102,849,18341
53,777,82,760,18381
54,823,71,669,18437
55,880,72,589,18459
56,945,61,532,18462
57,986,67,472,18475
58,1020,68,435,18477
59,1073,51,389,18487
60,1111,49,362,18478
61,1170,51,327,18452
62,1221,48,297,18434
63,1284,42,277,18397
64,1329,50,241,18380
65,1391,38,224,18347
66,1455,31,199,18315
67,1513,32,183,18272
68,1564,37,164,18235
69,1612,37,145,18206
70,1676,42,127,18155
71,1736,32,120,18112
72,1785,26,111,18078
73,1842,30,107,18021
74,1899,24,101,17976
75,1960,22,91,17927
76,2023,20,82,17875
77,2088,21,74,17817
78,2136,18,74,17772
79,2183,15,68,17734
80,2237,14,56,17693
81,2286,14,50,17650
82,2339,21,44,17596
83,2391,18,43,17548
84,2447,14,44,17495
85,2495,9,42,17454
86,2556,11,35,17398
87,2613,9,34,17344
88,2676,9,30,17285
89,2725,10,26,17239
90,2780,7,26,17187
91,2829,10,20,17141
92,2881,13,17,17089
93,2940,11,17,17032
94,2989,10,16,16985
95,3041,9,19,16931
96,3109,7,19,16865
97,3166,7,18,16809
98,3221,6,18,16755
99,3268,6,17,16709
100,3323,6,16,16655
101,3367,8,13,16612
102,3402,8,11,16579
103,3446,7,13,16534
104,3504,4,13,16479
105,3554,8,12,16426
106,3578,12,12,16398
107,3631,8,16,16345
108,3682,6,16,16296
109,3740,3,19,16238
110,3780,7,15,16198
111,3850,4,18,16128
112,3894,8,15,16083
113,3939,7,16,16038
114,3981,9,15,15995
115,4036,6,16,15942
116,4079,7,16,15898
117,4116,8,17,15859
118,4159,9,14,15818
119,4195,10,13,15782
120,4255,9,14,15722
121,4287,10,16,15687
122,4313,11,17,15659
123,4349,13,19,15619
124,4396,8,22,15574
125,4432,12,22,15534
126,4465,18,22,15495
127,4501,16,24,15459
128,4547,14,28,15411
129,4579,16,23,15382
130,4612,16,21,15351
131,4644,23,18,15315
132,4693,21,19,15267
133,4723,22,21,15234
134,4757,19,25,15199
135,4796,22,20,15162
136,4829,20,24,15127
137,4861,14,31,15094
138,4906,13,31,15050
139,4935,15,29,15021
140,4972,13,30,14985
141,5007,12,28,14953
142,5048,13,27,14912
143,5084,19,26,14871
144,5121,23,25,14831
145,5171,16,31,14782
146,5199,16,28,14757
147,5224,18,29,14729
148,5255,20,30,14695
149,5290,21,31,14658
150,5320,18,39,14623
151,5342,24,37,14597
152,5382,28,41,14549
153,5412,30,39,14519
154,5437,30,43,14490
155,5473,30,44,14453
156,5514,30,45,14411
157,5551,35,41,14373
158,5577,31,48,14344
159,5604,30,52,14314
160,5628,29,56,14287
161,5656,28,59,14257
162,5683,35,55,14227
163,5716,35,59,14190
164,5753,38,57,14152
165,5786,49,60,14105
166,5808,45,70,14077
167,5830,54,68,14048
168,5855,61,73,14011
169,5881,53,86,13980
170,5899,59,87,13955
171,5927,55,93,13925
172,5943,50,103,13904
173,5968,55,106,13871
174,5989,65,107,13839
175,5999,84,105,13812
176,6006,95,112,13787
177,6013,96,117,13774
178,6024,101,133,13742
179,6037,98,145,13720
180,6050,104,153,13693
181,6055,107,159,13679
182,6048,119,174,13659
183,6069,110,187,13634
184,6061,120,197,13622
185,6046,139,197,13618
186,6030,149,225,13596
187,6020,161,241,13578
188,5987,192,254,13567
189,5971,193,275,13561
190,5944,203,300,13553
191,5939,203,314,13544
192,5911,223,331,13535
193,5878,220,352,13550
194,5827,242,366,13565
195,5781,259,391,13569
196,5754,261,391,13594
197,5701,276,433,13590
198,5648,295,458,13599
199,5592,317,474,13617
200,5505,347,513,13635
201,5428,378,541,13653
202,5339,398,574,13689
203,5237,427,616,13720
204,5142,433,664,13761
205,5065,425,706,13804
206,4964,455,733,13848
207,4870,469,757,13904
208,4778,453,807,13962
209,4668,475,828,14029
210,4557,467,884,14092
211,4466,464,896,14174
212,4342,504,888,14266
213,4237,506,906,14351
214,4130,494,935,14441
215,4006,518,945,14531
216,3933,504,950,14613
217,3864,483,968,14685
218,3785,474,997,14744
219,3689,499,980,14832
220,3600,487,1005,14908
221,3510,494,1009,14987
222,3455,475,1012,15058
223,3375,476,996,15153
224,3295,479,977,15249
225,3235,453,986,15326
226,3163,471,954,15412
