Iteration,S,E,I,R
0,19960,20,16,4
1,19947,25,23,5
2,19924,45,26,5
3,19898,56,37,9
4,19855,81,50,14
5,19808,112,59,21
6,19744,141,86,29
7,19672,181,108,39
8,19572,215,154,59
9,19452,281,186,81
10,19298,359,236,107
11,19107,441,316,136
12,18873,555,395,177
13,18542,746,494,218
14,18095,971,661,273
15,17534,1247,852,367
16,16919,1516,1047,518
17,16122,1905,1305,668
18,15204,2302,1669,825
19,14159,2694,2086,1061
20,12892,3162,2605,1341
21,11508,3618,3195,1679
22,10046,4071,3813,2070
23,8581,4431,4418,2570
24,7137,4594,5123,3146
25,5822,4619,5742,3817
26,4601,4554,6296,4549
27,3644,4229,6749,5378
28,2800,3886,7080,6234
29,2118,3450,7239,7193
30,1606,3030,7287,8077
31,1264,2549,7192,8995
32,973,2117,6934,9976
33,775,1745,6610,10870
34,639,1407,6183,11771
35,543,1153,5775,12529
36,469,923,5381,13227
37,431,741,4929,13899
38,401,617,4434,14548
39,396,478,4000,15126
40,394,395,3604,15607
41,412,324,3233,16031
42,425,251,2930,16394
43,438,206,2607,16749
44,444,189,2316,17051
45,463,176,2060,17301
46,519,140,1836,17505
47,549,134,1637,17680
48,586,126,1451,17837
49,615,112,1281,17992
50,647,108,1159,18086
51,695,102,1028,18175
52,736,103,922,18239
53,780,91,828,18301
54,826,92,752,18330
55,858,86,658,18398
56,925,75,580,18420
57,994,68,498,18440
58,1052,70,449,18429
59,1105,68,396,18431
60,1169,60,363,18408
61,1211,58,332,18399
62,1258,57,306,18379
63,1316,58,285,18341
64,1356,53,271,18320
65,1406,48,256,18290
66,1452,57,233,18258
67,1483,53,226,18238
68,1540,59,210,18191
69,1596,47,205,18152
70,1640,44,191,18125
71,1691,47,167,18095
72,1748,44,169,18039
73,1796,41,163,18000
74,1857,37,148,17958
75,1899,37,139,17925
76,1944,31,132,17893
77,2004,33,115,17848
78,2054,36,103,17807
79,2097,35,94,17774
80,2138,33,88,17741
81,2193,28,82,17697
82,2238,20,85,17657
83,2290,22,80,17608
84,2346,25,68,17561
85,2395,22,64,17519
86,2463,21,59,17457
87,2532,20,57,17391
88,2583,17,53,17347
89,2634,17,50,17299
90,2690,18,48,17244
91,2751,13,51,17185
92,2814,10,52,17124
93,2859,12,51,17078
94,2907,14,51,17028
95,2965,18,46,16971
96,3015,18,45,16922
97,3093,18,44,16845
98,3126,23,41,16810
99,3164,24,45,16767
100,3210,21,46,16723
101,3257,25,45,16673
102,3316,19,48,16617
103,3357,24,47,16572
104,3397,20,50,16533
105,3451,18,47,16484
106,3493,22,45,16440
107,3554,17,46,16383
108,3591,19,47,16343
109,3642,20,48,16290
110,3681,23,41,16255
111,3720,21,43,16216
112,3759,22,42,16177
113,3805,22,42,16131
114,3850,20,48,16082
115,3897,25,46,16032
116,3947,25,49,15979
117,3981,25,49,15945
118,4027,21,50,15902
119,4050,26,48,15876
120,4084,31,51,15834
121,4126,28,55,15791
122,4158,23,62,15757
123,4186,28,57,15729
124,4223,29,58,15690
125,4254,33,56,15657
126,4292,34,57,15617
127,4337,31,62,15570
128,4355,41,62,15542
129,4410,41,63,15486
130,4444,42,64,15450
131,4471,37,70,15422
132,4500,39,70,15391
133,4523,33,72,15372
134,4567,34,67,15332
135,4599,31,75,15295
136,4628,31,81,15260
137,4671,28,82,15219
138,4679,42,87,15192
139,4713,49,75,15163
140,4740,58,78,15124
141,4775,49,89,15087
142,4808,56,84,15052
143,4851,58,90,15001
144,4873,57,93,14977
145,4893,52,104,14951
146,4930,57,96,14917
147,4956,59,100,14885
148,4993,57,94,14856
149,5024,59,98,14819
150,5060,60,96,14784
151,5083,65,91,14761
152,5111,73,91,14725
153,5128,74,93,14705
154,5149,77,108,14666
155,5168,81,116,14635
156,5184,89,117,14610
157,5213,80,126,14581
158,5235,80,131,14554
159,5271,76,147,14506
160,5293,81,143,14483
161,5297,103,149,14451
162,5310,111,165,14414
163,5322,105,178,14395
164,5321,114,187,14378
165,5308,141,185,14366
166,5313,134,211,14342
167,5320,141,229,14310
168,5318,148,240,14294
169,5316,155,242,14287
170,5311,165,242,14282
171,5319,158,261,14262
172,5303,184,256,14257
173,5300,185,285,14230
174,5284,190,302,14224
175,5276,191,318,14215
176,5258,208,317,14217
177,5237,222,331,14210
178,5214,230,355,14201
179,5197,231,364,14208
180,5167,247,375,14211
181,5125,254,417,14204
182,5089,264,436,14211
183,5043,279,444,14234
184,5017,272,462,14249
185,4966,293,479,14262
186,4927,280,505,14288
187,4898,283,507,14312
188,4849,305,514,14332
189,4787,326,529,14358
190,4736,330,549,14385
191,4694,341,564,14401
192,4632,343,586,14439
193,4569,350,603,14478
194,4505,376,614,14505
195,4436,378,651,14535
196,4399,378,680,14543
197,4325,389,691,14595
198,4265,401,714,14620
199,4198,391,734,14677
200,4122,395,756,14727
201,4058,406,755,14781
202,4007,393,766,14834
203,3945,398,780,14877
204,3894,400,794,14912
205,3838,399,809,14954
206,3782,406,788,15024
207,3699,409,798,15094
208,3665,397,797,15141
209,3588,425,779,15208
210,3542,430,783,15245
211,3499,410,820,15271
212,3423,403,846,15328
213,3349,416,864,15371
214,3330,389,857,15424
215,3307,372,866,15455
216,3264,376,857,15503
217,3238,373,837,15552
218,3208,378,833,15581
219,3176,361,850,15613
220,3154,370,825,15651
221,3111,366,807,15716
222,3078,381,788,15753
223,3056,360,793,15791
224,3047,341,800,15812
225,3031,319,796,15854
226,3012,311,769,15908
227,3015,294,742,15949
228,3039,277,719,15965
229,3031,278,696,15995
230,3047,274,676,16003
231,3030,289,677,16004
232,3019,280,675,16026
233,3027,249,677,16047
234,3021,267,646,16066
235,3014,261,631,16094
236,3012,267,614,16107
237,3032,251,618,16099
238,3044,255,576,16125
239,3059,248,566,16127
240,3072,250,557,16121
241,3076,233,559,16132
242,3103,245,532,16120
243,3132,244,502,16122
244,3147,241,503,16109
245,3189,237,502,16072
246,3188,244,500,16068
247,3226,215,518,16041
248,3249,222,509,16020
249,3287,210,504,15999
250,3310,220,489,15981
251,3336,207,485,15972
252,3366,205,478,15951
253,3396,218,469,15917
254,3408,220,470,15902
255,3441,214,467,15878
256,3455,213,478,15854
257,3475,217,474,15834
258,3509,208,482,15801
259,3550,204,485,15761
260,3563,218,477,15742
261,3580,235,465,15720
262,3609,239,443,15709
263,3615,233,456,15696
264,3637,249,445,15669
265,3665,230,452,15653
266,3699,223,451,15627
267,3712,237,453,15598
268,3758,219,466,15557
269,3774,223,467,15536
270,3790,226,459,15525
271,3804,243,440,15513
272,3840,240,443,15477
273,3834,249,459,15458
274,3849,239,472,15440
275,3847,238,482,15433
276,3855,247,485,15413
277,3877,259,478,15386
278,3864,264,500,15372
279,3892,256,496,15356
280,3917,253,499,15331
281,3916,260,507,15317
282,3925,273,493,15309
283,3928,267,516,15289
284,3944,275,517,15264
285,3951,278,517,15254
286,3947,285,518,15250
287,3964,281,521,15234
288,3931,297,543,15229
289,3950,321,538,15191
290,3948,304,576,15172
291,3930,338,573,15159
292,3927,350,579,15144
293,3942,327,586,15145
294,3943,329,587,15141
295,3951,325,601,15123
296,3949,309,608,15134
297,3940,305,627,15128
298,3960,288,647,15105
299,3962,311,641,15086
300,3963,320,655,15062
301,3958,322,649,15071
302,3943,309,656,15092
303,3897,336,658,15109
304,3902,338,657,15103
305,3870,351,674,15105
306,3864,339,703,15094
307,3832,365,696,15107
308,3806,364,713,15117
309,3780,364,710,15146
310,3773,358,732,15137
311,3755,356,726,15163
312,3745,352,722,15181
313,3725,391,711,15173
314,3718,362,742,15178
315,3710,367,709,15214
316,3696,370,711,15223
317,3682,364,724,15230
318,3662,365,728,15245
319,3651,371,715,15263
320,3673,333,720,15274
321,3670,341,720,15269
322,3683,319,714,15284
323,3689,331,700,15280
324,3695,334,687,15284
325,3678,352,691,15279
326,3692,333,691,15284
327,3662,338,678,15322
328,3673,333,663,15331
329,3674,315,677,15334
330,3693,301,701,15305
331,3690,301,695,15314
332,3694,304,676,15326
333,3718,300,689,15293
334,3734,304,670,15292
335,3726,348,643,15283
336,3708,349,659,15284
337,3708,344,672,15276
338,3708,338,672,15282
339,3722,331,658,15289
340,3709,342,671,15278
341,3718,339,673,15270
342,3710,341,682,15267
343,3696,352,662,15290
344,3703,346,659,15292
345,3695,352,664,15289
346,3688,343,666,15303
347,3694,329,665,15312
348,3719,310,650,15321
349,3730,333,633,15304
350,3741,338,636,15285
351,3752,336,634,15278
352,3753,338,640,15269
353,3749,348,636,15267
354,3756,356,651,15237
355,3771,326,662,15241
356,3776,331,676,15217
357,3781,344,673,15202
358,3779,357,655,15209
359,3774,324,685,15217
360,3762,332,679,15227
361,3749,354,685,15212
362,3762,337,706,15195
363,3758,328,713,15201
364,3766,317,714,15203
365,3749,346,720,15185
366,3746,357,726,15171
367,3746,345,731,15178
368,3769,338,706,15187
369,3755,352,708,15185
370,3752,341,720,15187
371,3741,363,729,15167
372,3738,366,725,15171
373,3707,387,724,15182
374,3709,378,761,15152
375,3667,382,758,15193
376,3660,384,742,15214
377,3659,382,739,15220
378,3654,375,735,15236
379,3652,356,731,15261
380,3664,351,731,15254
381,3666,353,717,15264
382,3647,357,722,15274
383,3624,366,743,15267
384,3628,359,739,15274
385,3625,354,746,15275
386,3628,346,741,15285
387,3613,355,744,15288
388,3621,354,743,15282
389,3607,356,743,15294
390,3571,378,730,15321
391,3577,378,727,15318
392,3607,352,733,15308
393,3614,345,730,15311
394,3623,357,725,15295
395,3617,362,696,15325
396,3608,376,699,15317
397,3592,360,698,15350
398,3594,361,691,15354
399,3588,359,693,15360
400,3603,333,729,15335
401,3587,344,717,15352
402,3558,357,739,15346
403,3522,373,749,15356
404,3515,375,759,15351
405,3516,356,771,15357
406,3525,368,754,15353
407,3526,372,751,15351
408,3500,364,759,15377
409,3500,351,776,15373
410,3509,334,788,15369
411,3495,357,780,15368
412,3483,353,785,15379
413,3474,361,783,15382
414,3484,356,786,15374
415,3488,329,784,15399
416,3450,350,796,15404
417,3453,349,807,15391
418,3463,345,787,15405
419,3467,332,793,15408
420,3471,336,758,15435
421,3480,330,758,15432
422,3502,336,736,15426
423,3500,334,727,15439
424,3510,335,715,15440
425,3517,324,715,15444
426,3523,338,688,15451
427,3515,324,701,15460
428,3521,331,688,15460
429,3535,323,693,15449
430,3550,323,684,15443
431,3564,306,696,15434
432,3548,326,687,15439
433,3544,312,685,15459
434,3554,309,699,15438
435,3537,335,688,15440
436,3539,341,680,15440
437,3551,334,677,15438
438,3554,331,669,15446
439,3541,331,685,15443
440,3529,326,692,15453
441,3514,336,691,15459
442,3506,331,674,15489
443,3494,311,683,15512
444,3515,308,688,15489
445,3532,304,692,15472
446,3544,315,694,15447
447,3525,345,677,15453
448,3547,329,665,15459
449,3557,319,668,15456
450,3539,341,657,15463
451,3526,323,674,15477
452,3542,324,657,15477
453,3549,319,683,15449
454,3550,311,677,15462
455,3565,299,677,15459
456,3563,301,669,15467
457,3559,303,660,15478
458,3581,307,656,15456
459,3577,295,659,15469
460,3577,296,655,15472
461,3603,285,668,15444
462,3611,289,664,15436
463,3620,296,647,15437
464,3608,322,631,15439
465,3588,343,643,15426
466,3594,335,649,15422
467,3597,331,650,15422
468,3605,343,643,15409
469,3617,342,627,15414
470,3623,336,630,15411
471,3620,341,629,15410
472,3635,335,629,15401
473,3636,332,638,15394
474,3667,323,635,15375
475,3681,307,653,15359
476,3700,314,643,15343
477,3710,322,645,15323
478,3703,346,635,15316
479,3712,336,660,15292
480,3705,319,681,15295
481,3681,344,689,15286
482,3689,335,706,15270
483,3695,349,680,15276
484,3676,341,695,15288
485,3686,336,693,15285
486,3716,300,712,15272
487,3724,309,692,15275
488,3700,331,675,15294
489,3701,334,673,15292
490,3703,333,671,15293
491,3708,323,684,15285
492,3690,345,684,15281
493,3681,340,705,15274
494,3672,360,714,15254
495,3706,343,737,15214
496,3683,345,743,15229
497,3676,358,737,15229
498,3656,375,733,15236
499,3644,380,721,15255
500,3629,393,737,15241
501,3637,370,759,15234
502,3650,365,751,15234
503,3622,379,765,15234
504,3592,376,775,15257
505,3589,366,771,15274
506,3587,371,779,15263
507,3579,379,757,15285
508,3573,384,749,15294
509,3593,350,761,15296
510,3584,370,743,15303
511,3614,372,719,15295
512,3609,384,722,15285
513,3596,381,742,15281
514,3612,364,742,15282
515,3609,358,749,15284
516,3622,344,752,15282
517,3631,341,741,15287
518,3623,365,732,15280
519,3616,373,721,15290
520,3599,362,738,15301
521,3574,364,732,15330
522,3563,361,738,15338
523,3550,376,737,15337
524,3549,367,750,15334
525,3575,348,738,15339
526,3568,366,712,15354
527,3584,366,714,15336
528,3581,357,729,15333
529,3560,358,741,15341
530,3580,351,752,15317
531,3588,341,746,15325
532,3575,347,746,15332
533,3596,349,750,15305
534,3588,358,773,15281
535,3594,358,780,15268
536,3588,356,777,15279
537,3563,373,753,15311
538,3570,366,748,15316
539,3565,356,767,15312
540,3564,360,770,15306
541,3546,365,750,15339
542,3529,356,766,15349
543,3519,368,780,15333
544,3489,367,793,15351
545,3483,366,791,15360
546,3488,373,780,15359
547,3466,372,792,15370
548,3467,377,779,15377
549,3456,379,788,15377
550,3444,370,785,15401
551,3456,364,763,15417
552,3447,349,755,15449
553,3457,354,735,15454
554,3457,343,750,15450
555,3483,327,766,15424
556,3472,352,751,15425
557,3462,328,774,15436
558,3477,332,750,15441
559,3469,331,758,15442
560,3475,357,746,15422
561,3492,362,743,15403
562,3524,364,737,15375
563,3527,384,735,15354
564,3515,390,738,15357
565,3543,373,733,15351
566,3545,348,742,15365
567,3558,341,732,15369
568,3560,329,739,15372
569,3571,292,745,15392
570,3547,333,726,15394
571,3551,336,719,15394
572,3539,368,713,15380
573,3560,345,739,15356
574,3566,336,755,15343
575,3552,355,741,15352
576,3554,364,723,15359
577,3564,358,731,15347
578,3547,356,755,15342
579,3531,378,743,15348
580,3540,350,747,15363
581,3547,349,748,15356
582,3531,354,758,15357
583,3531,360,760,15349
584,3530,373,755,15342
585,3536,376,735,15353
586,3514,377,749,15360
587,3487,386,768,15359
588,3487,370,760,15383
589,3475,372,751,15402
590,3514,356,751,15379
591,3521,355,739,15385
592,3534,347,746,15373
