Iteration,S,E,I,R
0,19968,12,18,2
1,19956,19,20,5
2,19942,30,21,7
3,19918,45,28,9
4,19882,62,46,10
5,19842,88,53,17
6,19785,119,67,29
7,19731,141,93,35
8,19655,170,129,46
9,19542,235,162,61
10,19412,298,206,84
11,19255,387,247,111
12,19036,500,324,140
13,18780,631,400,189
14,18466,755,537,242
15,17998,995,700,307
16,17478,1244,874,404
17,16808,1532,1133,527
18,15990,1897,1432,681
19,14982,2389,1743,886
20,13833,2879,2176,1112
21,12541,3342,2715,1402
22,11154,3776,3289,1781
23,9724,4178,3871,2227
24,8277,4453,4522,2748
25,6860,4628,5219,3293
26,5529,4601,5881,3989
27,4319,4511,6465,4705
28,3324,4259,6850,5567
29,2573,3812,7143,6472
30,1937,3400,7294,7369
31,1447,2936,7345,8272
32,1116,2449,7225,9210
33,888,1995,6980,10137
34,689,1618,6626,11067
35,581,1272,6224,11923
36,510,1006,5812,12672
37,444,845,5297,13414
38,416,678,4829,14077
39,391,555,4369,14685
40,369,465,3926,15240
41,362,388,3492,15758
42,371,323,3148,16158
43,385,259,2827,16529
44,398,207,2519,16876
45,424,185,2248,17143
46,460,169,1993,17378
47,495,153,1781,17571
48,522,141,1581,17756
49,564,119,1412,17905
50,586,111,1250,18053
51,627,103,1092,18178
52,687,89,969,18255
53,735,90,880,18295
54,770,91,790,18349
55,812,88,702,18398
56,886,66,633,18415
57,931,71,553,18445
58,993,74,492,18441
59,1048,63,455,18434
60,1100,55,410,18435
61,1156,53,387,18404
62,1226,43,349,18382
63,1278,41,315,18366
64,1331,38,283,18348
65,1385,45,242,18328
66,1444,37,217,18302
67,1487,35,204,18274
68,1541,29,190,18240
69,1588,28,166,18218
70,1634,26,148,18192
71,1681,27,137,18155
72,1728,26,128,18118
73,1778,29,108,18085
74,1828,31,98,18043
75,1886,31,89,17994
76,1939,32,81,17948
77,1989,25,83,17903
78,2059,22,77,17842
79,2106,17,75,17802
80,2166,14,67,17753
81,2208,17,59,17716
82,2269,17,55,17659
83,2318,20,50,17612
84,2379,17,47,17557
85,2440,14,49,17497
86,2488,13,46,17453
87,2546,10,46,17398
88,2596,11,45,17348
89,2648,8,47,17297
90,2710,11,45,17234
91,2768,13,36,17183
92,2803,15,36,17146
93,2846,17,32,17105
94,2893,15,30,17062
95,2954,13,27,17006
96,3012,14,23,16951
97,3056,15,22,16907
98,3102,14,23,16861
99,3157,13,23,16807
100,3196,11,26,16767
101,3256,6,31,16707
102,3308,10,27,16655
103,3361,13,24,16602
104,3417,12,25,16546
105,3476,10,27,16487
106,3527,11,30,16432
107,3581,11,29,16379
108,3627,13,27,16333
109,3673,13,27,16287
110,3721,12,28,16239
111,3757,16,25,16202
112,3800,12,26,16162
113,3842,13,25,16120
114,3895,11,28,16066
115,3935,16,27,16022
116,3968,12,29,15991
117,4007,15,27,15951
118,4051,16,29,15904
119,4102,18,30,15850
120,4145,20,33,15802
121,4188,23,34,15755
122,4226,17,36,15721
123,4253,21,38,15688
124,4286,19,42,15653
125,4324,20,42,15614
126,4363,24,38,15575
127,4397,26,39,15538
128,4428,22,43,15507
129,4466,21,45,15468
130,4502,19,46,15433
131,4532,24,45,15399
132,4570,24,48,15358
133,4602,23,48,15327
134,4647,25,48,15280
135,4686,28,47,15239
136,4726,36,49,15189
137,4757,39,51,15153
138,4798,35,63,15104
139,4831,41,67,15061
140,4869,38,69,15024
141,4903,38,73,14986
142,4919,48,76,14957
143,4945,42,83,14930
144,4965,46,82,14907
145,4992,53,80,14875
146,5022,47,88,14843
147,5054,47,90,14809
148,5079,56,95,14770
149,5105,57,104,14734
150,5128,45,113,14714
151,5146,48,113,14693
152,5176,45,119,14660
153,5197,55,115,14633
154,5209,57,123,14611
155,5219,84,121,14576
156,5238,88,123,14551
157,5241,97,134,14528
158,5266,95,146,14493
159,5288,104,154,14454
160,5298,99,170,14433
161,5311,95,183,14411
162,5323,93,187,14397
163,5323,118,186,14373
164,5326,118,194,14362
165,5333,138,202,14327
166,5345,139,222,14294
167,5348,135,229,14288
168,5344,142,239,14275
169,5330,166,235,14269
170,5327,177,245,14251
171,5326,167,270,14237
172,5304,184,288,14224
173,5300,183,304,14213
174,5270,200,313,14217
175,5251,212,333,14204
176,5234,210,345,14211
177,5220,217,360,14203
178,5200,237,368,14195
179,5184,234,376,14206
180,5137,255,386,14222
181,5097,265,395,14243
182,5060,277,414,14249
183,5031,290,426,14253
184,4991,308,434,14267
185,4957,303,467,14273
186,4917,289,507,14287
187,4866,300,533,14301
188,4827,306,544,14323
189,4761,329,558,14352
190,4689,354,594,14363
191,4623,355,606,14416
192,4577,363,615,14445
193,4513,377,635,14475
194,4446,389,648,14517
195,4394,385,676,14545
196,4352,361,717,14570
197,4278,387,711,14624
198,4196,382,737,14685
199,4120,401,763,14716
200,4055,410,768,14767
201,4026,389,779,14806
202,3969,411,764,14856
203,3894,421,774,14911
204,3853,401,794,14952
205,3797,425,780,14998
206,3722,417,819,15042
207,3671,412,824,15093
208,3641,405,804,15150
209,3600,382,818,15200
210,3536,418,806,15240
211,3505,381,820,15294
212,3458,385,818,15339
213,3439,373,814,15374
214,3416,364,805,15415
215,3355,377,803,15465
216,3318,369,798,15515
217,3297,349,796,15558
218,3262,351,785,15602
219,3241,320,791,15648
220,3194,333,768,15705
221,3191,333,745,15731
222,3178,330,721,15771
223,3131,355,718,15796
224,3106,347,752,15795
225,3093,343,729,15835
226,3078,347,721,15854
227,3047,344,710,15899
228,3035,336,702,15927
229,3034,339,695,15932
230,3030,311,719,15940
231,3031,293,722,15954
232,3023,293,703,15981
233,3029,282,694,15995
234,3026,287,670,16017
235,3024,298,655,16023
236,3029,298,648,16025
237,3044,284,642,16030
238,3061,268,625,16046
239,3055,280,617,16048
240,3057,275,616,16052
241,3065,257,628,16050
242,3061,274,600,16065
243,3072,251,593,16084
244,3072,261,590,16077
245,3103,265,559,16073
246,3110,276,558,16056
247,3131,268,554,16047
248,3130,258,553,16059
249,3145,267,551,16037
250,3152,275,552,16021
251,3168,246,549,16037
252,3178,240,548,16034
253,3194,240,547,16019
254,3233,242,528,15997
255,3255,239,524,15982
256,3282,216,547,15955
257,3316,203,534,15947
258,3346,221,517,15916
259,3375,205,524,15896
260,3385,221,509,15885
261,3419,207,526,15848
262,3409,210,520,15861
263,3440,205,519,15836
264,3467,214,510,15809
265,3448,249,500,15803
266,3444,265,481,15810
267,3464,253,499,15784
268,3478,242,499,15781
269,3509,234,498,15759
270,3531,241,496,15732
271,3571,228,510,15691
272,3566,235,510,15689
273,3588,234,507,15671
274,3628,235,506,15631
275,3646,251,478,15625
276,3660,256,483,15601
277,3663,263,495,15579
278,3665,263,513,15559
279,3683,258,514,15545
280,3699,245,515,15541
281,3728,227,522,15523
282,3741,241,501,15517
283,3781,236,506,15477
284,3802,249,497,15452
285,3807,250,497,15446
286,3811,261,491,15437
287,3836,255,518,15391
288,3846,280,510,15364
289,3871,263,534,15332
290,3892,256,527,15325
291,3910,251,515,15324
292,3928,256,518,15298
293,3928,266,522,15284
294,3925,273,527,15275
295,3938,274,527,15261
296,3953,286,519,15242
297,3969,275,534,15222
298,3985,282,538,15195
299,3994,281,556,15169
300,3993,278,562,15167
301,3996,291,564,15149
302,4011,295,570,15124
303,3996,300,596,15108
304,4001,298,605,15096
305,4016,326,568,15090
306,4001,315,588,15096
307,4001,321,597,15081
308,3989,320,594,15097
309,3999,321,589,15091
310,3977,337,599,15087
311,3991,307,606,15096
312,3992,312,623,15073
313,3947,346,635,15072
314,3933,343,634,15090
315,3935,338,638,15089
316,3919,350,632,15099
317,3933,318,676,15073
318,3929,325,653,15093
319,3926,352,644,15078
320,3905,363,653,15079
321,3911,339,678,15072
322,3924,328,687,15061
323,3901,349,683,15067
324,3911,354,694,15041
325,3903,347,702,15048
326,3900,337,718,15045
327,3877,358,717,15048
328,3881,363,717,15039
329,3873,359,704,15064
330,3873,351,729,15047
331,3850,362,732,15056
332,3853,363,728,15056
333,3856,357,716,15071
334,3828,366,736,15070
335,3818,372,752,15058
336,3812,366,746,15076
337,3807,363,755,15075
338,3790,360,752,15098
339,3770,366,752,15112
340,3757,368,774,15101
341,3752,359,791,15098
342,3731,371,781,15117
343,3700,385,792,15123
344,3672,396,808,15124
345,3646,396,816,15142
346,3622,390,830,15158
347,3618,383,812,15187
348,3601,380,813,15206
349,3579,363,821,15237
350,3541,365,793,15301
351,3515,389,779,15317
352,3502,398,761,15339
353,3499,379,771,15351
354,3483,376,777,15364
355,3506,346,787,15361
356,3503,348,794,15355
357,3469,388,779,15364
358,3460,389,776,15375
359,3454,388,759,15399
360,3469,362,785,15384
361,3476,342,789,15393
362,3483,327,786,15404
363,3465,349,774,15412
364,3452,368,773,15407
365,3449,353,784,15414
366,3442,377,776,15405
367,3448,365,784,15403
368,3453,368,776,15403
369,3434,377,783,15406
370,3411,388,776,15425
371,3411,377,776,15436
372,3428,378,762,15432
373,3444,362,764,15430
374,3439,362,763,15436
375,3433,348,778,15441
376,3441,349,775,15435
377,3426,351,775,15448
378,3440,345,774,15441
379,3434,338,776,15452
380,3429,347,748,15476
381,3408,343,737,15512
382,3420,352,701,15527
383,3444,327,706,15523
384,3476,297,704,15523
385,3487,317,669,15527
386,3488,314,663,15535
387,3482,309,667,15542
388,3509,301,673,15517
389,3509,317,651,15523
390,3495,324,666,15515
391,3508,331,660,15501
392,3512,342,663,15483
393,3529,332,664,15475
394,3518,351,665,15466
395,3523,346,674,15457
396,3523,346,684,15447
397,3518,337,697,15448
398,3496,327,713,15464
399,3501,328,702,15469
400,3462,350,705,15483
401,3448,340,708,15504
402,3450,326,727,15497
403,3432,327,727,15514
404,3429,347,703,15521
405,3435,349,696,15520
406,3446,365,689,15500
407,3465,338,706,15491
408,3484,329,700,15487
409,3472,321,710,15497
410,3490,320,704,15486
411,3495,332,675,15498
412,3521,323,655,15501
413,3534,326,663,15477
414,3553,300,672,15475
415,3573,298,675,15454
416,3577,308,675,15440
417,3580,330,660,15430
418,3571,317,694,15418
419,3574,320,680,15426
420,3585,321,664,15430
421,3591,312,665,15432
422,3609,323,651,15417
423,3593,321,658,15428
424,3601,312,666,15421
425,3616,290,681,15413
426,3609,316,662,15413
427,3603,332,668,15397
428,3608,321,684,15387
429,3591,332,702,15375
430,3589,329,706,15376
431,3587,347,687,15379
432,3566,359,706,15369
