Iteration,S,E,I,R
0,19964,16,19,1
1,19942,32,22,4
2,19929,36,27,8
3,19906,48,31,15
4,19880,61,39,20
5,19845,83,47,25
6,19801,104,63,32
7,19739,130,87,44
8,19671,165,111,53
9,19566,223,146,65
10,19435,295,188,82
11,19282,354,251,113
12,19077,455,315,153
13,18796,586,422,196
14,18426,791,532,251
15,17991,991,689,329
16,17443,1280,855,422
17,16787,1549,1125,539
18,15923,1975,1419,683
19,14938,2417,1766,879
20,13835,2850,2209,1106
21,12521,3364,2732,1383
22,11060,3879,3342,1719
23,9513,4327,3999,2161
24,8002,4617,4687,2694
25,6562,4781,5303,3354
26,5246,4775,5922,4057
27,4092,4621,6442,4845
28,3152,4214,6935,5699
29,2396,3823,7231,6550
30,1860,3269,7401,7470
31,1419,2801,7325,8455
32,1131,2335,7139,9395
33,878,1961,6817,10344
34,721,1586,6483,11210
35,610,1296,6132,11962
36,527,1033,5697,12743
37,481,833,5218,13468
38,461,670,4759,14110
39,431,563,4357,14649
40,403,451,3936,15210
41,389,365,3550,15696
42,381,328,3140,16151
43,395,270,2832,16503
44,417,230,2514,16839
45,452,185,2228,17135
46,483,170,1991,17356
47,506,153,1785,17556
48,541,132,1588,17739
49,582,102,1410,17906
50,620,89,1249,18042
51,658,89,1098,18155
52,717,69,961,18253
53,759,67,853,18321
54,808,75,740,18377
55,856,65,664,18415
56,902,81,602,18415
57,939,88,544,18429
58,995,74,502,18429
59,1057,58,457,18428
60,1103,55,422,18420
61,1156,54,383,18407
62,1200,53,350,18397
63,1254,52,305,18389
64,1308,56,274,18362
65,1354,57,241,18348
66,1412,55,221,18312
67,1464,42,209,18285
68,1517,36,182,18265
69,1574,38,170,18218
70,1638,36,150,18176
71,1713,35,136,18116
72,1757,27,124,18092
73,1803,28,113,18056
74,1865,31,101,18003
75,1922,29,95,17954
76,1986,24,88,17902
77,2035,27,83,17855
78,2094,25,76,17805
79,2139,28,72,17761
80,2191,21,75,17713
81,2246,21,74,17659
82,2288,23,68,17621
83,2339,19,67,17575
84,2382,17,64,17537
85,2441,21,63,17475
86,2483,24,56,17437
87,2518,23,51,17408
88,2565,25,47,17363
89,2621,25,47,17307
90,2673,24,46,17257
91,2710,26,46,17218
92,2746,24,46,17184
93,2793,25,46,17136
94,2853,19,49,17079
95,2903,22,52,17023
96,2946,24,49,16981
97,2995,23,48,16934
98,3036,20,51,16893
99,3082,24,49,16845
100,3116,24,54,16806
101,3168,26,56,16750
102,3220,23,56,16701
103,3264,23,56,16657
104,3329,27,52,16592
105,3373,24,50,16553
106,3420,27,45,16508
107,3450,26,43,16481
108,3496,30,42,16432
109,3543,33,43,16381
110,3597,26,53,16324
111,3627,27,56,16290
112,3671,32,58,16239
113,3720,32,55,16193
114,3757,30,58,16155
115,3802,32,60,16106
116,3839,35,62,16064
117,3883,39,67,16011
118,3918,38,72,15972
119,3965,39,62,15934
120,4016,39,66,15879
121,4065,41,67,15827
122,4097,41,72,15790
123,4122,49,77,15752
124,4170,44,81,15705
125,4207,37,85,15671
126,4230,39,84,15647
127,4269,36,85,15610
128,4295,47,83,15575
129,4323,56,81,15540
130,4346,54,86,15514
131,4370,54,83,15493
132,4409,56,91,15444
133,4444,54,96,15406
134,4467,60,98,15375
135,4495,68,102,15335
136,4528,66,105,15301
137,4554,79,98,15269
138,4580,63,116,15241
139,4584,78,113,15225
140,4607,70,114,15209
141,4639,59,119,15183
142,4676,52,111,15161
143,4699,62,108,15131
144,4742,61,117,15080
145,4761,68,114,15057
146,4781,72,118,15029
147,4827,68,119,14986
148,4848,72,124,14956
149,4863,78,119,14940
150,4893,70,130,14907
151,4907,82,128,14883
152,4928,76,148,14848
153,4947,88,157,14808
154,4962,99,163,14776
155,4971,96,175,14758
156,4980,102,170,14748
157,5000,114,173,14713
158,5009,103,192,14696
159,5030,94,201,14675
160,5049,96,190,14665
161,5072,105,178,14645
162,5073,123,187,14617
163,5090,127,193,14590
164,5099,121,203,14577
165,5088,132,212,14568
166,5081,141,223,14555
167,5091,151,220,14538
168,5104,153,237,14506
169,5090,164,249,14497
170,5085,173,254,14488
171,5079,179,278,14464
172,5059,191,298,14452
173,5047,208,296,14449
174,5043,218,297,14442
175,5036,209,317,14438
176,5014,226,321,14439
177,5001,212,356,14431
178,4996,218,379,14407
179,4958,218,410,14414
180,4922,243,404,14431
181,4886,256,417,14441
182,4864,257,441,14438
183,4838,269,445,14448
184,4815,276,464,14445
185,4777,277,478,14468
186,4746,282,499,14473
187,4712,287,517,14484
188,4682,294,525,14499
189,4623,319,540,14518
190,4567,339,559,14535
191,4529,342,569,14560
192,4486,336,606,14572
193,4430,340,608,14622
194,4378,343,635,14644
195,4337,356,655,14652
196,4283,370,664,14683
197,4236,380,689,14695
198,4164,388,711,14737
199,4114,403,716,14767
200,4056,407,700,14837
201,3989,388,745,14878
202,3946,408,746,14900
203,3875,424,760,14941
204,3807,419,767,15007
205,3749,404,779,15068
206,3692,418,792,15098
207,3641,406,800,15153
208,3590,397,802,15211
209,3539,400,802,15259
210,3503,378,812,15307
211,3441,400,822,15337
212,3407,393,823,15377
213,3356,409,826,15409
214,3308,396,832,15464
215,3249,404,812,15535
216,3201,398,826,15575
217,3192,376,810,15622
218,3165,353,798,15684
219,3154,360,779,15707
220,3127,354,775,15744
221,3096,355,755,15794
222,3091,356,728,15825
223,3096,336,756,15812
224,3064,335,749,15852
225,3069,319,733,15879
226,3060,305,729,15906
227,3049,293,709,15949
228,3039,284,698,15979
229,3027,298,662,16013
230,3007,299,656,16038
231,3007,289,655,16049
232,3020,279,655,16046
233,3032,269,649,16050
234,3020,270,640,16070
235,3052,271,623,16054
236,3045,275,612,16068
237,3050,278,597,16075
238,3031,294,579,16096
239,3042,287,573,16098
240,3055,280,569,16096
241,3090,244,570,16096
242,3093,257,561,16089
243,3104,254,563,16079
244,3124,257,553,16066
245,3143,256,533,16068
