Iteration,S,E,I,R
0,19960,20,16,4
1,19948,25,21,6
2,19934,33,25,8
3,19926,33,25,16
4,19901,52,31,16
5,19870,68,44,18
6,19822,98,57,23
7,19770,123,76,31
8,19705,153,94,48
9,19622,197,124,57
10,19516,248,162,74
11,19373,320,215,92
12,19216,391,277,116
13,19014,493,346,147
14,18737,647,417,199
15,18362,865,518,255
16,17967,1010,710,313
17,17424,1268,901,407
18,16701,1641,1127,531
19,15820,2080,1432,668
20,14870,2460,1831,839
21,13766,2874,2300,1060
22,12473,3351,2817,1359
23,11088,3789,3395,1728
24,9550,4220,4078,2152
25,8078,4463,4789,2670
26,6586,4696,5389,3329
27,5307,4633,6035,4025
28,4123,4528,6508,4841
29,3166,4249,6921,5664
30,2410,3809,7192,6589
31,1860,3292,7316,7532
32,1409,2835,7235,8521
33,1086,2352,7072,9490
34,855,1924,6801,10420
35,690,1559,6425,11326
36,578,1262,6027,12133
37,492,1006,5571,12931
38,436,814,5150,13600
39,404,664,4720,14212
40,384,527,4295,14794
41,393,429,3866,15312
42,382,360,3458,15800
43,381,300,3049,16270
44,393,243,2715,16649
45,420,216,2404,16960
46,448,179,2121,17252
47,466,159,1906,17469
48,477,156,1689,17678
49,526,121,1491,17862
50,564,102,1346,17988
51,611,91,1205,18093
52,655,90,1062,18193
53,711,82,929,18278
54,753,90,818,18339
55,798,90,719,18393
56,843,78,651,18428
57,906,56,584,18454
58,953,56,521,18470
59,1007,55,477,18461
60,1051,46,430,18473
61,1120,54,376,18450
62,1174,53,331,18442
63,1224,50,303,18423
64,1284,47,285,18384
65,1330,62,256,18352
66,1374,55,236,18335
67,1429,57,206,18308
68,1481,51,190,18278
69,1527,55,174,18244
70,1577,50,162,18211
71,1631,36,158,18175
72,1697,36,146,18121
73,1759,30,130,18081
74,1810,32,115,18043
75,1870,27,104,17999
76,1916,24,89,17971
77,1981,17,88,17914
78,2026,21,76,17877
79,2088,25,66,17821
80,2145,24,56,17775
81,2199,20,49,17732
82,2270,13,50,17667
83,2332,13,45,17610
84,2396,10,37,17557
85,2454,9,36,17501
86,2527,9,27,17437
87,2559,10,26,17405
88,2602,9,29,17360
89,2650,11,25,17314
90,2707,9,25,17259
91,2761,9,23,17207
92,2821,8,21,17150
93,2889,6,23,17082
94,2935,9,20,17036
95,2979,7,23,16991
96,3025,10,17,16948
97,3063,7,19,16911
98,3117,5,16,16862
99,3158,6,14,16822
100,3222,5,13,16760
101,3276,5,11,16708
102,3324,5,12,16659
103,3378,4,12,16606
104,3421,5,10,16564
105,3473,4,10,16513
106,3513,3,11,16473
107,3571,4,11,16414
108,3624,5,10,16361
109,3671,3,11,16315
110,3708,2,12,16278
111,3769,4,12,16215
112,3817,3,13,16167
113,3859,3,12,16126
114,3898,2,10,16090
115,3945,3,9,16043
116,3985,4,8,16003
117,4031,4,8,15957
118,4070,5,7,15918
119,4105,5,7,15883
120,4151,4,5,15840
121,4188,3,7,15802
122,4224,5,6,15765
123,4272,7,5,15716
124,4324,8,7,15661
125,4368,9,9,15614
126,4420,6,13,15561
127,4469,3,15,15513
128,4490,11,12,15487
129,4535,11,12,15442
130,4574,5,15,15406
131,4610,7,15,15368
132,4638,11,14,15337
133,4680,11,13,15296
134,4730,13,13,15244
135,4782,9,16,15193
136,4828,10,16,15146
137,4850,7,22,15121
138,4887,8,19,15086
139,4921,8,19,15052
140,4948,8,15,15029
141,4990,5,17,14988
142,5027,9,16,14948
143,5063,10,12,14915
144,5105,8,11,14876
145,5145,9,12,14834
146,5187,8,15,14790
147,5229,9,17,14745
148,5269,9,13,14709
149,5310,8,12,14670
150,5339,12,13,14636
151,5386,11,16,14587
152,5420,12,20,14548
153,5454,9,25,14512
154,5489,14,23,14474
155,5533,14,25,14428
156,5569,18,23,14390
157,5604,22,22,14352
158,5641,21,26,14312
159,5666,20,30,14284
160,5695,24,31,14250
161,5731,24,33,14212
162,5769,23,36,14172
