Iteration,S,E,I,R
0,19972,8,19,1
1,19955,25,16,4
2,19937,39,16,8
3,19924,42,21,13
4,19898,48,40,14
5,19858,69,56,17
6,19812,99,65,24
7,19747,140,80,33
8,19659,182,122,37
9,19562,227,160,51
10,19414,312,205,69
11,19213,420,274,93
12,18986,538,350,126
13,18665,691,460,184
14,18258,891,606,245
15,17735,1159,793,313
16,17180,1388,996,436
17,16446,1713,1257,584
18,15543,2132,1570,755
19,14521,2561,1965,953
20,13331,2980,2481,1208
21,12009,3485,2971,1535
22,10536,3964,3563,1937
23,8989,4380,4197,2434
24,7498,4611,4882,3009
25,6031,4719,5599,3651
26,4813,4632,6162,4393
27,3729,4393,6682,5196
28,2902,4031,6983,6084
29,2182,3597,7167,7054
30,1676,3105,7280,7939
31,1279,2677,7161,8883
32,985,2239,6983,9793
33,793,1836,6669,10702
34,626,1530,6277,11567
35,526,1250,5859,12365
36,455,995,5410,13140
37,423,813,4962,13802
38,393,664,4531,14412
39,372,543,4126,14959
40,364,438,3728,15470
41,368,345,3351,15936
42,392,267,2998,16343
43,409,220,2716,16655
44,432,184,2474,16910
45,463,155,2180,17202
46,499,148,1940,17413
47,529,131,1705,17635
48,566,120,1514,17800
49,599,109,1340,17952
50,638,100,1185,18077
51,690,94,1073,18143
52,727,97,945,18231
53,774,93,843,18290
54,837,72,764,18327
55,876,74,672,18378
56,925,70,598,18407
57,975,72,528,18425
58,1012,68,490,18430
59,1064,72,432,18432
60,1122,68,391,18419
61,1180,67,353,18400
62,1220,64,325,18391
63,1282,56,303,18359
64,1333,54,258,18355
65,1385,50,234,18331
66,1446,42,207,18305
67,1507,36,178,18279
68,1573,25,166,18236
69,1626,35,150,18189
70,1679,32,139,18150
71,1731,32,122,18115
72,1790,33,116,18061
73,1822,34,105,18039
74,1879,29,94,17998
75,1939,26,91,17944
76,1988,21,80,17911
77,2041,25,72,17862
78,2105,18,69,17808
79,2156,25,60,17759
80,2214,20,62,17704
81,2268,23,53,17656
82,2319,21,52,17608
83,2377,21,46,17556
84,2437,18,42,17503
85,2481,20,42,17457
86,2547,22,40,17391
87,2598,22,35,17345
88,2659,25,30,17286
89,2698,23,34,17245
90,2745,23,33,17199
91,2797,16,34,17153
92,2836,12,36,17116
93,2890,14,36,17060
94,2937,14,40,17009
95,2982,20,36,16962
96,3044,20,33,16903
97,3098,16,31,16855
98,3148,20,29,16803
99,3194,18,32,16756
100,3233,16,33,16718
101,3275,16,29,16680
102,3321,10,26,16643
103,3363,9,26,16602
104,3418,10,28,16544
105,3467,8,30,16495
106,3516,5,31,16448
107,3580,4,30,16386
108,3633,7,27,16333
109,3666,11,22,16301
110,3704,11,24,16261
111,3739,10,26,16225
112,3778,10,27,16185
113,3819,14,20,16147
114,3859,13,22,16106
115,3903,13,20,16064
116,3943,15,16,16026
117,3983,11,19,15987
118,4022,12,22,15944
119,4062,15,19,15904
120,4108,17,24,15851
121,4148,14,23,15815
122,4191,11,26,15772
123,4232,14,25,15729
124,4277,16,26,15681
125,4319,18,21,15642
126,4368,19,21,15592
127,4405,19,23,15553
128,4440,14,23,15523
129,4491,15,25,15469
130,4529,17,24,15430
131,4570,20,22,15388
132,4605,17,28,15350
133,4653,17,32,15298
134,4695,20,31,15254
135,4736,22,31,15211
136,4768,22,36,15174
137,4802,23,40,15135
138,4844,23,41,15092
139,4880,26,41,15053
140,4922,27,40,15011
141,4953,32,45,14970
142,4978,28,55,14939
143,5005,29,51,14915
144,5041,29,50,14880
145,5070,32,50,14848
146,5098,27,50,14825
147,5124,34,49,14793
148,5153,30,58,14759
149,5176,36,59,14729
150,5205,35,64,14696
151,5230,37,67,14666
152,5261,41,71,14627
153,5291,42,69,14598
154,5332,38,74,14556
155,5356,41,72,14531
156,5378,40,81,14501
157,5406,49,85,14460
158,5426,51,83,14440
159,5458,53,90,14399
160,5473,65,91,14371
161,5504,69,95,14332
162,5530,75,94,14301
163,5550,84,99,14267
164,5569,84,108,14239
165,5603,79,118,14200
166,5626,77,129,14168
167,5633,98,134,14135
168,5644,95,151,14110
169,5655,85,167,14093
170,5665,91,177,14067
171,5665,110,167,14058
172,5671,126,169,14034
173,5667,147,188,13998
174,5680,147,210,13963
175,5672,151,232,13945
176,5667,161,239,13933
177,5665,173,261,13901
178,5654,183,277,13886
179,5647,189,288,13876
180,5629,191,302,13878
181,5608,206,304,13882
182,5586,219,314,13881
183,5557,232,325,13886
184,5509,250,362,13879
185,5474,264,379,13883
186,5420,278,407,13895
187,5366,293,440,13901
188,5324,320,460,13896
189,5249,346,470,13935
190,5171,365,503,13961
191,5108,365,551,13976
192,5057,376,562,14005
193,4981,388,602,14029
194,4919,375,639,14067
195,4816,402,656,14126
196,4761,395,664,14180
197,4700,407,678,14215
198,4625,411,702,14262
199,4546,435,695,14324
200,4480,437,712,14371
201,4411,425,752,14412
202,4346,414,756,14484
203,4231,437,791,14541
204,4159,448,807,14586
205,4087,450,823,14640
206,4025,435,867,14673
207,3948,436,886,14730
208,3869,442,895,14794
209,3813,440,898,14849
210,3758,434,906,14902
211,3684,434,891,14991
212,3621,413,898,15068
213,3559,427,887,15127
214,3510,417,869,15204
215,3460,422,853,15265
216,3404,424,850,15322
217,3342,425,846,15387
218,3299,393,869,15439
219,3228,405,875,15492
220,3182,395,884,15539
221,3150,397,882,15571
222,3104,417,868,15611
223,3062,398,867,15673
224,3050,377,868,15705
225,3028,350,851,15771
226,2995,356,827,15822
227,2963,354,810,15873
228,2938,351,802,15909
229,2909,341,811,15939
230,2880,304,816,16000
231,2885,291,813,16011
232,2868,299,802,16031
233,2860,305,787,16048
234,2866,294,764,16076
235,2868,288,739,16105
236,2874,278,727,16121
237,2877,268,695,16160
238,2868,301,657,16174
239,2888,274,646,16192
240,2911,270,619,16200
241,2925,264,630,16181
242,2930,256,613,16201
243,2960,229,609,16202
244,2995,223,580,16202
245,3012,223,548,16217
246,3039,237,539,16185
247,3055,227,527,16191
248,3084,210,523,16183
249,3098,209,496,16197
250,3122,195,500,16183
251,3151,189,496,16164
252,3198,194,471,16137
253,3205,197,455,16143
254,3244,196,448,16112
255,3280,190,449,16081
256,3294,204,440,16062
257,3334,202,437,16027
258,3376,199,432,15993
259,3412,188,431,15969
260,3452,172,435,15941
261,3470,190,410,15930
262,3484,198,402,15916
263,3527,170,404,15899
264,3549,181,385,15885
265,3570,195,383,15852
266,3604,191,389,15816
267,3638,189,396,15777
268,3663,188,386,15763
269,3697,187,389,15727
270,3711,197,402,15690
271,3729,189,421,15661
272,3746,209,418,15627
