Iteration,S,E,I,R
0,19966,14,17,3
1,19949,26,19,6
2,19928,40,23,9
3,19910,42,39,9
4,19881,65,41,13
5,19848,77,59,16
6,19797,110,71,22
7,19741,135,89,35
8,19659,173,119,49
9,19579,208,149,64
10,19455,273,189,83
11,19287,365,240,108
12,19084,463,304,149
13,18811,599,406,184
14,18451,778,531,240
15,17992,999,708,301
16,17438,1297,874,391
17,16764,1567,1164,505
18,16013,1884,1441,662
19,14993,2367,1811,829
20,13902,2804,2220,1074
21,12561,3367,2721,1351
22,11117,3855,3318,1710
23,9597,4279,3945,2179
24,8159,4488,4642,2711
25,6686,4698,5249,3367
26,5338,4645,5972,4045
27,4129,4543,6502,4826
28,3199,4200,6872,5729
29,2477,3737,7136,6650
30,1903,3305,7209,7583
31,1445,2820,7219,8516
32,1172,2325,7089,9414
33,901,1927,6869,10303
34,762,1563,6511,11164
35,635,1248,6106,12011
36,565,1008,5671,12756
37,478,856,5157,13509
38,428,690,4685,14197
39,422,553,4279,14746
40,398,457,3863,15282
41,395,372,3458,15775
42,390,329,3037,16244
43,405,264,2693,16638
44,417,222,2401,16960
45,437,175,2168,17220
46,455,156,1936,17453
47,497,147,1747,17609
48,524,123,1556,17797
49,564,111,1380,17945
50,609,99,1211,18081
51,650,90,1096,18164
52,696,72,968,18264
53,754,74,852,18320
54,791,70,766,18373
55,833,65,667,18435
56,890,55,588,18467
57,932,56,520,18492
58,981,53,466,18500
59,1023,60,415,18502
60,1096,50,379,18475
61,1134,48,333,18485
62,1189,49,284,18478
63,1236,50,269,18445
64,1293,47,249,18411
65,1348,51,232,18369
66,1397,50,207,18346
67,1451,40,188,18321
68,1502,45,176,18277
69,1554,40,172,18234
70,1598,37,159,18206
71,1660,35,150,18155
72,1724,33,133,18110
73,1779,32,119,18070
74,1829,27,107,18037
75,1886,28,92,17994
76,1946,23,86,17945
77,1997,25,77,17901
78,2049,28,68,17855
79,2098,30,63,17809
80,2157,25,65,17753
81,2202,25,59,17714
82,2261,23,57,17659
83,2320,23,56,17601
84,2376,20,52,17552
85,2426,17,47,17510
