Iteration,S,E,I,R
0,19967,13,18,2
1,19958,19,17,6
2,19941,31,21,7
3,19922,41,28,9
4,19894,62,31,13
5,19856,90,36,18
6,19825,94,60,21
7,19778,112,85,25
8,19692,167,105,36
9,19596,209,135,60
10,19473,271,175,81
11,19319,338,233,110
12,19103,478,285,134
13,18847,589,389,175
14,18518,763,499,220
15,18100,968,654,278
16,17587,1213,834,366
17,16928,1527,1084,461
18,16104,1905,1367,624
19,15139,2362,1706,793
20,14048,2782,2130,1040
21,12725,3306,2625,1344
22,11322,3785,3190,1703
23,9893,4146,3829,2132
24,8349,4496,4520,2635
25,6852,4680,5225,3243
26,5497,4751,5812,3940
27,4266,4627,6421,4686
28,3308,4307,6853,5532
29,2511,3931,7140,6418
30,1911,3447,7272,7370
31,1457,2959,7237,8347
32,1163,2449,7137,9251
33,895,2026,6873,10206
34,726,1624,6530,11120
35,596,1331,6089,11984
36,501,1074,5632,12793
37,445,859,5148,13548
38,390,709,4721,14180
39,373,557,4295,14775
40,360,443,3913,15284
41,355,357,3458,15830
42,366,299,3121,16214
43,380,263,2779,16578
44,404,227,2435,16934
45,423,206,2156,17215
46,463,172,1931,17434
47,480,162,1724,17634
48,502,144,1519,17835
49,534,135,1331,18000
50,549,133,1185,18133
51,583,125,1063,18229
52,618,122,958,18302
53,661,99,877,18363
54,692,89,791,18428
55,741,70,716,18473
56,799,65,658,18478
57,850,66,575,18509
58,889,67,512,18532
59,930,69,460,18541
60,981,59,414,18546
61,1033,57,370,18540
62,1095,52,329,18524
63,1174,45,300,18481
64,1222,46,275,18457
65,1283,54,246,18417
66,1340,47,231,18382
67,1390,40,213,18357
68,1440,40,199,18321
69,1499,33,181,18287
70,1558,36,162,18244
71,1617,29,156,18198
72,1674,26,148,18152
73,1731,24,139,18106
74,1794,23,121,18062
75,1842,29,109,18020
76,1894,28,110,17968
77,1931,24,103,17942
78,1988,22,93,17897
79,2044,27,81,17848
80,2104,24,73,17799
81,2158,20,67,17755
82,2218,16,62,17704
83,2267,19,55,17659
84,2322,23,50,17605
85,2376,21,55,17548
86,2424,21,49,17506
87,2471,21,44,17464
88,2526,21,40,17413
89,2581,15,41,17363
90,2625,14,43,17318
91,2680,10,44,17266
92,2732,11,39,17218
93,2802,9,38,17151
94,2848,11,34,17107
95,2894,13,36,17057
96,2946,12,30,17012
97,2989,13,28,16970
98,3035,14,27,16924
99,3078,13,28,16881
100,3125,13,29,16833
101,3182,13,24,16781
102,3233,11,24,16732
103,3278,13,23,16686
104,3339,11,25,16625
105,3387,9,23,16581
106,3431,8,22,16539
107,3476,6,24,16494
108,3520,8,22,16450
109,3567,9,20,16404
110,3598,15,20,16367
111,3637,12,21,16330
112,3689,11,23,16277
113,3734,9,26,16231
114,3786,11,22,16181
115,3841,10,20,16129
116,3892,9,19,16080
117,3943,9,18,16030
118,3988,12,17,15983
119,4021,14,18,15947
120,4061,11,20,15908
121,4099,15,19,15867
122,4136,14,23,15827
123,4185,10,26,15779
124,4235,12,26,15727
125,4276,12,29,15683
126,4323,12,31,15634
127,4369,9,34,15588
128,4410,9,28,15553
129,4444,13,30,15513
130,4482,16,28,15474
131,4519,21,25,15435
132,4566,20,26,15388
133,4606,19,28,15347
134,4645,19,31,15305
135,4686,15,36,15263
136,4717,22,37,15224
137,4748,24,40,15188
138,4777,26,43,15154
139,4817,26,42,15115
140,4862,25,40,15073
141,4893,28,41,15038
142,4935,29,38,14998
143,4968,25,42,14965
144,5007,25,40,14928
145,5032,30,34,14904
146,5061,26,38,14875
147,5094,23,43,14840
148,5140,21,47,14792
149,5178,21,49,14752
150,5217,18,48,14717
151,5247,18,50,14685
152,5279,22,52,14647
153,5315,28,52,14605
154,5350,28,55,14567
155,5391,26,58,14525
156,5424,35,55,14486
157,5455,32,57,14456
158,5481,38,54,14427
159,5519,43,64,14374
160,5548,49,59,14344
161,5573,49,68,14310
162,5593,64,71,14272
163,5620,56,75,14249
164,5640,61,80,14219
165,5669,57,87,14187
166,5683,67,96,14154
167,5706,69,106,14119
168,5725,74,113,14088
169,5734,78,114,14074
170,5757,88,109,14046
171,5772,83,108,14037
172,5795,76,124,14005
173,5807,90,122,13981
174,5821,83,127,13969
175,5839,78,141,13942
176,5850,85,153,13912
177,5849,109,160,13882
178,5847,111,173,13869
179,5848,120,170,13862
180,5857,116,179,13848
181,5853,131,182,13834
182,5850,136,191,13823
183,5858,156,194,13792
184,5860,163,199,13778
185,5834,170,235,13761
186,5807,200,234,13759
187,5815,180,268,13737
188,5799,183,286,13732
189,5766,206,305,13723
190,5733,221,319,13727
191,5685,241,343,13731
192,5631,262,357,13750
193,5586,283,386,13745
194,5552,275,420,13753
195,5491,306,448,13755
196,5411,324,476,13789
197,5352,334,510,13804
198,5300,336,533,13831
199,5219,359,558,13864
200,5148,382,574,13896
201,5088,399,610,13903
202,5032,397,634,13937
203,4935,431,642,13992
204,4856,443,666,14035
205,4771,459,689,14081
206,4683,456,753,14108
207,4571,483,781,14165
208,4510,480,804,14206
