Iteration,S,E,I,R
0,19970,10,16,4
1,19963,14,16,7
2,19949,26,18,7
3,19928,40,23,9
4,19908,55,27,10
5,19886,59,42,13
6,19849,85,45,21
7,19812,95,60,33
8,19766,118,75,41
9,19695,157,94,54
10,19608,198,126,68
11,19493,261,159,87
12,19339,338,218,105
13,19154,427,287,132
14,18898,551,383,168
15,18574,713,495,218
16,18149,951,618,282
17,17680,1163,783,374
18,17061,1453,1022,464
19,16293,1806,1299,602
20,15332,2236,1663,769
21,14294,2629,2077,1000
22,13023,3121,2558,1298
23,11692,3586,3084,1638
24,10257,3985,3711,2047
25,8751,4392,4320,2537
26,7314,4572,5007,3107
27,5926,4670,5641,3763
28,4715,4536,6213,4536
29,3635,4371,6599,5395
30,2807,4002,6879,6312
31,2150,3541,7055,7254
32,1645,3039,7176,8140
33,1294,2607,7030,9069
34,1046,2165,6843,9946
35,804,1776,6565,10855
36,641,1462,6197,11700
37,543,1165,5849,12443
38,460,949,5440,13151
39,419,747,4955,13879
40,389,601,4514,14496
41,384,482,4090,15044
42,372,399,3688,15541
43,369,328,3357,15946
44,379,266,3019,16336
45,393,223,2691,16693
46,414,199,2362,17025
47,442,170,2113,17275
48,459,153,1868,17520
49,498,138,1680,17684
50,541,110,1494,17855
51,567,101,1311,18021
52,604,94,1173,18129
53,657,83,1058,18202
54,724,73,929,18274
55,764,69,835,18332
56,801,77,747,18375
57,853,72,653,18422
58,894,69,577,18460
59,963,57,518,18462
60,1010,54,448,18488
61,1055,58,409,18478
62,1110,58,367,18465
63,1149,57,336,18458
64,1207,50,313,18430
65,1262,49,285,18404
66,1321,42,252,18385
67,1377,35,237,18351
68,1422,40,210,18328
69,1479,34,198,18289
70,1546,37,177,18240
71,1598,36,165,18201
72,1642,35,150,18173
73,1700,34,136,18130
74,1747,29,115,18109
75,1803,23,103,18071
76,1854,27,95,18024
77,1896,29,90,17985
78,1952,27,83,17938
79,2018,26,73,17883
80,2068,22,72,17838
81,2125,22,66,17787
82,2193,17,68,17722
83,2241,14,66,17679
84,2293,17,55,17635
85,2341,18,51,17590
86,2385,16,48,17551
87,2443,15,45,17497
88,2481,20,40,17459
89,2537,17,43,17403
90,2580,13,41,17366
91,2629,13,39,17319
92,2692,13,41,17254
93,2736,16,31,17217
94,2786,13,33,17168
95,2838,13,29,17120
96,2891,16,25,17068
97,2949,16,25,17010
98,2985,15,25,16975
99,3033,14,26,16927
100,3074,13,27,16886
101,3114,10,23,16853
102,3172,6,25,16797
103,3226,13,21,16740
104,3256,13,19,16712
105,3315,11,16,16658
106,3365,13,14,16608
107,3408,7,18,16567
108,3445,8,16,16531
109,3485,8,13,16494
110,3536,4,15,16445
111,3587,6,13,16394
112,3637,5,10,16348
113,3680,6,10,16304
114,3721,6,13,16260
115,3771,4,11,16214
116,3811,3,10,16176
117,3859,3,10,16128
118,3899,5,11,16085
119,3955,5,12,16028
120,4000,5,14,15981
121,4037,6,16,15941
122,4075,10,17,15898
123,4120,11,16,15853
124,4165,9,18,15808
125,4211,11,15,15763
126,4262,11,14,15713
127,4309,8,17,15666
128,4353,8,20,15619
129,4396,9,18,15577
130,4444,8,17,15531
131,4478,8,17,15497
132,4509,10,16,15465
133,4548,9,16,15427
134,4588,8,17,15387
135,4631,7,19,15343
136,4654,9,16,15321
137,4697,7,18,15278
138,4746,9,15,15230
139,4783,10,15,15192
140,4834,11,16,15139
141,4868,12,17,15103
142,4916,12,19,15053
143,4952,15,19,15014
144,5001,14,21,14964
145,5039,11,20,14930
146,5077,13,21,14889
147,5129,9,26,14836
148,5173,8,28,14791
149,5207,14,24,14755
150,5247,16,24,14713
151,5285,18,22,14675
152,5321,18,28,14633
153,5350,21,31,14598
154,5385,26,34,14555
155,5409,32,35,14524
156,5459,30,40,14471
157,5484,31,46,14439
158,5521,29,46,14404
159,5562,34,41,14363
160,5610,31,43,14316
161,5640,30,47,14283
162,5665,33,52,14250
163,5694,41,46,14219
164,5719,38,53,14190
165,5749,36,62,14153
