Iteration,S,E,I,R
0,19962,18,20,0
1,19936,38,23,3
2,19910,51,33,6
3,19882,62,49,7
4,19839,90,57,14
5,19798,101,75,26
6,19739,133,91,37
7,19663,168,119,50
8,19561,219,154,66
9,19423,292,206,79
10,19245,388,267,100
11,19015,503,347,135
12,18730,643,453,174
13,18372,814,584,230
14,17906,1058,718,318
15,17296,1364,928,412
16,16606,1649,1197,548
17,15776,2034,1469,721
18,14772,2508,1810,910
19,13653,2952,2263,1132
20,12392,3390,2775,1443
21,11016,3785,3386,1813
22,9547,4180,4002,2271
23,8009,4501,4704,2786
24,6578,4661,5335,3426
25,5312,4620,5947,4121
26,4168,4433,6542,4857
27,3179,4214,6878,5729
28,2471,3739,7150,6640
29,1831,3338,7272,7559
30,1409,2838,7237,8516
31,1101,2367,7065,9467
32,864,1922,6779,10435
33,690,1558,6407,11345
34,584,1221,6002,12193
35,491,961,5594,12954
36,434,791,5120,13655
37,395,642,4655,14308
38,375,527,4238,14860
39,363,448,3834,15355
40,365,363,3474,15798
41,372,295,3122,16211
42,378,246,2770,16606
43,409,214,2462,16915
44,434,186,2207,17173
45,446,167,1923,17464
46,486,130,1726,17658
47,511,120,1534,17835
48,554,94,1348,18004
49,608,78,1223,18091
50,647,76,1071,18206
51,692,81,968,18259
52,743,71,861,18325
53,795,79,748,18378
54,823,74,668,18435
55,868,65,579,18488
56,926,53,519,18502
57,981,57,452,18510
58,1039,52,413,18496
59,1103,54,357,18486
60,1161,59,319,18461
61,1224,59,281,18436
62,1278,49,254,18419
63,1332,47,231,18390
64,1385,44,215,18356
65,1450,36,191,18323
66,1501,35,175,18289
67,1552,36,154,18258
68,1616,34,136,18214
69,1676,30,129,18165
70,1739,30,108,18123
71,1803,24,107,18066
72,1854,27,92,18027
73,1907,30,78,17985
74,1962,23,77,17938
75,2011,17,75,17897
76,2068,16,66,17850
77,2135,14,63,17788
78,2188,18,59,17735
79,2246,18,57,17679
80,2296,15,52,17637
81,2359,18,46,17577
82,2402,14,51,17533
83,2451,14,45,17490
