Iteration,S,E,I,R
0,19958,22,19,1
1,19945,28,25,2
2,19916,49,31,4
3,19893,52,45,10
4,19862,63,59,16
5,19815,91,72,22
6,19770,113,79,38
7,19705,143,101,51
8,19633,183,117,67
9,19525,232,168,75
10,19357,334,217,92
11,19148,454,274,124
12,18927,561,350,162
13,18643,688,463,206
14,18267,880,584,269
15,17798,1107,751,344
16,17246,1360,947,447
17,16514,1702,1213,571
18,15631,2124,1496,749
19,14608,2572,1873,947
20,13475,3024,2309,1192
21,12165,3445,2909,1481
22,10734,3893,3478,1895
23,9280,4225,4159,2336
24,7737,4550,4851,2862
25,6364,4636,5501,3499
26,5036,4633,6194,4137
27,3939,4490,6601,4970
28,3038,4176,6943,5843
29,2333,3755,7143,6769
30,1776,3254,7264,7706
31,1347,2757,7228,8668
32,1026,2323,7044,9607
33,803,1943,6732,10522
34,633,1563,6411,11393
35,527,1235,5968,12270
36,459,981,5548,13012
37,393,779,5099,13729
38,358,633,4617,14392
39,350,500,4181,14969
40,348,398,3805,15449
41,345,336,3406,15913
42,368,267,3065,16300
43,389,236,2722,16653
44,408,201,2421,16970
45,437,163,2184,17216
46,472,143,1934,17451
47,507,147,1714,17632
48,558,127,1502,17813
49,593,123,1314,17970
50,622,122,1157,18099
51,661,111,1023,18205
52,694,102,913,18291
53,735,102,800,18363
54,784,86,711,18419
55,827,88,623,18462
56,870,76,563,18491
57,929,77,518,18476
58,978,73,465,18484
59,1029,64,427,18480
60,1074,57,395,18474
61,1117,57,360,18466
62,1164,60,323,18453
63,1206,57,291,18446
64,1267,47,260,18426
65,1329,50,219,18402
66,1381,41,211,18367
67,1441,36,205,18318
68,1487,38,192,18283
69,1532,37,177,18254
70,1586,40,138,18236
71,1649,41,124,18186
72,1709,30,121,18140
73,1755,38,106,18101
74,1822,29,105,18044
75,1891,30,96,17983
76,1944,23,85,17948
77,2000,22,82,17896
78,2061,17,76,17846
79,2120,15,67,17798
80,2167,22,62,17749
81,2221,21,56,17702
82,2277,18,56,17649
83,2331,15,51,17603
84,2389,12,48,17551
85,2442,15,43,17500
86,2491,18,39,17452
87,2543,18,40,17399
88,2592,15,40,17353
89,2659,17,35,17289
90,2720,15,32,17233
91,2771,14,31,17184
92,2805,14,30,17151
93,2860,16,26,17098
94,2913,14,24,17049
95,2962,10,26,17002
96,3010,9,26,16955
97,3070,11,26,16893
98,3104,15,25,16856
99,3158,12,25,16805
100,3210,9,22,16759
101,3260,9,23,16708
102,3299,7,25,16669
103,3345,11,20,16624
104,3393,8,20,16579
105,3448,9,21,16522
106,3496,9,20,16475
107,3541,8,20,16431
108,3584,8,19,16389
109,3632,8,17,16343
110,3679,6,19,16296
111,3721,5,18,16256
112,3759,7,21,16213
113,3795,9,16,16180
114,3850,7,16,16127
115,3895,6,15,16084
116,3936,10,16,16038
117,3992,10,17,15981
118,4036,9,16,15939
119,4085,14,15,15886
120,4117,17,14,15852
121,4155,15,16,15814
122,4202,14,15,15769
123,4242,16,14,15728
124,4295,10,18,15677
125,4360,9,18,15613
126,4404,6,17,15573
127,4447,9,16,15528
128,4482,10,13,15495
129,4526,8,13,15453
130,4558,7,14,15421
131,4607,8,14,15371
132,4652,7,15,15326
133,4691,8,13,15288
134,4741,8,13,15238
135,4780,5,13,15202
136,4830,5,11,15154
137,4871,5,11,15113
138,4909,7,9,15075
139,4946,7,7,15040
140,4996,7,7,14990
141,5033,7,8,14952
142,5078,6,10,14906
143,5114,4,9,14873
144,5153,5,7,14835
145,5186,6,10,14798
146,5218,8,11,14763
147,5248,8,10,14734
148,5298,8,11,14683
149,5354,9,8,14629
150,5403,8,10,14579
151,5455,8,10,14527
152,5489,8,11,14492
153,5538,9,11,14442
154,5586,6,13,14395
155,5633,8,14,14345
156,5666,11,15,14308
157,5707,9,16,14268
158,5741,10,16,14233
159,5768,15,14,14203
160,5813,12,19,14156
161,5850,11,18,14121
162,5900,10,18,14072
163,5932,13,17,14038
164,5961,10,20,14009
165,5994,13,17,13976
166,6024,12,17,13947
167,6060,13,18,13909
168,6087,18,18,13877
169,6118,19,21,13842
170,6157,17,24,13802
171,6187,22,21,13770
172,6228,19,25,13728
173,6251,21,27,13701
174,6292,21,31,13656
175,6321,23,31,13625
176,6359,24,32,13585
177,6408,22,36,13534
178,6438,26,39,13497
179,6466,34,41,13459
180,6495,33,49,13423
181,6523,34,51,13392
182,6549,42,49,13360
183,6578,41,58,13323
184,6601,38,67,13294
185,6632,35,68,13265
186,6652,40,73,13235
187,6669,45,77,13209
188,6678,53,80,13189
189,6688,58,87,13167
190,6703,63,93,13141
191,6694,90,89,13127
192,6705,90,99,13106
193,6717,91,114,13078
194,6739,84,125,13052
195,6746,98,129,13027
196,6739,122,138,13001
197,6739,124,154,12983
198,6728,145,171,12956
199,6726,154,177,12943
200,6710,169,208,12913
201,6706,173,221,12900
202,6663,202,236,12899
203,6628,213,268,12891
204,6609,215,300,12876
205,6594,223,320,12863
206,6566,227,342,12865
207,6520,241,365,12874
208,6468,273,386,12873
209,6411,287,403,12899
210,6346,311,423,12920
211,6257,325,474,12944
212,6169,343,514,12974
213,6085,368,545,13002
214,5985,394,584,13037
215,5875,434,598,13093
216,5784,456,632,13128
217,5668,492,679,13161
218,5574,500,716,13210
219,5439,538,751,13272
220,5341,533,808,13318
221,5204,566,839,13391
222,5071,592,863,13474
223,4939,598,938,13525
224,4784,611,999,13606
225,4629,647,1037,13687
226,4487,634,1096,13783
227,4341,642,1118,13899
228,4202,635,1172,13991
229,4059,652,1179,14110
230,3916,667,1186,14231
231,3798,653,1191,14358
232,3648,674,1201,14477
233,3516,665,1224,14595
234,3384,668,1227,14721
235,3300,637,1221,14842
236,3205,639,1216,14940
237,3103,616,1218,15063
238,3031,582,1223,15164
239,2975,528,1232,15265
240,2882,502,1232,15384
241,2792,516,1186,15506
242,2739,495,1177,15589
243,2685,473,1146,15696
244,2638,461,1103,15798
245,2590,451,1061,15898
246,2569,392,1052,15987
247,2546,384,1027,16043
248,2508,372,1004,16116
249,2480,363,967,16190
250,2458,327,956,16259
251,2464,302,924,16310
252,2452,304,880,16364
253,2427,295,857,16421
254,2438,290,800,16472
255,2450,280,766,16504
256,2462,264,729,16545
257,2460,252,715,16573
258,2476,243,684,16597
259,2486,238,666,16610
260,2501,223,661,16615
261,2531,212,635,16622
262,2547,220,610,16623
263,2575,201,599,16625
264,2611,215,561,16613
265,2641,219,539,16601
266,2663,210,510,16617
267,2702,211,498,16589
268,2735,186,493,16586
269,2764,180,488,16568
270,2781,188,462,16569
271,2839,195,435,16531
272,2887,193,423,16497
273,2909,188,420,16483
274,2962,169,416,16453
275,2988,164,403,16445
276,3034,156,384,16426
277,3077,167,373,16383
278,3109,181,349,16361
279,3172,181,337,16310
280,3222,167,340,16271
281,3269,155,347,16229
282,3300,154,341,16205
283,3345,143,345,16167
284,3397,143,338,16122
285,3431,150,339,16080
286,3471,152,339,16038
287,3518,160,334,15988
288,3540,163,340,15957
289,3594,162,342,15902
290,3617,174,337,15872
291,3648,185,327,15840
292,3678,185,342,15795
293,3715,190,332,15763
294,3764,196,336,15704
295,3815,191,342,15652
296,3856,198,344,15602
297,3889,200,355,15556
298,3940,191,359,15510
299,3937,202,372,15489
300,3935,210,378,15477
301,3957,223,384,15436
302,3984,218,402,15396
303,4026,214,414,15346
