Iteration,S,E,I,R
0,19972,8,16,4
1,19959,20,16,5
2,19947,24,22,7
3,19933,32,27,8
4,19910,44,35,11
5,19883,59,42,16
6,19854,70,55,21
7,19813,91,62,34
8,19771,104,82,43
9,19684,159,104,53
10,19592,208,132,68
11,19467,280,168,85
12,19325,345,225,105
13,19126,455,284,135
14,18884,577,371,168
15,18555,721,495,229
16,18159,934,613,294
17,17602,1203,826,369
18,16972,1490,1050,488
19,16192,1871,1304,633
20,15272,2264,1661,803
21,14228,2711,2010,1051
22,13018,3151,2534,1297
23,11711,3566,3089,1634
24,10211,4032,3716,2041
25,8757,4326,4401,2516
26,7203,4650,5066,3081
27,5827,4713,5721,3739
28,4594,4653,6253,4500
29,3546,4375,6729,5350
30,2699,3982,7085,6234
31,2079,3489,7257,7175
32,1572,3038,7284,8106
33,1212,2565,7179,9044
34,953,2098,7008,9941
35,770,1754,6617,10859
36,630,1411,6325,11634
37,536,1111,5891,12462
38,462,871,5454,13213
39,412,707,4954,13927
40,379,580,4464,14577
41,378,469,4025,15128
42,372,397,3623,15608
43,389,338,3208,16065
44,398,274,2893,16435
45,418,221,2588,16773
46,440,195,2297,17068
47,456,167,2021,17356
48,489,133,1794,17584
49,528,113,1604,17755
50,576,99,1439,17886
51,594,99,1239,18068
52,622,97,1102,18179
53,657,106,983,18254
54,693,99,873,18335
55,733,83,778,18406
56,776,79,690,18455
57,825,87,598,18490
58,853,86,540,18521
59,904,78,483,18535
60,950,73,430,18547
61,1015,54,386,18545
62,1072,57,333,18538
63,1130,52,303,18515
64,1172,48,287,18493
65,1238,42,266,18454
66,1301,40,247,18412
67,1368,37,231,18364
68,1407,40,210,18343
69,1466,47,187,18300
70,1526,44,178,18252
71,1571,47,159,18223
72,1637,42,158,18163
73,1682,35,135,18148
74,1745,26,120,18109
75,1822,24,109,18045
76,1880,29,105,17986
77,1933,26,96,17945
78,1989,26,93,17892
79,2050,28,84,17838
80,2100,26,84,17790
81,2159,31,75,17735
82,2214,24,71,17691
83,2278,26,66,17630
84,2324,26,61,17589
85,2384,28,54,17534
86,2435,25,55,17485
87,2492,26,57,17425
88,2539,20,60,17381
89,2579,33,56,17332
90,2613,28,58,17301
91,2676,23,55,17246
92,2714,23,53,17210
93,2776,21,50,17153
94,2830,16,49,17105
95,2884,14,48,17054
96,2925,15,47,17013
97,2983,15,44,16958
98,3045,14,38,16903
99,3068,20,36,16876
100,3119,17,41,16823
101,3165,14,46,16775
102,3211,14,46,16729
103,3257,19,39,16685
104,3302,16,43,16639
105,3346,19,40,16595
106,3392,18,36,16554
107,3428,14,37,16521
108,3479,17,38,16466
109,3519,15,39,16427
110,3562,16,40,16382
111,3598,17,36,16349
112,3631,15,39,16315
113,3675,17,40,16268
114,3731,17,40,16212
115,3779,17,43,16161
116,3821,22,42,16115
117,3864,19,42,16075
118,3897,17,45,16041
119,3942,18,45,15995
120,3978,21,50,15951
121,4016,22,49,15913
122,4064,21,50,15865
123,4097,23,47,15833
124,4132,22,49,15797
125,4162,18,52,15768
126,4196,20,52,15732
127,4225,21,48,15706
128,4264,27,44,15665
129,4297,22,45,15636
130,4328,18,51,15603
131,4361,19,39,15581
132,4395,27,39,15539
133,4429,24,46,15501
134,4464,27,45,15464
135,4502,33,44,15421
136,4530,33,39,15398
137,4575,28,45,15352
138,4599,22,54,15325
139,4628,31,51,15290
140,4680,32,55,15233
141,4718,26,55,15201
142,4755,27,59,15159
143,4786,28,59,15127
144,4825,25,66,15084
145,4870,29,65,15036
146,4886,40,59,15015
147,4925,31,66,14978
148,4958,31,62,14949
149,4995,38,62,14905
150,5038,35,64,14863
151,5063,37,67,14833
152,5101,38,66,14795
153,5118,48,63,14771
154,5156,47,66,14731
155,5187,50,67,14696
156,5213,46,71,14670
157,5242,45,73,14640
158,5260,54,77,14609
159,5285,51,80,14584
160,5323,49,79,14549
161,5361,52,81,14506
162,5396,50,82,14472
163,5421,56,76,14447
164,5441,63,84,14412
165,5474,61,92,14373
166,5505,52,101,14342
167,5538,54,99,14309
168,5558,62,102,14278
169,5587,57,109,14247
170,5608,67,107,14218
171,5630,74,109,14187
172,5653,84,110,14153
173,5671,86,112,14131
174,5674,89,123,14114
175,5699,88,128,14085
176,5725,83,142,14050
177,5751,86,149,14014
178,5755,113,141,13991
179,5770,107,151,13972
180,5778,110,163,13949
181,5778,130,167,13925
182,5784,138,179,13899
183,5809,129,193,13869
184,5817,128,199,13856
185,5832,131,204,13833
186,5823,136,216,13825
187,5827,137,219,13817
188,5808,168,220,13804
189,5813,166,242,13779
190,5812,162,252,13774
191,5796,174,269,13761
192,5766,192,274,13768
193,5749,207,278,13766
194,5737,206,299,13758
195,5714,210,315,13761
196,5694,221,340,13745
197,5675,230,354,13741
198,5649,232,380,13739
199,5600,251,392,13757
200,5567,265,410,13758
201,5525,274,426,13775
202,5458,290,450,13802
203,5423,306,461,13810
204,5369,318,482,13831
205,5303,341,506,13850
206,5256,339,546,13859
207,5211,344,564,13881
208,5174,365,560,13901
209,5106,377,591,13926
210,5036,387,623,13954
211,4946,405,653,13996
212,4850,433,680,14037
213,4778,448,694,14080
214,4716,450,716,14118
215,4637,472,729,14162
216,4544,471,774,14211
217,4488,469,784,14259
218,4398,491,810,14301
219,4319,492,811,14378
220,4242,460,862,14436
221,4172,447,865,14516
222,4067,477,858,14598
223,3987,494,874,14645
224,3928,481,897,14694
225,3833,474,906,14787
226,3778,465,894,14863
227,3727,464,909,14900
228,3672,438,932,14958
229,3602,431,932,15035
230,3545,448,934,15073
231,3490,447,938,15125
232,3424,433,959,15184
233,3382,423,934,15261
234,3330,420,928,15322
235,3268,410,924,15398
236,3212,443,894,15451
237,3166,417,897,15520
238,3128,390,894,15588
239,3077,398,898,15627
240,3017,393,906,15684
241,2971,382,909,15738
242,2945,380,903,15772
243,2916,376,891,15817
244,2884,357,877,15882
245,2848,370,858,15924
246,2843,341,855,15961
247,2808,339,814,16039
248,2821,297,822,16060
249,2795,311,791,16103
250,2794,313,769,16124
251,2800,278,773,16149
252,2768,311,758,16163
253,2776,286,739,16199
254,2775,290,715,16220
255,2788,273,707,16232
256,2801,266,678,16255
257,2813,267,651,16269
258,2828,248,660,16264
259,2830,258,620,16292
260,2868,241,602,16289
261,2864,261,567,16308
262,2888,247,560,16305
263,2900,254,548,16298
264,2907,243,524,16326
265,2930,243,527,16300
266,2964,244,494,16298
267,3013,233,496,16258
268,3038,237,487,16238
269,3075,229,474,16222
270,3101,212,482,16205
271,3150,188,486,16176
272,3199,195,465,16141
273,3216,198,457,16129
274,3256,198,445,16101
275,3254,202,427,16117
276,3286,187,418,16109
277,3324,184,401,16091
278,3345,187,384,16084
279,3383,190,378,16049
280,3418,193,381,16008
281,3477,207,355,15961
282,3512,218,357,15913
283,3542,223,361,15874
284,3593,206,369,15832
285,3623,184,389,15804
286,3669,175,384,15772
287,3696,178,373,15753
288,3736,171,376,15717
289,3775,167,378,15680
290,3807,175,357,15661
291,3836,182,351,15631
292,3854,206,355,15585
293,3886,208,362,15544
294,3934,198,376,15492
