Iteration,S,E,I,R
0,19967,13,18,2
1,19954,24,18,4
2,19939,31,19,11
3,19930,32,25,13
4,19914,37,34,15
5,19882,56,42,20
6,19837,86,48,29
7,19783,107,79,31
8,19716,147,99,38
9,19630,178,137,55
10,19511,251,162,76
11,19381,315,202,102
12,19212,409,249,130
13,18982,526,324,168
14,18693,663,437,207
15,18308,860,573,259
16,17842,1069,760,329
17,17285,1338,961,416
18,16567,1675,1227,531
19,15727,2045,1529,699
20,14757,2462,1865,916
21,13628,2904,2297,1171
22,12309,3386,2851,1454
23,10845,3912,3436,1807
24,9372,4240,4140,2248
25,7893,4592,4684,2831
26,6520,4689,5326,3465
27,5278,4597,5962,4163
28,4187,4420,6485,4908
29,3211,4144,6881,5764
30,2480,3704,7163,6653
31,1867,3319,7234,7580
32,1458,2796,7240,8506
33,1090,2418,7041,9451
34,856,1988,6813,10343
35,685,1619,6450,11246
36,578,1282,6050,12090
37,509,977,5622,12892
38,450,792,5115,13643
39,412,637,4667,14284
40,398,526,4208,14868
41,394,434,3811,15361
42,386,356,3446,15812
43,391,299,3050,16260
44,412,258,2700,16630
45,419,219,2404,16958
46,432,185,2138,17245
47,482,162,1912,17444
48,509,149,1675,17667
49,530,143,1477,17850
50,555,133,1315,17997
51,602,102,1177,18119
52,652,102,1046,18200
53,696,89,940,18275
54,724,90,827,18359
55,772,84,724,18420
56,823,76,649,18452
57,867,72,589,18472
58,926,67,526,18481
59,985,58,490,18467
60,1057,62,431,18450
61,1109,61,387,18443
62,1147,57,348,18448
63,1222,62,307,18409
64,1278,58,280,18384
65,1344,43,263,18350
66,1390,45,241,18324
67,1442,49,213,18296
68,1507,51,202,18240
69,1557,45,191,18207
70,1632,40,164,18164
71,1692,32,147,18129
72,1744,33,138,18085
73,1813,36,129,18022
74,1854,29,122,17995
75,1902,28,116,17954
76,1960,25,114,17901
77,2016,26,107,17851
78,2062,22,103,17813
79,2121,23,90,17766
80,2190,23,81,17706
81,2247,22,78,17653
82,2296,17,76,17611
83,2345,18,78,17559
84,2395,19,70,17516
85,2440,19,66,17475
86,2493,22,59,17426
87,2537,25,54,17384
88,2574,24,49,17353
89,2621,23,53,17303
90,2674,21,53,17252
91,2725,20,58,17197
92,2767,20,54,17159
93,2808,23,48,17121
94,2855,24,48,17073
95,2892,21,51,17036
96,2946,25,52,16977
97,2990,27,50,16933
98,3054,25,53,16868
99,3102,20,50,16828
100,3143,22,46,16789
101,3189,17,48,16746
102,3234,16,46,16704
103,3282,15,41,16662
104,3318,16,41,16625
105,3363,15,43,16579
106,3408,17,40,16535
107,3459,17,36,16488
108,3511,20,31,16438
109,3558,22,29,16391
110,3610,23,27,16340
111,3659,18,26,16297
112,3704,17,20,16259
113,3754,15,21,16210
114,3795,14,22,16169
115,3843,15,25,16117
116,3897,11,32,16060
117,3931,12,28,16029
118,3977,14,23,15986
119,4021,12,26,15941
120,4060,17,26,15897
121,4105,12,30,15853
122,4159,12,26,15803
123,4205,10,26,15759
124,4262,12,25,15701
125,4296,15,28,15661
126,4337,22,24,15617
127,4392,23,29,15556
128,4444,20,35,15501
129,4497,16,36,15451
130,4538,15,36,15411
131,4575,15,37,15373
132,4616,22,35,15327
133,4647,21,37,15295
134,4691,21,38,15250
135,4731,23,37,15209
136,4759,25,39,15177
137,4797,27,40,15136
138,4831,27,40,15102
139,4863,31,39,15067
140,4900,33,44,15023
141,4933,36,46,14985
142,4960,40,53,14947
143,4991,40,54,14915
144,5020,37,61,14882
145,5062,37,59,14842
146,5078,45,63,14814
147,5108,45,68,14779
148,5132,41,73,14754
149,5154,50,75,14721
150,5175,51,75,14699
151,5200,52,79,14669
152,5234,50,88,14628
153,5253,56,92,14599
154,5291,60,99,14550
155,5324,67,95,14514
156,5353,59,105,14483
157,5381,63,105,14451
158,5395,77,108,14420
159,5412,80,110,14398
160,5434,78,112,14376
161,5463,87,118,14332
162,5473,76,142,14309
163,5484,96,144,14276
164,5495,112,151,14242
165,5490,120,164,14226
166,5505,112,174,14209
167,5500,131,170,14199
168,5512,129,178,14181
169,5508,146,181,14165
170,5519,142,192,14147
171,5513,156,194,14137
172,5496,159,226,14119
173,5476,176,232,14116
174,5470,183,255,14092
175,5463,185,277,14075
176,5452,195,292,14061
177,5439,206,306,14049
178,5417,210,331,14042
179,5406,214,350,14030
180,5372,223,360,14045
181,5333,237,387,14043
182,5293,246,419,14042
183,5267,243,431,14059
184,5223,268,440,14069
185,5154,292,466,14088
186,5114,299,480,14107
187,5080,303,499,14118
188,5036,314,513,14137
189,4990,314,541,14155
190,4930,347,543,14180
191,4866,363,549,14222
192,4811,368,581,14240
193,4749,370,610,14271
194,4694,378,621,14307
195,4613,414,645,14328
196,4571,407,671,14351
197,4493,423,679,14405
198,4419,415,738,14428
199,4354,406,765,14475
200,4292,395,787,14526
201,4204,408,807,14581
202,4143,410,808,14639
203,4083,400,815,14702
204,3999,416,829,14756
205,3920,433,822,14825
206,3858,459,820,14863
207,3784,432,854,14930
208,3716,435,855,14994
209,3670,408,857,15065
210,3609,416,859,15116
211,3527,445,847,15181
212,3492,405,854,15249
213,3450,395,842,15313
214,3410,386,856,15348
215,3363,389,859,15389
216,3328,366,846,15460
217,3286,360,836,15518
218,3249,342,831,15578
219,3223,352,810,15615
220,3193,347,786,15674
221,3153,370,755,15722
222,3108,375,754,15763
223,3076,369,745,15810
224,3032,349,758,15861
225,3001,354,757,15888
226,3002,336,761,15901
227,2993,301,783,15923
228,2988,305,736,15971
229,2975,311,719,15995
230,2992,310,700,15998
231,2996,311,686,16007
232,3001,286,683,16030
233,2989,296,674,16041
