Iteration,S,E,I,R
0,19961,19,19,1
1,19948,27,20,5
2,19940,31,20,9
3,19921,43,22,14
4,19900,57,26,17
5,19878,64,36,22
6,19839,81,51,29
7,19799,100,61,40
8,19742,126,84,48
9,19675,168,101,56
10,19589,208,135,68
11,19468,258,197,77
12,19295,362,237,106
13,19044,506,317,133
14,18762,641,423,174
15,18365,856,563,216
16,17930,1040,731,299
17,17342,1343,925,390
18,16631,1673,1160,536
19,15779,2046,1471,704
20,14786,2456,1858,900
21,13689,2864,2311,1136
22,12384,3372,2786,1458
23,10995,3800,3349,1856
24,9539,4149,4001,2311
25,8052,4446,4668,2834
26,6620,4584,5354,3442
27,5267,4651,5918,4164
28,4174,4383,6476,4967
29,3276,4066,6890,5768
30,2467,3676,7194,6663
31,1871,3201,7320,7608
32,1443,2731,7267,8559
33,1105,2314,7124,9457
34,860,1941,6848,10351
35,673,1608,6449,11270
36,582,1269,6018,12131
37,490,1033,5544,12933
38,435,837,5109,13619
39,397,667,4700,14236
40,385,555,4246,14814
41,362,465,3834,15339
42,386,357,3451,15806
43,402,303,3078,16217
44,424,237,2788,16551
45,436,203,2472,16889
46,465,167,2190,17178
47,474,150,1969,17407
48,502,135,1754,17609
49,540,122,1553,17785
50,577,113,1358,17952
51,627,106,1212,18055
52,664,99,1070,18167
53,706,85,955,18254
54,758,100,807,18335
55,820,90,725,18365
56,853,92,656,18399
57,883,83,602,18432
58,926,80,534,18460
59,972,79,484,18465
60,1021,67,443,18469
61,1079,60,398,18463
62,1128,65,360,18447
63,1171,67,325,18437
64,1228,55,309,18408
65,1287,52,285,18376
66,1352,43,255,18350
67,1388,37,237,18338
68,1431,36,209,18324
69,1497,33,182,18288
70,1545,28,166,18261
71,1588,28,158,18226
72,1649,30,132,18189
73,1692,26,118,18164
74,1749,27,104,18120
75,1801,25,99,18075
76,1850,27,85,18038
77,1910,25,83,17982
78,1963,21,78,17938
79,2010,17,75,17898
80,2068,20,69,17843
81,2119,15,73,17793
82,2173,13,61,17753
83,2234,14,50,17702
84,2299,12,48,17641
85,2342,15,45,17598
86,2397,15,43,17545
87,2450,11,43,17496
88,2495,14,37,17454
89,2555,12,35,17398
90,2617,12,31,17340
91,2674,12,31,17283
92,2712,16,32,17240
93,2762,13,34,17191
94,2810,15,29,17146
95,2858,16,31,17095
96,2912,17,27,17044
97,2981,14,27,16978
98,3032,11,29,16928
99,3080,11,30,16879
100,3121,16,26,16837
101,3183,14,27,16776
102,3235,13,31,16721
103,3261,17,30,16692
104,3308,11,30,16651
105,3346,9,27,16618
106,3390,6,24,16580
107,3448,6,22,16524
108,3498,5,22,16475
109,3554,5,15,16426
110,3610,7,15,16368
111,3653,6,15,16326
112,3683,7,15,16295
113,3722,7,16,16255
114,3765,7,17,16211
115,3818,7,17,16158
116,3855,7,18,16120
117,3898,7,16,16079
118,3942,9,12,16037
119,3983,6,15,15996
120,4035,6,16,15943
121,4088,7,17,15888
122,4131,8,17,15844
123,4170,6,21,15803
124,4201,9,20,15770
125,4236,12,18,15734
126,4288,11,21,15680
127,4326,13,19,15642
128,4354,13,22,15611
129,4407,10,22,15561
130,4449,8,20,15523
131,4494,6,18,15482
132,4539,8,17,15436
133,4575,9,18,15398
134,4616,8,19,15357
135,4656,11,18,15315
