Iteration,S,E,I,R
0,19961,19,20,0
1,19946,29,24,1
2,19930,37,31,2
3,19901,58,32,9
4,19874,71,41,14
5,19826,93,62,19
6,19761,135,79,25
7,19691,171,105,33
8,19599,219,130,52
9,19475,276,180,69
10,19304,360,240,96
11,19137,437,301,125
12,18896,565,389,150
13,18533,762,504,201
14,18131,946,672,251
15,17611,1217,813,359
16,16993,1496,1042,469
17,16217,1819,1355,609
18,15235,2281,1690,794
19,14101,2720,2140,1039
20,12815,3203,2639,1343
21,11416,3680,3212,1692
22,9866,4219,3780,2135
23,8347,4473,4498,2682
24,6828,4750,5175,3247
25,5464,4802,5766,3968
26,4266,4641,6348,4745
27,3303,4297,6774,5626
28,2536,3880,7054,6530
29,1920,3453,7216,7411
30,1436,2959,7211,8394
31,1110,2479,7102,9309
32,841,2054,6873,10232
33,697,1632,6597,11074
34,601,1295,6156,11948
35,505,1058,5710,12727
36,442,863,5240,13455
37,402,701,4747,14150
38,381,562,4344,14713
39,360,468,3895,15277
40,376,381,3461,15782
41,375,304,3108,16213
42,379,249,2767,16605
43,400,204,2486,16910
44,440,170,2207,17183
45,488,142,1935,17435
46,505,120,1717,17658
47,532,112,1527,17829
48,547,115,1364,17974
49,603,110,1224,18063
50,651,109,1099,18141
51,703,102,972,18223
52,744,90,873,18293
53,781,85,794,18340
54,823,85,712,18380
55,863,79,630,18428
56,896,73,573,18458
57,952,63,519,18466
58,994,57,472,18477
59,1036,60,426,18478
60,1086,48,388,18478
61,1137,55,339,18469
62,1188,51,308,18453
63,1241,54,279,18426
64,1296,47,260,18397
65,1350,39,241,18370
66,1407,34,219,18340
67,1470,32,193,18305
68,1517,29,176,18278
69,1573,29,161,18237
70,1624,30,141,18205
71,1701,33,122,18144
72,1738,32,115,18115
73,1806,34,100,18060
74,1865,31,88,18016
75,1931,25,87,17957
76,1972,18,90,17920
77,2036,17,74,17873
78,2096,15,66,17823
79,2147,15,62,17776
80,2207,10,58,17725
81,2257,12,55,17676
82,2312,15,50,17623
83,2371,16,48,17565
84,2427,18,46,17509
85,2483,18,43,17456
86,2537,16,44,17403
87,2589,22,39,17350
88,2634,25,37,17304
89,2698,20,36,17246
90,2739,17,34,17210
91,2789,11,36,17164
92,2843,11,31,17115
93,2886,13,31,17070
94,2937,13,31,17019
95,2997,11,24,16968
96,3049,10,26,16915
97,3099,10,24,16867
98,3154,9,21,16816
99,3207,9,17,16767
100,3260,9,13,16718
101,3300,6,19,16675
102,3354,7,18,16621
103,3402,9,15,16574
104,3458,9,16,16517
105,3506,11,17,16466
106,3557,7,18,16418
107,3616,4,21,16359
108,3665,5,18,16312
109,3717,6,14,16263
110,3757,6,15,16222
111,3803,7,14,16176
112,3844,7,12,16137
113,3885,5,14,16096
114,3921,8,13,16058
115,3958,4,16,16022
116,4009,6,16,15969
117,4053,9,15,15923
118,4090,11,16,15883
119,4127,12,11,15850
120,4171,12,12,15805
121,4215,11,12,15762
122,4252,10,13,15725
123,4298,9,16,15677
124,4334,11,16,15639
125,4375,12,16,15597
126,4423,17,17,15543
127,4469,16,22,15493
128,4509,14,27,15450
129,4542,18,27,15413
130,4588,21,24,15367
131,4615,20,28,15337
132,4649,22,26,15303
133,4689,20,25,15266
134,4735,16,27,15222
135,4780,18,25,15177
136,4803,16,28,15153
137,4831,18,30,15121
138,4868,16,33,15083
139,4909,25,27,15039
140,4939,19,29,15013
141,4973,20,32,14975
142,5011,17,32,14940
143,5056,14,29,14901
144,5093,12,24,14871
145,5121,15,23,14841
146,5164,16,22,14798
147,5187,20,24,14769
148,5222,18,28,14732
149,5266,20,27,14687
150,5316,22,24,14638
151,5353,17,29,14601
152,5382,17,32,14569
153,5414,18,33,14535
154,5462,17,34,14487
155,5504,13,35,14448
156,5536,17,38,14409
157,5568,19,37,14376
158,5590,25,34,14351
159,5633,27,37,14303
160,5673,22,45,14260
161,5719,22,43,14216
162,5736,30,45,14189
163,5759,28,46,14167
164,5777,33,42,14148
165,5816,38,41,14105
166,5857,32,47,14064
167,5885,34,50,14031
168,5913,37,57,13993
169,5936,35,61,13968
170,5969,31,72,13928
171,5998,35,73,13894
172,6020,39,74,13867
173,6051,45,74,13830
174,6079,42,79,13800
175,6088,51,76,13785
176,6117,60,83,13740
177,6145,62,93,13700
178,6160,65,90,13685
179,6179,65,104,13652
180,6199,71,115,13615
181,6211,79,115,13595
182,6236,86,125,13553
183,6249,97,136,13518
184,6243,103,147,13507
185,6250,112,162,13476
186,6259,117,172,13452
187,6239,132,180,13449
188,6233,153,178,13436
189,6231,150,204,13415
190,6213,153,219,13415
191,6197,163,228,13412
192,6170,182,245,13403
193,6131,191,259,13419
194,6110,187,282,13421
195,6086,195,298,13421
196,6060,198,321,13421
197,6028,214,324,13434
198,5987,234,346,13433
199,5939,265,364,13432
200,5886,275,390,13449
201,5832,290,414,13464
202,5774,310,449,13467
203,5702,333,485,13480
204,5653,343,512,13492
205,5600,368,546,13486
206,5508,405,583,13504
207,5428,403,627,13542
208,5344,424,668,13564
209,5248,427,705,13620
210,5155,460,693,13692
211,5080,457,727,13736
212,4979,468,744,13809
213,4871,506,757,13866
214,4780,495,799,13926
215,4679,488,837,13996
216,4560,505,869,14066
217,4480,477,901,14142
218,4383,501,919,14197
219,4284,493,932,14291
220,4185,517,921,14377
221,4078,524,934,14464
222,3959,548,962,14531
223,3864,540,993,14603
224,3757,562,998,14683
225,3671,556,1015,14758
226,3551,583,1011,14855
227,3480,551,1019,14950
228,3410,527,1032,15031
229,3348,490,1056,15106
230,3300,478,1060,15162
231,3240,466,1064,15230
232,3199,463,1034,15304
233,3134,451,1037,15378
234,3109,443,1011,15437
235,3078,414,989,15519
236,3031,399,988,15582
237,3003,393,952,15652
238,2966,367,929,15738
239,2933,362,902,15803
240,2889,356,895,15860
241,2846,354,862,15938
242,2809,349,854,15988
243,2788,338,831,16043
244,2786,319,795,16100
245,2776,317,778,16129
246,2749,319,782,16150
247,2737,317,770,16176
248,2758,309,732,16201
249,2740,312,711,16237
250,2715,308,728,16249
251,2734,274,731,16261
252,2744,267,688,16301
253,2769,245,668,16318
254,2786,245,641,16328
255,2795,246,631,16328
256,2808,241,597,16354
257,2822,246,575,16357
258,2845,231,568,16356
259,2873,215,562,16350
260,2916,201,539,16344
261,2968,199,517,16316
262,2985,194,508,16313
263,2999,209,501,16291
264,3028,206,484,16282
265,3059,198,483,16260
266,3098,179,479,16244
267,3127,187,455,16231
268,3139,196,459,16206
269,3174,188,447,16191
270,3222,187,435,16156
271,3251,180,433,16136
272,3282,188,427,16103
273,3305,186,433,16076
274,3332,174,439,16055
275,3378,176,431,16015
276,3418,176,423,15983
277,3453,189,404,15954
278,3489,187,414,15910
279,3537,184,423,15856
280,3564,185,406,15845
281,3616,170,399,15815
282,3619,188,389,15804
283,3641,181,382,15796
284,3657,190,394,15759
285,3675,197,403,15725
286,3721,197,390,15692
287,3749,199,400,15652
288,3762,210,408,15620
289,3797,209,417,15577
290,3821,213,414,15552
291,3848,217,414,15521
292,3874,218,416,15492
293,3896,226,418,15460
294,3930,213,430,15427
295,3974,208,413,15405
296,3993,207,428,15372
297,4008,214,451,15327
298,4022,225,447,15306
299,4029,224,442,15305
300,4052,227,448,15273
301,4075,206,458,15261
302,4085,220,455,15240
303,4088,228,459,15225
304,4126,229,452,15193
305,4155,224,463,15158
306,4166,231,470,15133
307,4166,249,475,15110
308,4160,268,468,15104
309,4159,280,459,15102
310,4172,269,472,15087
311,4190,252,493,15065
312,4210,258,491,15041
313,4211,271,488,15030
314,4224,266,499,15011
315,4246,256,495,15003
316,4265,262,501,14972
317,4266,273,504,14957
318,4253,288,518,14941
319,4242,308,537,14913
320,4254,294,550,14902
321,4251,293,567,14889
322,4250,280,588,14882
323,4230,299,590,14881
324,4232,310,591,14867
325,4245,299,616,14840
326,4228,322,620,14830
327,4220,339,611,14830
328,4229,334,611,14826
329,4193,359,618,14830
330,4186,346,648,14820
331,4156,350,657,14837
332,4120,361,669,14850
333,4105,360,678,14857
334,4090,356,689,14865
335,4065,370,680,14885
336,4021,396,684,14899
337,3988,406,681,14925
338,3969,416,704,14911
339,3959,389,736,14916
340,3951,378,754,14917
341,3933,385,748,14934
342,3919,384,757,14940
343,3884,378,770,14968
344,3882,375,770,14973
345,3870,379,729,15022
346,3863,376,744,15017
347,3841,387,735,15037
348,3857,359,746,15038
349,3832,378,727,15063
350,3837,385,727,15051
351,3820,387,721,15072
352,3820,358,741,15081
353,3804,357,772,15067
354,3770,376,770,15084
355,3747,391,768,15094
356,3733,396,780,15091
357,3723,392,793,15092
358,3686,400,772,15142
359,3656,418,772,15154
360,3643,420,760,15177
361,3642,391,777,15190
362,3597,414,776,15213
363,3611,384,787,15218
364,3588,398,771,15243
365,3554,402,769,15275
366,3552,399,782,15267
367,3520,412,790,15278
368,3508,405,768,15319
369,3465,391,800,15344
370,3438,404,789,15369
371,3448,405,783,15364
372,3466,373,801,15360
373,3463,356,803,15378
374,3439,373,790,15398
375,3448,343,809,15400
376,3454,329,784,15433
377,3402,358,774,15466
378,3391,356,757,15496
379,3377,370,765,15488
380,3375,376,754,15495
381,3377,392,739,15492
382,3377,365,772,15486
383,3366,357,784,15493
384,3349,352,777,15522
385,3365,329,763,15543
386,3354,336,753,15557
387,3358,336,771,15535
388,3355,332,778,15535
389,3348,351,758,15543
390,3350,354,740,15556
391,3370,321,751,15558
392,3388,326,729,15557
393,3393,321,705,15581
394,3426,308,685,15581
395,3421,305,695,15579
396,3441,310,677,15572
397,3465,311,666,15558
398,3503,306,649,15542
399,3526,312,624,15538
400,3533,315,627,15525
401,3537,305,629,15529
402,3547,298,630,15525
403,3571,299,625,15505
404,3571,300,626,15503
405,3575,295,629,15501
406,3600,283,617,15500
407,3621,295,601,15483
408,3653,277,614,15456
409,3689,267,591,15453
410,3690,274,596,15440
411,3713,268,583,15436
412,3719,270,587,15424
413,3720,287,586,15407
414,3760,284,583,15373
415,3777,295,566,15362
416,3788,310,561,15341
417,3813,303,568,15316
418,3824,300,588,15288
419,3828,300,583,15289
420,3827,301,580,15292
421,3842,291,596,15271
422,3842,300,602,15256
423,3864,292,611,15233
424,3884,295,611,15210
425,3898,304,613,15185
426,3895,311,622,15172
427,3899,329,623,15149
428,3893,352,610,15145
429,3901,335,648,15116
430,3907,324,656,15113
431,3927,323,650,15100
432,3927,332,648,15093
433,3919,340,646,15095
434,3909,352,647,15092
435,3890,356,664,15090
436,3879,351,683,15087
437,3888,352,693,15067
438,3899,335,699,15067
439,3872,351,706,15071
440,3853,354,702,15091
441,3859,338,708,15095
