Iteration,S,E,I,R
0,19958,22,18,2
1,19947,26,22,5
2,19932,34,28,6
3,19915,42,33,10
4,19883,64,38,15
5,19850,73,56,21
6,19809,93,68,30
7,19755,126,80,39
8,19697,142,110,51
9,19615,174,143,68
10,19489,253,174,84
11,19327,350,214,109
12,19114,464,293,129
13,18856,585,396,163
14,18529,755,496,220
15,18092,986,636,286
16,17583,1212,832,373
17,16921,1531,1048,500
18,16155,1874,1323,648
19,15304,2217,1668,811
20,14194,2696,2074,1036
21,12936,3206,2525,1333
22,11619,3597,3105,1679
23,10170,3994,3733,2103
24,8637,4422,4345,2596
25,7204,4600,5011,3185
26,5863,4605,5700,3832
27,4682,4534,6190,4594
28,3675,4269,6660,5396
29,2802,3896,7007,6295
30,2139,3474,7184,7203
31,1646,3014,7170,8170
32,1273,2525,7069,9133
33,1000,2136,6763,10101
34,774,1750,6462,11014
35,652,1387,6120,11841
36,546,1124,5719,12611
37,488,869,5318,13325
38,455,667,4889,13989
39,426,558,4418,14598
40,411,450,4003,15136
41,403,383,3606,15608
42,402,315,3239,16044
43,411,255,2898,16436
44,422,207,2587,16784
45,455,169,2281,17095
46,477,148,2040,17335
47,507,139,1782,17572
48,533,129,1588,17750
49,568,119,1385,17928
50,592,119,1244,18045
51,633,105,1113,18149
52,673,91,973,18263
53,713,95,863,18329
54,747,79,780,18394
55,812,69,700,18419
56,860,68,613,18459
57,898,67,558,18477
58,945,65,492,18498
59,993,63,438,18506
60,1042,61,393,18504
61,1108,56,370,18466
62,1157,47,338,18458
63,1197,56,302,18445
64,1254,52,259,18435
65,1307,37,236,18420
66,1344,41,213,18402
67,1401,33,197,18369
68,1449,29,180,18342
69,1525,26,164,18285
70,1586,27,163,18224
71,1639,29,138,18194
72,1678,32,126,18164
73,1734,31,115,18120
74,1784,33,107,18076
75,1840,25,101,18034
76,1896,25,96,17983
77,1952,25,91,17932
78,2002,25,78,17895
79,2044,26,75,17855
80,2101,22,66,17811
81,2153,15,67,17765
82,2208,15,61,17716
83,2263,17,54,17666
84,2300,16,50,17634
85,2356,11,47,17586
86,2414,13,43,17530
87,2463,13,37,17487
88,2522,11,33,17434
89,2571,12,29,17388
90,2627,11,32,17330
91,2673,9,33,17285
92,2743,10,31,17216
93,2800,15,32,17153
94,2840,15,32,17113
95,2877,17,31,17075
96,2928,19,28,17025
97,2972,16,30,16982
98,3025,15,25,16935
99,3077,18,23,16882
100,3126,19,25,16830
101,3187,17,28,16768
102,3228,18,29,16725
103,3285,16,30,16669
104,3338,15,30,16617
105,3375,18,27,16580
106,3432,15,30,16523
107,3481,15,30,16474
108,3519,18,29,16434
109,3567,15,30,16388
110,3601,13,32,16354
111,3651,7,34,16308
112,3694,6,31,16269
113,3743,10,24,16223
114,3806,5,29,16160
115,3851,4,25,16120
116,3892,5,24,16079
117,3935,9,24,16032
118,3975,9,22,15994
119,4019,8,23,15950
120,4060,13,19,15908
121,4109,10,25,15856
122,4144,14,23,15819
123,4200,13,23,15764
124,4239,12,26,15723
125,4280,12,26,15682
126,4321,9,28,15642
127,4369,9,28,15594
128,4413,12,26,15549
129,4457,12,24,15507
130,4497,8,27,15468
131,4536,7,24,15433
132,4581,7,22,15390
133,4624,9,23,15344
134,4658,18,22,15302
135,4708,17,25,15250
136,4742,16,28,15214
137,4784,15,26,15175
138,4827,16,24,15133
139,4868,12,27,15093
140,4899,11,27,15063
141,4938,17,25,15020
142,4969,20,26,14985
143,4995,22,26,14957
144,5030,22,29,14919
145,5069,21,28,14882
146,5108,19,33,14840
147,5140,26,28,14806
148,5188,24,28,14760
149,5222,22,34,14722
150,5267,23,36,14674
151,5313,23,34,14630
152,5370,16,39,14575
153,5406,19,37,14538
154,5437,26,38,14499
155,5481,23,36,14460
156,5518,27,36,14419
157,5550,22,40,14388
158,5581,25,40,14354
159,5611,22,43,14324
160,5644,24,44,14288
161,5655,32,41,14272
162,5677,31,42,14250
163,5713,30,49,14208
164,5749,31,45,14175
165,5776,35,45,14144
166,5807,41,45,14107
167,5835,36,52,14077
168,5854,36,61,14049
169,5876,42,63,14019
170,5913,50,68,13969
171,5939,51,75,13935
172,5973,51,73,13903
173,5989,48,79,13884
174,6002,59,78,13861
175,6025,55,85,13835
176,6050,61,90,13799
177,6087,51,98,13764
178,6097,56,104,13743
179,6113,63,97,13727
180,6137,51,97,13715
181,6161,62,95,13682
182,6181,67,93,13659
183,6191,72,103,13634
184,6205,86,98,13611
185,6223,84,120,13573
186,6230,85,132,13553
187,6244,82,140,13534
188,6257,80,151,13512
189,6266,94,151,13489
190,6268,98,162,13472
191,6272,111,158,13459
192,6264,122,176,13438
193,6266,131,175,13428
194,6260,138,188,13414
195,6262,145,198,13395
196,6238,158,224,13380
197,6224,165,240,13371
198,6214,162,267,13357
199,6190,174,284,13352
200,6161,189,312,13338
201,6125,216,328,13331
202,6085,225,361,13329
203,6050,236,385,13329
204,6009,267,403,13321
205,5964,285,440,13311
206,5916,303,457,13324
207,5859,306,508,13327
208,5773,348,527,13352
209,5675,392,560,13373
210,5555,431,593,13421
211,5463,451,625,13461
212,5372,459,663,13506
213,5283,482,691,13544
214,5186,494,722,13598
215,5089,491,771,13649
216,4951,521,822,13706
217,4817,568,819,13796
218,4730,530,880,13860
219,4614,528,921,13937
220,4505,531,944,14020
221,4394,542,960,14104
222,4281,532,1000,14187
223,4158,553,1007,14282
224,4068,548,1003,14381
225,3952,549,1024,14475
226,3843,559,1017,14581
227,3713,549,1083,14655
228,3594,568,1070,14768
229,3502,554,1059,14885
230,3432,518,1089,14961
231,3365,482,1086,15067
232,3289,486,1068,15157
233,3218,481,1035,15266
234,3136,468,1038,15358
235,3090,452,1025,15433
236,3028,456,1001,15515
237,2968,455,972,15605
238,2917,429,971,15683
239,2880,422,947,15751
240,2845,416,915,15824
241,2812,378,932,15878
242,2777,388,913,15922
243,2772,363,904,15961
244,2731,365,900,16004
245,2699,363,869,16069
246,2665,366,833,16136
247,2667,336,829,16168
248,2659,318,808,16215
249,2655,332,757,16256
250,2648,318,749,16285
251,2659,295,745,16301
252,2655,299,729,16317
253,2696,273,710,16321
254,2715,257,703,16325
255,2721,248,677,16354
256,2744,244,651,16361
257,2742,251,634,16373
258,2749,241,618,16392
259,2771,233,600,16396
260,2786,222,597,16395
261,2814,223,584,16379
262,2861,208,572,16359
263,2850,215,544,16391
264,2876,209,532,16383
265,2918,209,522,16351
266,2942,188,526,16344
267,2967,196,504,16333
268,2997,201,489,16313
269,3035,186,474,16305
270,3066,183,456,16295
271,3102,182,431,16285
272,3138,176,430,16256
273,3170,185,410,16235
274,3195,170,414,16221
275,3235,172,393,16200
276,3292,164,384,16160
277,3311,173,385,16131
278,3358,176,368,16098
279,3390,166,361,16083
280,3426,161,363,16050
281,3456,166,355,16023
282,3481,165,357,15997
283,3529,155,361,15955
284,3570,163,342,15925
285,3615,159,339,15887
286,3642,160,339,15859
287,3684,150,340,15826
288,3738,148,323,15791
289,3781,141,321,15757
290,3819,154,301,15726
291,3829,165,307,15699
292,3850,164,321,15665
293,3897,177,314,15612
294,3946,173,329,15552
295,3978,188,327,15507
296,4020,170,343,15467
297,4038,182,357,15423
298,4063,185,362,15390
299,4087,182,364,15367
300,4141,173,354,15332
301,4179,181,355,15285
302,4190,196,359,15255
303,4207,193,373,15227
304,4229,197,375,15199
305,4234,211,394,15161
306,4260,218,382,15140
307,4292,219,370,15119
308,4323,207,394,15076
309,4341,228,390,15041
310,4347,233,404,15016
311,4335,243,407,15015
312,4353,236,428,14983
313,4378,225,441,14956
314,4382,239,432,14947
315,4391,234,461,14914
316,4394,256,461,14889
317,4411,246,480,14863
318,4433,252,481,14834
319,4415,270,488,14827
320,4420,268,499,14813
321,4442,261,502,14795
322,4431,290,505,14774
323,4436,296,507,14761
324,4431,285,526,14758
325,4427,301,536,14736
326,4424,288,567,14721
327,4421,309,557,14713
328,4411,324,574,14691
329,4394,321,591,14694
330,4376,327,604,14693
331,4352,341,601,14706
332,4324,345,617,14714
333,4286,372,618,14724
334,4308,329,661,14702
335,4299,349,639,14713
336,4268,366,630,14736
337,4246,372,654,14728
338,4227,375,663,14735
339,4212,375,672,14741
340,4180,416,671,14733
341,4142,407,700,14751
342,4119,393,716,14772
343,4068,407,749,14776
344,4036,419,756,14789
345,3992,426,787,14795
346,3954,386,837,14823
347,3909,404,836,14851
348,3855,420,843,14882
349,3812,427,821,14940
350,3794,426,822,14958
351,3773,420,824,14983
352,3762,426,833,14979
353,3721,436,829,15014
354,3693,437,837,15033
355,3679,412,854,15055
356,3641,395,884,15080
357,3604,399,883,15114
358,3595,399,899,15107
359,3576,407,859,15158
360,3562,405,861,15172
361,3548,401,844,15207
362,3528,419,825,15228
363,3513,399,839,15249
364,3480,405,842,15273
365,3464,395,854,15287
366,3454,396,824,15326
367,3433,394,833,15340
368,3439,393,833,15335
369,3429,379,831,15361
370,3413,374,851,15362
371,3407,375,843,15375
372,3399,365,849,15387
373,3412,344,851,15393
374,3391,353,846,15410
375,3357,370,818,15455
376,3356,368,806,15470
377,3383,356,812,15449
378,3351,371,804,15474
379,3349,360,816,15475
380,3354,367,809,15470
381,3349,345,795,15511
382,3340,349,762,15549
383,3337,326,758,15579
384,3335,302,760,15603
385,3336,309,743,15612
386,3324,320,731,15625
387,3319,333,731,15617
388,3316,345,695,15644
389,3322,314,721,15643
390,3325,319,719,15637
391,3322,334,706,15638
392,3309,322,720,15649
393,3320,332,696,15652
394,3327,315,679,15679
395,3350,314,671,15665
396,3372,316,679,15633
397,3382,324,668,15626
398,3409,315,672,15604
399,3423,301,665,15611
400,3443,302,671,15584
401,3487,298,662,15553
402,3510,276,654,15560
403,3516,295,638,15551
404,3510,313,608,15569
405,3515,334,601,15550
406,3537,306,591,15566
407,3593,288,604,15515
408,3601,287,613,15499
409,3632,277,617,15474
410,3652,260,630,15458
411,3660,275,601,15464
412,3692,271,582,15455
413,3712,295,565,15428
414,3719,298,576,15407
415,3721,303,585,15391
416,3733,298,577,15392
417,3743,281,585,15391
418,3771,261,608,15360
