Iteration,S,E,I,R
0,19971,9,18,2
1,19949,29,18,4
2,19932,34,28,6
3,19908,51,30,11
4,19879,63,43,15
5,19842,78,58,22
6,19801,95,71,33
7,19737,130,92,41
8,19648,175,124,53
9,19527,237,166,70
10,19393,310,205,92
11,19192,427,258,123
12,18991,516,334,159
13,18696,659,442,203
14,18344,818,575,263
15,17876,1057,712,355
16,17310,1326,909,455
17,16605,1654,1175,566
18,15746,2044,1495,715
19,14714,2448,1911,927
20,13549,2894,2365,1192
21,12244,3365,2926,1465
22,10710,3949,3513,1828
23,9171,4374,4153,2302
24,7701,4645,4832,2822
25,6259,4814,5463,3464
26,4961,4762,6110,4167
27,3903,4435,6727,4935
28,2987,4076,7157,5780
29,2276,3663,7398,6663
30,1735,3207,7449,7609
31,1319,2719,7359,8603
32,1024,2230,7139,9607
33,764,1856,6790,10590
34,622,1549,6375,11454
35,529,1234,5972,12265
36,481,989,5458,13072
37,420,783,5004,13793
38,396,613,4560,14431
39,376,487,4130,15007
40,367,395,3729,15509
41,366,333,3332,15969
42,368,289,2959,16384
43,387,247,2595,16771
44,425,212,2304,17059
45,454,169,2031,17346
46,499,139,1820,17542
47,526,132,1595,17747
48,570,117,1401,17912
49,614,107,1226,18053
50,663,95,1101,18141
51,699,92,983,18226
52,749,91,873,18287
53,794,91,783,18332
54,841,79,702,18378
55,894,76,639,18391
56,934,72,566,18428
57,985,68,523,18424
58,1033,71,474,18422
59,1083,72,412,18433
60,1134,66,372,18428
61,1189,57,345,18409
62,1232,62,320,18386
63,1297,60,285,18358
64,1348,54,264,18334
65,1397,50,233,18320
66,1450,39,211,18300
67,1506,36,190,18268
68,1558,41,173,18228
69,1603,42,160,18195
70,1648,39,146,18167
71,1702,34,134,18130
72,1768,35,115,18082
73,1826,28,111,18035
74,1889,27,103,17981
75,1950,22,97,17931
76,2006,16,97,17881
77,2045,18,88,17849
78,2107,20,82,17791
79,2159,22,72,17747
80,2218,21,69,17692
81,2281,17,62,17640
82,2337,14,50,17599
83,2408,9,49,17534
84,2460,11,40,17489
85,2511,10,37,17442
86,2568,9,38,17385
87,2624,7,38,17331
88,2672,7,37,17284
89,2713,12,32,17243
90,2768,11,33,17188
91,2810,12,30,17148
92,2858,11,29,17102
93,2905,12,28,17055
94,2951,10,25,17014
95,2997,16,23,16964
96,3039,10,28,16923
97,3078,11,28,16883
98,3137,12,27,16824
99,3189,12,24,16775
100,3243,11,25,16721
101,3279,13,25,16683
102,3326,10,31,16633
103,3369,9,30,16592
104,3425,9,27,16539
105,3470,10,23,16497
106,3521,8,26,16445
107,3551,8,24,16417
108,3599,5,22,16374
109,3629,8,20,16343
110,3676,10,19,16295
111,3726,12,16,16246
112,3767,11,19,16203
113,3819,10,20,16151
114,3868,12,17,16103
115,3905,13,16,16066
116,3968,13,17,16002
117,4011,12,20,15957
118,4055,14,23,15908
119,4084,16,21,15879
120,4134,18,20,15828
121,4186,19,24,15771
122,4230,14,29,15727
123,4261,16,30,15693
124,4290,15,30,15665
125,4330,18,31,15621
126,4366,25,30,15579
127,4404,16,38,15542
128,4448,18,39,15495
129,4490,22,38,15450
130,4535,22,44,15399
131,4580,17,49,15354
132,4623,18,47,15312
133,4656,21,49,15274
134,4680,24,47,15249
135,4726,22,48,15204
136,4757,27,46,15170
137,4791,32,47,15130
138,4823,31,52,15094
139,4865,37,48,15050
140,4893,35,56,15016
141,4923,35,64,14978
142,4959,38,61,14942
143,4986,39,57,14918
144,5017,37,67,14879
145,5052,30,73,14845
146,5078,33,77,14812
147,5110,33,76,14781
148,5134,33,78,14755
149,5165,37,77,14721
150,5190,49,67,14694
151,5203,57,69,14671
152,5230,55,74,14641
153,5240,61,77,14622
154,5273,57,86,14584
155,5303,67,87,14543
156,5326,64,104,14506
157,5356,62,113,14469
158,5376,78,106,14440
159,5383,66,124,14427
160,5400,75,131,14394
161,5397,91,129,14383
162,5417,94,137,14352
163,5422,102,143,14333
164,5433,97,165,14305
165,5457,92,175,14276
166,5469,92,177,14262
167,5474,107,184,14235
168,5483,108,203,14206
169,5490,120,207,14183
170,5483,137,218,14162
171,5488,135,239,14138
172,5481,138,245,14136
173,5473,146,254,14127
174,5454,170,259,14117
175,5449,171,275,14105
176,5453,168,280,14099
177,5419,182,298,14101
178,5409,184,328,14079
179,5390,194,352,14064
180,5344,226,360,14070
181,5331,237,368,14064
182,5299,258,365,14078
183,5264,254,387,14095
184,5232,259,419,14090
185,5203,266,422,14109
186,5163,263,464,14110
187,5109,285,478,14128
188,5060,291,504,14145
189,4999,304,519,14178
190,4952,297,543,14208
191,4904,291,571,14234
