Iteration,S,E,I,R
0,19965,15,16,4
1,19949,27,18,6
2,19928,41,25,6
3,19907,53,31,9
4,19868,82,40,10
5,19823,97,65,15
6,19767,128,82,23
7,19687,171,109,33
8,19590,220,145,45
9,19445,307,188,60
10,19271,404,243,82
11,19056,514,318,112
12,18773,647,438,142
13,18406,846,560,188
14,17931,1078,735,256
15,17347,1387,911,355
16,16614,1705,1206,475
17,15731,2078,1542,649
18,14731,2488,1934,847
19,13530,2974,2402,1094
20,12199,3518,2876,1407
21,10742,3966,3511,1781
22,9249,4300,4232,2219
23,7776,4563,4870,2791
24,6372,4689,5502,3437
25,5106,4630,6076,4188
26,3983,4499,6509,5009
27,3100,4092,6994,5814
28,2361,3720,7187,6732
29,1781,3298,7308,7613
30,1368,2814,7264,8554
31,1071,2352,7097,9480
32,861,1904,6852,10383
33,716,1566,6459,11259
34,597,1259,6049,12095
35,519,994,5638,12849
36,454,802,5185,13559
37,430,657,4687,14226
38,389,558,4207,14846
39,383,444,3778,15395
40,380,355,3399,15866
41,386,293,3028,16293
42,397,236,2691,16676
43,407,208,2404,16981
44,430,178,2130,17262
45,464,162,1873,17501
46,499,138,1636,17727
47,540,111,1459,17890
48,584,99,1321,17996
49,635,92,1160,18113
50,675,89,1021,18215
51,719,83,894,18304
52,767,87,798,18348
53,801,81,716,18402
54,855,75,619,18451
55,913,74,547,18466
56,940,76,489,18495
57,988,63,448,18501
58,1044,64,407,18485
59,1107,61,356,18476
60,1157,63,325,18455
61,1202,59,288,18451
62,1273,49,259,18419
63,1332,48,230,18390
64,1371,49,202,18378
65,1424,44,180,18352
66,1480,35,172,18313
67,1550,35,153,18262
68,1595,38,142,18225
69,1658,36,127,18179
70,1711,37,117,18135
71,1762,34,112,18092
72,1830,27,108,18035
73,1878,26,98,17998
74,1929,25,91,17955
75,1985,22,84,17909
76,2050,20,80,17850
77,2107,20,76,17797
78,2171,20,70,17739
79,2229,21,63,17687
80,2276,18,58,17648
81,2323,26,48,17603
82,2381,18,51,17550
83,2439,19,52,17490
84,2507,17,49,17427
85,2556,20,47,17377
86,2605,17,51,17327
87,2669,20,46,17265
88,2703,22,44,17231
89,2748,19,42,17191
90,2793,24,44,17139
91,2841,23,46,17090
92,2876,22,46,17056
93,2917,19,50,17014
94,2954,21,49,16976
95,2986,27,46,16941
96,3039,24,50,16887
97,3085,22,45,16848
98,3135,16,48,16801
99,3176,17,49,16758
100,3230,20,46,16704
101,3288,21,46,16645
102,3330,18,46,16606
103,3382,16,49,16553
104,3437,16,42,16505
105,3489,18,40,16453
106,3527,15,41,16417
107,3584,14,39,16363
108,3624,13,40,16323
109,3663,14,38,16285
110,3706,18,38,16238
111,3763,15,37,16185
112,3806,15,38,16141
113,3858,17,34,16091
114,3893,17,31,16059
115,3936,17,34,16013
116,3974,18,32,15976
117,4011,17,35,15937
118,4051,14,34,15901
119,4096,13,35,15856
120,4128,14,32,15826
121,4176,12,32,15780
122,4212,13,30,15745
123,4259,15,30,15696
124,4306,12,31,15651
125,4349,16,28,15607
126,4401,13,31,15555
127,4445,11,29,15515
128,4496,11,33,15460
129,4530,12,30,15428
130,4566,15,26,15393
131,4612,16,26,15346
132,4644,20,27,15309
133,4696,16,34,15254
134,4728,18,37,15217
135,4773,17,42,15168
136,4797,26,46,15131
137,4829,27,45,15099
138,4865,30,46,15059
139,4906,32,46,15016
140,4939,30,52,14979
141,4972,26,61,14941
142,5004,32,67,14897
143,5034,41,66,14859
144,5062,41,68,14829
145,5084,42,77,14797
146,5099,49,86,14766
147,5113,66,80,14741
148,5139,64,92,14705
149,5153,63,98,14686
150,5182,66,97,14655
151,5196,74,88,14642
152,5219,80,91,14610
153,5242,85,97,14576
154,5266,84,96,14554
155,5301,80,104,14515
156,5320,65,114,14501
157,5343,63,115,14479
158,5350,69,126,14455
159,5369,72,129,14430
160,5377,81,133,14409
161,5382,87,136,14395
162,5405,90,143,14362
163,5418,102,140,14340
164,5430,104,150,14316
165,5456,101,169,14274
166,5458,113,164,14265
167,5459,128,159,14254
168,5468,135,177,14220
169,5485,133,182,14200
170,5475,147,183,14195
171,5476,139,202,14183
172,5476,141,217,14166
173,5463,148,237,14152
174,5444,161,255,14140
175,5448,176,258,14118
176,5453,159,278,14110
177,5441,177,282,14100
178,5411,196,299,14094
179,5392,214,297,14097
180,5390,220,310,14080
181,5369,225,326,14080
182,5342,227,347,14084
183,5316,244,360,14080
184,5281,244,386,14089
185,5249,255,408,14088
186,5199,271,414,14116
187,5152,279,431,14138
188,5102,283,459,14156
189,5038,295,485,14182
190,4997,304,502,14197
191,4958,338,497,14207
192,4911,345,515,14229
193,4870,342,545,14243
194,4798,369,566,14267
195,4742,386,575,14297
196,4673,398,608,14321
197,4591,394,644,14371
198,4544,398,673,14385
199,4468,420,674,14438
200,4401,420,699,14480
201,4335,431,688,14546
202,4264,436,708,14592
203,4202,422,734,14642
204,4129,430,738,14703
205,4077,412,782,14729
206,4002,429,795,14774
207,3945,431,800,14824
208,3893,414,809,14884
209,3849,408,812,14931
210,3802,385,823,14990
211,3748,403,812,15037
212,3679,406,839,15076
213,3644,410,825,15121
214,3596,391,819,15194
215,3523,398,835,15244
216,3470,396,836,15298
217,3403,403,836,15358
218,3369,401,839,15391
219,3338,401,830,15431
220,3294,384,834,15488
221,3266,373,842,15519
222,3209,394,807,15590
223,3174,374,819,15633
224,3112,380,825,15683
225,3081,373,805,15741
226,3045,352,816,15787
227,3033,343,796,15828
228,3016,322,792,15870
229,2992,327,793,15888
230,2970,324,788,15918
231,2947,320,766,15967
232,2932,295,786,15987
233,2921,303,764,16012
234,2922,316,725,16037
235,2934,313,727,16026
236,2933,300,718,16049
237,2957,293,687,16063
238,2975,272,667,16086
239,2977,271,657,16095
240,3007,263,629,16101
241,3014,267,610,16109
242,3035,243,595,16127
243,3068,243,586,16103
244,3086,256,554,16104
245,3114,241,546,16099
246,3125,243,538,16094
247,3123,242,532,16103
248,3156,216,517,16111
249,3167,215,518,16100
250,3170,220,511,16099
251,3186,218,516,16080
252,3204,224,502,16070
253,3252,207,512,16029
254,3281,205,511,16003
255,3285,215,507,15993
256,3299,224,505,15972
257,3317,222,498,15963
258,3330,228,497,15945
259,3358,220,483,15939
260,3376,221,471,15932
261,3401,228,459,15912
262,3432,208,471,15889
263,3461,218,476,15845
264,3490,226,456,15828
265,3530,215,461,15794
266,3577,206,450,15767
267,3625,185,445,15745
268,3667,176,431,15726
269,3686,192,426,15696
270,3691,204,407,15698
271,3714,206,415,15665
272,3743,214,393,15650
273,3772,215,396,15617
274,3805,213,392,15590
275,3833,225,391,15551
276,3854,228,404,15514
277,3886,229,414,15471
278,3892,242,413,15453
279,3901,241,426,15432
280,3924,234,439,15403
281,3954,225,448,15373
282,3963,222,456,15359
283,3979,224,459,15338
284,3991,244,457,15308
285,4020,256,462,15262
286,4025,250,474,15251
287,4019,265,468,15248
288,4048,273,482,15197
289,4062,251,491,15196
290,4083,256,496,15165
291,4096,276,471,15157
292,4101,274,482,15143
293,4122,268,486,15124
294,4122,265,497,15116
295,4133,283,500,15084
296,4157,269,517,15057
297,4141,293,530,15036
298,4137,312,520,15031
299,4144,311,536,15009
300,4165,310,549,14976
301,4174,308,565,14953
302,4163,314,580,14943
303,4150,329,594,14927
304,4133,339,601,14927
305,4123,349,613,14915
306,4098,361,626,14915
307,4094,361,640,14905
308,4085,366,649,14900
309,4059,365,669,14907
310,4032,376,659,14933
311,4006,367,681,14946
312,3991,358,692,14959
313,3975,370,689,14966
314,3934,386,697,14983
315,3930,360,708,15002
316,3908,362,717,15013
317,3876,371,696,15057
318,3864,388,688,15060
319,3852,382,707,15059
320,3853,383,699,15065
321,3854,378,714,15054
322,3866,374,719,15041
323,3851,391,713,15045
324,3826,379,725,15070
325,3799,407,718,15076
326,3773,399,728,15100
327,3758,391,755,15096
328,3746,362,765,15127
329,3728,359,777,15136
330,3709,375,785,15131
331,3681,382,798,15139
332,3684,376,785,15155
333,3669,364,795,15172
334,3635,399,764,15202
335,3613,397,757,15233
336,3605,388,752,15255
337,3579,380,770,15271
338,3557,371,778,15294
339,3526,384,785,15305
340,3494,398,783,15325
341,3489,389,811,15311
342,3481,375,824,15320
343,3447,374,834,15345
344,3424,371,833,15372
345,3394,390,811,15405
346,3399,393,807,15401
347,3395,369,811,15425
348,3420,360,794,15426
349,3422,364,786,15428
350,3436,361,760,15443
351,3408,376,750,15466
352,3399,361,766,15474
353,3387,360,754,15499
354,3381,356,764,15499
355,3385,341,751,15523
356,3381,350,726,15543
357,3393,345,725,15537
358,3397,339,712,15552
359,3400,335,697,15568
360,3417,319,699,15565
361,3432,322,700,15546
362,3458,308,701,15533
363,3472,309,701,15518
364,3487,308,698,15507
365,3501,316,675,15508
366,3518,326,651,15505
367,3550,290,668,15492
368,3547,302,646,15505
369,3541,303,638,15518
370,3584,293,624,15499
371,3587,276,629,15508
372,3620,274,597,15509
373,3655,279,593,15473
374,3690,262,599,15449
375,3685,283,581,15451
376,3697,290,572,15441
377,3693,310,588,15409
378,3714,300,592,15394
379,3701,290,614,15395
380,3709,294,622,15375
381,3719,302,620,15359
382,3729,303,628,15340
383,3728,315,657,15300
384,3743,306,649,15302
385,3750,325,631,15294
386,3750,322,649,15279
387,3772,324,642,15262
388,3777,322,640,15261
389,3765,335,625,15275
390,3769,328,631,15272
391,3789,326,642,15243
392,3798,315,645,15242
393,3798,335,633,15234
394,3797,334,630,15239
395,3799,316,670,15215
396,3792,301,688,15219
397,3796,320,673,15211
398,3800,334,667,15199
399,3823,313,681,15183
400,3837,307,665,15191
401,3833,320,667,15180
402,3836,330,655,15179
403,3817,322,679,15182
404,3803,327,687,15183
405,3793,338,696,15173
406,3802,339,677,15182
407,3804,351,668,15177
408,3758,388,693,15161
409,3755,374,700,15171
410,3725,389,706,15180
411,3689,398,718,15195
412,3692,371,730,15207
413,3676,382,721,15221
414,3687,361,717,15235
415,3679,373,713,15235
416,3679,374,706,15241
417,3661,393,709,15237
418,3649,397,731,15223
419,3650,377,747,15226
420,3655,355,753,15237
421,3625,362,766,15247
422,3617,362,760,15261
423,3609,361,745,15285
424,3607,370,751,15272
425,3579,376,769,15276
426,3565,363,780,15292
427,3542,357,796,15305
428,3526,352,768,15354
429,3540,360,756,15344
430,3533,354,771,15342
431,3543,342,759,15356
432,3533,342,758,15367
433,3536,330,741,15393
434,3522,341,727,15410
435,3512,355,713,15420
436,3495,357,717,15431
437,3500,337,715,15448
438,3502,326,740,15432
439,3506,330,730,15434
440,3500,337,702,15461
441,3514,333,697,15456
442,3520,322,686,15472
443,3526,325,676,15473
444,3533,312,682,15473
445,3509,347,663,15481
446,3526,357,665,15452
447,3528,344,677,15451
448,3523,345,698,15434
449,3530,340,713,15417
450,3525,360,705,15410
451,3524,357,706,15413
452,3532,339,698,15431
453,3518,331,700,15451
454,3517,334,704,15445
455,3520,344,681,15455
456,3522,341,672,15465
457,3527,335,680,15458
458,3530,323,678,15469
459,3553,318,666,15463
460,3559,305,685,15451
461,3559,314,687,15440
462,3550,324,687,15439
463,3534,341,688,15437
464,3539,357,677,15427
465,3539,347,686,15428
466,3545,340,690,15425
467,3542,347,687,15424
468,3547,330,700,15423
469,3523,336,708,15433
470,3524,342,717,15417
471,3539,340,716,15405
472,3545,335,713,15407
473,3543,337,695,15425
474,3523,343,700,15434
475,3515,341,706,15438
476,3508,343,694,15455
477,3529,332,675,15464
478,3548,320,694,15438
479,3543,335,700,15422
480,3548,341,698,15413
481,3564,331,707,15398
482,3556,331,695,15418
483,3560,359,663,15418
484,3573,336,692,15399
485,3597,329,700,15374
486,3606,321,674,15399
487,3625,318,650,15407
488,3646,307,648,15399
489,3644,329,613,15414
490,3641,330,631,15398
491,3657,319,638,15386
492,3678,308,648,15366
493,3697,297,677,15329
494,3706,292,690,15312
495,3714,316,669,15301
496,3742,326,660,15272
497,3719,345,648,15288
498,3718,343,649,15290
499,3721,336,658,15285
500,3712,325,662,15301
501,3695,331,667,15307
502,3694,339,676,15291
503,3688,349,673,15290
504,3705,343,666,15286
505,3729,332,664,15275
506,3703,336,675,15286
507,3685,361,676,15278
508,3672,360,688,15280
509,3664,367,706,15263
510,3659,356,706,15279
511,3625,354,713,15308
512,3590,369,691,15350
513,3579,375,695,15351
514,3546,390,697,15367
515,3577,374,713,15336
516,3566,353,723,15358
517,3557,350,711,15382
518,3547,349,705,15399
519,3560,326,693,15421
520,3547,325,700,15428
521,3568,326,704,15402
522,3563,338,681,15418
523,3555,334,683,15428
524,3580,314,697,15409
525,3554,322,687,15437
526,3565,314,683,15438
527,3577,302,685,15436
528,3597,304,663,15436
529,3603,319,646,15432
530,3598,323,631,15448
531,3606,320,628,15446
532,3619,318,644,15419
533,3647,295,653,15405
534,3640,324,632,15404
535,3636,340,645,15379
536,3675,314,645,15366
537,3689,313,650,15348
538,3701,315,653,15331
539,3719,309,643,15329
540,3708,331,645,15316
541,3728,320,647,15305
542,3745,305,645,15305
543,3734,347,637,15282
544,3739,333,650,15278
545,3743,328,653,15276
546,3725,373,628,15274
547,3716,384,617,15283
548,3742,375,626,15257
549,3754,357,638,15251
550,3756,353,661,15230
551,3748,360,675,15217
552,3756,348,666,15230
553,3750,339,659,15252
554,3772,330,655,15243
555,3784,319,667,15230
556,3773,325,671,15231
557,3791,352,654,15203
558,3778,344,669,15209
559,3793,353,684,15170
560,3795,350,695,15160
561,3770,379,692,15159
562,3779,356,694,15171
563,3759,361,697,15183
564,3754,358,700,15188
565,3740,337,737,15186
566,3725,345,731,15199
567,3744,345,741,15170
568,3758,333,740,15169
569,3746,355,720,15179
570,3736,368,726,15170
571,3733,368,734,15165
572,3703,387,747,15163
573,3699,374,743,15184
574,3678,390,750,15182
575,3666,350,791,15193
576,3633,378,784,15205
577,3632,392,775,15201
578,3624,392,753,15231
579,3626,360,784,15230
580,3605,368,771,15256
581,3603,368,775,15254
582,3607,372,751,15270
583,3606,352,752,15290
584,3597,356,740,15307
585,3594,367,742,15297
586,3580,370,752,15298
587,3602,358,758,15282
588,3594,372,748,15286
589,3598,378,751,15273
590,3623,350,762,15265
591,3611,357,749,15283
592,3623,350,745,15282
593,3620,362,739,15279
594,3627,338,737,15298
595,3639,323,744,15294
596,3635,340,728,15297
597,3635,339,737,15289
598,3642,345,699,15314
599,3655,337,709,15299
600,3675,332,705,15288
601,3702,321,690,15287
602,3694,356,661,15289
603,3705,359,649,15287
604,3728,353,654,15265
605,3740,356,659,15245
606,3744,350,655,15251
607,3742,353,663,15242
608,3740,346,677,15237
609,3746,352,675,15227
610,3735,349,684,15232
611,3713,367,687,15233
612,3731,351,707,15211
613,3722,352,696,15230
614,3721,338,707,15234
615,3695,356,708,15241
616,3694,355,706,15245
617,3696,344,720,15240
618,3703,354,709,15234
619,3724,348,698,15230
620,3706,338,717,15239
621,3718,359,700,15223
622,3715,368,712,15205
623,3721,362,741,15176
624,3694,386,756,15164
625,3688,396,737,15179
626,3681,379,744,15196
627,3678,374,757,15191
628,3685,364,766,15185
629,3670,373,769,15188
630,3666,364,760,15210
631,3636,377,744,15243
632,3628,376,771,15225
633,3619,378,767,15236
634,3604,379,770,15247
635,3598,367,795,15240
636,3605,361,782,15252
637,3605,346,781,15268
638,3602,352,761,15285
639,3594,354,745,15307
640,3604,359,733,15304
641,3611,359,727,15303
